index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-1.1538461538461537, -3.0)",(-0.009671900437547561-0.0024495721075449856j),(0.0126883635491204-0.0038751593913692846j),(0.01479330326376198+0.00875240439598218j),(0.009694492216744365-0.007025048592210953j),(-0.004496221138652461+0.002161507205360601j),(-0.0013055284888682168-0.002527135973054278j),(0.010497107114978983+0.003128033804593754j),(0.013725112056646728-0.01744590192841605j),(0.006218238903910363+0.005972642136181468j),(0.0010942561974208766-0.002428267095250072j)
"(-1.0, -3.0)",(-0.008948316207810777+0.003759037025301201j),(0.008771893727301867-0.009365183181433754j),(0.017137243698324714+0.002626904258008327j),(0.008199348865638303-0.009627247970159944j),(-0.004620369547920948+0.0028808162652354872j),(-0.00122350951135812-0.002458837896881519j),(0.009895016094990015+0.0009930051326931203j),(0.005985231255044878-0.021782930202162664j),(0.009471165952526304+0.0016100701848600814j),(-0.0008881147142064375-0.002573156650869805j)
"(-0.8461538461538458, -3.0)",(-0.005009637332529999+0.007991121998619816j),(0.0032669258414238737-0.011912010376322158j),(0.01710038293710079-0.0032968277841795863j),(0.006513974053642527-0.011611686592836679j),(-0.004834396262841527+0.0034491304109522548j),(-0.0010084088203373628-0.002514623612701193j),(0.00895282644995135-0.00015553241229041427j),(-0.0014588310103759283-0.022675563812738202j),(0.009981805028395274-0.003894953200309879j),(-0.0024537005914194022-0.0014076143757540476j)
"(-0.6923076923076921, -3.0)",(0.00016955347374563584+0.009156181758091884j),(-0.002104455517385071-0.011642682893563806j),(0.015349952718680358-0.008228183812709549j),(0.004944849093049455-0.01306183328999128j),(-0.005211823111642993+0.0038298608520920536j),(-0.0006540345193172841-0.0026549858466225484j),(0.007990134064471986-0.0004787771764531658j),(-0.007245063167680977-0.02136506329952792j),(0.007869484498841353-0.008984440861324015j),(-0.002958167759715788+0.0004513990413106951j)
"(-0.5384615384615383, -3.0)",(0.004723131709859543+0.00752910470077472j),(-0.006225895657716344-0.009400681459843109j),(0.012667095552359621-0.011835323849565245j),(0.0037248628688417635-0.014108226322535134j),(-0.005804468284511564+0.003962730142519455j),(-0.00013600148269731985-0.002816136805380696j),(0.007112340984763498-0.00018028256189214873j),(-0.010913041497763495-0.01920427311418346j),(0.0039919079428700375-0.012667865906182626j),(-0.0023109485128586333+0.0022443092350248393j)
"(-0.3846153846153846, -3.0)",(0.0075383030880308375+0.004193225195556434j),(-0.008689525993948918-0.006227320767459777j),(0.00974197280278558-0.01414083540612914j),(0.003021297786010401-0.014874124872174621j),(-0.0066259683049889+0.003753004473846548j),(0.0005686518281426602-0.002904163798479205j),(0.006274909438502943+0.0005503750242661195j),(-0.012578447798483902-0.017210286506885872j),(-0.0005803070259543672-0.01469439566824113j),(-0.0008400247009739451+0.003421645964179111j)
"(-0.23076923076923084, -3.0)",(0.008367726139912258+0.0003828641220299592j),(-0.009629278591122255-0.0029949668340535987j),(0.007077769042588144-0.015372914258749763j),(0.0029514828392093514-0.015434148255261057j),(-0.007626658163217168+0.0030713708423177177j),(0.0014529419261408937-0.0027917206078985485j),(0.005351518314307702+0.0015339388069299917j),(-0.012566356394337095-0.01591706894728547j),(-0.004957348368673268-0.015398129542866096j),(0.0009747444554525193+0.0037807407587761026j)
"(-0.07692307692307665, -3.0)",(0.007583705379685973-0.0029679867764164287j),(-0.00946164468710909-0.00025098324020584917j),(0.004979967849382575-0.015830002302519075j),(0.0035931297130715164-0.015785345536054252j),(-0.008661579368507191+0.0017734798256753795j),(0.002443364640529795-0.002329143854725827j),(0.00419935238521589+0.002570467659916828j),(-0.011170266821336514-0.01540862310087303j),(-0.00858094551148999-0.015412423869651158j),(0.0027282914375048335+0.003413610906105548j)
"(0.0769230769230771, -3.0)",(0.0058234786945798155-0.005386964159432435j),(-0.008661579368507207+0.0017734798256754114j),(0.0035931297130715138-0.01578534553605425j),(0.004979967849382577-0.015830002302519075j),(-0.009461644687109064-0.00025098324020586353j),(0.003364269706358244-0.001383262789290626j),(0.002728291437504849+0.003413610906105514j),(-0.00858094551148995-0.015412423869651134j),(-0.011170266821336533-0.015408623100873044j),(0.004199352385215916+0.0025704676599168402j)
"(0.23076923076923084, -3.0)",(0.003704158616429381-0.00680656630353003j),(-0.007626658163217179+0.003071370842317741j),(0.002951482839209349-0.015434148255261059j),(0.007077769042588145-0.015372914258749766j),(-0.009629278591122243-0.0029949668340536043j),(0.003925303155978289+8.851031392856116e-05j),(0.0009747444554525356+0.0037807407587760696j),(-0.004957348368673242-0.015398129542866073j),(-0.012566356394337126-0.01591706894728547j),(0.005351518314307697+0.0015339388069300346j)
"(0.384615384615385, -3.0)",(0.0016739472450124984-0.00741102019778546j),(-0.006625968304988909+0.003753004473846561j),(0.003021297786010398-0.014874124872174625j),(0.009741972802785579-0.014140835406129138j),(-0.008689525993948902-0.0062273207674598j),(0.0037655019337018304+0.0019400793517261336j),(-0.0008400247009739165+0.003421645964179086j),(-0.0005803070259543379-0.01469439566824106j),(-0.012578447798483923-0.017210286506885886j),(0.0062749094385029704+0.000550375024266143j)
"(0.5384615384615388, -3.0)",(-1.6517830704559575e-05-0.007483682550747282j),(-0.0058044682845115715+0.003962730142519467j),(0.0037248628688417605-0.014108226322535136j),(0.012667095552359632-0.011835323849565241j),(-0.0062258956577163245-0.009400681459843104j),(0.002583450384268683+0.003758643147941561j),(-0.00231094851285861+0.002244309235024798j),(0.003991907942870064-0.012667865906182563j),(-0.010913041497763514-0.019204273114183466j),(0.007112340984763523-0.0001802825618921405j)
"(0.6923076923076925, -3.0)",(-0.001272344606236521-0.007301892178341936j),(-0.005211823111643003+0.0038298608520920675j),(0.004944849093049451-0.013061833289991281j),(0.01534995271868036-0.008228183812709549j),(-0.002104455517385053-0.011642682893563787j),(0.0003465645742085166+0.0048838862989214376j),(-0.0029581677597157576+0.00045139904131068974j),(0.007869484498841324-0.00898444086132399j),(-0.007245063167680976-0.021365063299527955j),(0.007990134064472007-0.00047877717645316604j)
"(0.8461538461538463, -3.0)",(-0.0020888423603738007-0.007084823996896717j),(-0.004834396262841537+0.003449130410952278j),(0.006513974053642541-0.01161168659283664j),(0.01710038293710079-0.003296827784179543j),(0.0032669258414238797-0.011912010376322139j),(-0.002499329596314109+0.00460225797829298j),(-0.002453700591419368-0.0014076143757540455j),(0.009981805028395234-0.0038949532003098473j),(-0.0014588310103759163-0.022675563812738206j),(0.008952826449951354-0.00015553241229040855j)
"(1.0, -3.0)",(-0.002491227585702984-0.006978374191930999j),(-0.004620369547920958+0.0028808162652355232j),(0.0081993488656383-0.009627247970159946j),(0.01713724369832471+0.002626904258008326j),(0.008771893727301838-0.009365183181433756j),(-0.0049755071525477345+0.002524849975578323j),(-0.000888114714206414-0.0025731566508697653j),(0.009471165952526277+0.001610070184860074j),(0.005985231255044864-0.02178293020216269j),(0.009895016094990031+0.0009930051326931364j)
"(1.1538461538461542, -3.0)",(-0.002491763923011284-0.0070561179702370806j),(-0.004496221138652469+0.0021615072053606113j),(0.009694492216744361-0.007025048592210956j),(0.014793303263761982+0.00875240439598218j),(0.012688363549120386-0.003875159391369243j),(-0.005836383686619267-0.000987765451144105j),(0.0010942561974208744-0.0024282670952500453j),(0.006218238903910346+0.005972642136181444j),(0.013725112056646708-0.017445901928416063j),(0.010497107114978997+0.00312803380459378j)
"(1.3076923076923084, -3.0)",(-0.0020674915917835088-0.007319438827297047j),(-0.004377189524905637+0.0013192140320611968j),(0.010634070458614009-0.003831857615899318j),(0.00981156947728374+0.013853339288155509j),(0.013195842169099603+0.0035110861240238026j),(-0.004189861578736747-0.0046422390227566866j),(0.00247440728822422-0.0009311320560004064j),(0.001211175682709912+0.007659635545386579j),(0.01950080503751701-0.009269191250299147j),(0.010203000923994631+0.006230123072433409j)
"(1.4615384615384617, -3.0)",(-0.001160568783959359-0.007687774247206459j),(-0.004175745633217154+0.0003887614508880079j),(0.010644707933750585-0.00024359898132606387j),(0.0026500996287986537+0.016495979595479084j),(0.009242208184586811+0.010508478635513548j),(-0.00023375211290622847-0.006574514676321695j),(0.0023855590579680507+0.0011649870996778818j),(-0.003592540560694014+0.006003854610544747j),(0.020766153393272504+0.0015523518930399246j),(0.008312264039892873+0.009895993702326971j)
