index,xy,inc,scat,tot
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.2563273611437188+0.15290817388656341j),(0.5078997503016385-0.8149303110960169j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.3074803563916594+0.04417894771554109j),(1.257582953087533-0.2677586353868452j)
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.31571580038715547-0.06357662285145015j),(1.0920114836853676+0.5667923263303459j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.29395851691382874-0.15398936858513118j),(0.1836910605729757+0.8399125823497273j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.2583497112097319-0.21961355630116058j),(-0.6372387707797722+0.22526987891275663j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.22366642721699526-0.25983591407044915j),(-0.6349581181036584-0.7724409181163525j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.20081157666672408-0.27742065420618445j),(0.16749747547050167-1.2768655854862865j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.19591708557563914-0.2751095946432301j),(1.0185007853062986-0.8437536458188495j)
"(-0.23076923076923084, -2.8461538461538463)",[-0.23076923 -2.84615385],(0.9232259115800339+0.3842576169540631j),(0.21011636483962345-0.2532576613244528j),(1.1333422764196572+0.13099995562961025j)
"(-0.07692307692307665, -2.8461538461538463)",[-0.07692308 -2.84615385],(0.17620784286427238+0.9843529834937871j),(0.23912354190743412-0.2091611567536419j),(0.4153313847717065+0.7751918267401452j)
"(0.0769230769230771, -2.8461538461538463)",[ 0.07692308 -2.84615385],(-0.7325955350013151+0.6806642212546041j),(0.27239324641930385-0.13860196691510024j),(-0.4602022885820113+0.542062254339504j)
"(0.23076923076923084, -2.8461538461538463)",[ 0.23076923 -2.84615385],(-0.9687659971841128-0.2479766978969426j),(0.2927138015261095-0.03991876591336786j),(-0.6760521956580033-0.28789546381031045j)
"(0.384615384615385, -2.8461538461538463)",[ 0.38461538 -2.84615385],(-0.31546352898776714-0.9489377017900512j),(0.2782222784523925+0.07991842543606222j),(-0.03724125053537464-0.869019276353989j)
"(0.5384615384615388, -2.8461538461538463)",[ 0.53846154 -2.84615385],(0.6274819183925043-0.7786311335224546j),(0.20912901588846336+0.19960724101319088j),(0.8366109342809677-0.5790238925092637j)
"(0.6923076923076925, -2.8461538461538463)",[ 0.69230769 -2.84615385],(0.994304563842483+0.1065759556467108j),(0.0796279116436184+0.28288296535332574j),(1.0739324754861015+0.38945892100003654j)
"(0.8461538461538463, -2.8461538461538463)",[ 0.84615385 -2.84615385],(0.44820603259859493+0.8939302838265561j),(-0.0890766175827784+0.2883196848725341j),(0.3591294150158165+1.1822499686990904j)
"(1.0, -2.8461538461538463)",[ 1.         -2.84615385],(-0.509413066447917+0.860522125068339j),(-0.24415867106067304+0.19095791299345571j),(-0.75357173750859+1.0514800380617948j)
"(1.1538461538461542, -2.8461538461538463)",[ 1.15384615 -2.84615385],(-0.9993143323913952+0.03702519516680667j),(-0.31579311224765055+0.007671838164397208j),(-1.3151074446390458+0.04469703333120388j)
"(1.3076923076923084, -2.8461538461538463)",[ 1.30769231 -2.84615385],(-0.5716947004238299-0.8204664341137347j),(-0.25326852748029377-0.19196378389203367j),(-0.8249632279041237-1.0124302180057683j)
"(1.4615384615384617, -2.8461538461538463)",[ 1.46153846 -2.84615385],(0.3808266745304521-0.9246464426828652j),(-0.06682620832018447-0.3078653326527444j),(0.3140004662102676-1.2325117753356096j)
"(1.6153846153846159, -2.8461538461538463)",[ 1.61538462 -2.84615385],(0.9836918692041161-0.17986190942418037j),(0.15627556536212164-0.2653063377399851j),(1.1399674345662378-0.4451682471641655j)
"(1.7692307692307692, -2.8461538461538463)",[ 1.76923077 -2.84615385],(0.6833799374774259+0.7300629158184584j),(0.28793133843168933-0.07465064287642156j),(0.9713112759091151+0.6554122729420369j)
"(1.9230769230769234, -2.8461538461538463)",[ 1.92307692 -2.84615385],(-0.24437758721720343+0.9696801508053561j),(0.24001238506701883+0.1537863303489771j),(-0.0043652021501845995+1.1234664811543331j)
"(2.0769230769230775, -2.8461538461538463)",[ 2.07692308 -2.84615385],(-0.9477597217217487+0.31898512485994307j),(0.038005749298915745+0.26951098801898543j),(-0.909753972422833+0.5884961128789286j)
"(2.230769230769231, -2.8461538461538463)",[ 2.23076923 -2.84615385],(-0.7809558469882428-0.6245862350827757j),(-0.1782673454925977+0.18935216926554052j),(-0.9592231924808405-0.4352340658172351j)
"(2.384615384615385, -2.8461538461538463)",[ 2.38461538 -2.84615385],(0.10288298534745804-0.9946934660115119j),(-0.24806670035121586-0.02742792114761859j),(-0.14518371500375782-1.0221213871591304j)
"(2.5384615384615383, -2.8461538461538463)",[ 2.53846154 -2.84615385],(0.8922597590135154-0.45152244954724396j),(-0.1176567302037496-0.21048968936936238j),(0.7746030288097658-0.6620121389166064j)
"(2.6923076923076925, -2.8461538461538463)",[ 2.69230769 -2.84615385],(0.8624078388402023+0.506214104413312j),(0.10454092210394572-0.21021875579841273j),(0.9669487609441481+0.2959953486148993j)
"(2.8461538461538467, -2.8461538461538463)",[ 2.84615385 -2.84615385],(0.040735778586812085+0.999169953683019j),(0.22851343439388155-0.028121019703705195j),(0.26924921298069365+0.9710489339793138j)
"(3.0, -2.8461538461538463)",[ 3.         -2.84615385],(-0.8183378548599027+0.5747374664168786j),(0.1453122063937091+0.1745620251715386j),(-0.6730256484661936+0.7492994915884172j)
"(-3.0, -2.6923076923076925)",[-3.         -2.69230769],(-0.26036939857474106+0.9655090762317191j),(0.2059663006990937-0.06124151754248931j),(-0.05440309787564737+0.9042675586892298j)
"(-2.8461538461538463, -2.6923076923076925)",[-2.84615385 -2.69230769],(-0.952901918973441+0.3032786389060952j),(0.1001493020404116-0.1956984564244687j),(-0.8527526169330294+0.10758018248162649j)
"(-2.6923076923076925, -2.6923076923076925)",[-2.69230769 -2.69230769],(-0.7705271194446743-0.6374072153657288j),(-0.06824381559447895-0.2147210778043524j),(-0.8387709350391532-0.8521282931700811j)
"(-2.5384615384615383, -2.6923076923076925)",[-2.53846154 -2.69230769],(0.11930749686253489-0.9928573518851519j),(-0.20164219657685348-0.11352812474363336j),(-0.08233469971431859-1.1063854766287853j)
"(-2.3846153846153846, -2.6923076923076925)",[-2.38461538 -2.69230769],(0.8995998819611948-0.43671507001179205j),(-0.2333041608068634+0.04840402431705315j),(0.6662957211543314-0.3883110456947389j)
