index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-2.0769230769230766, 0.8461538461538463)",(0.015740956281802772-0.011387081309779057j),(-0.00798897024493363-0.008479962945706533j),(0.0030246544638341363+0.006902193664261388j),(-0.004859232304375476-0.003204082179322348j),(0.010444306853640837-2.496273503712636e-05j),(-0.008957848337711431-0.022319317922337243j),(0.0042485408366205344-0.01692453783474751j),(-0.000629715831690913+0.006976742829402981j),(0.004752849577790819-0.0039535226915061155j),(-0.008137729033071844+0.004593848113828497j),(0.0024803912618177274-0.013513321396501392j),(0.015410574147643318-0.005985157900414927j)
"(-1.923076923076923, 0.8461538461538463)",(-0.0032028180992059183-0.019508904374042083j),(-0.0112318523710735+0.003837025344734409j),(0.007761023069628081-2.8633898927684738e-06j),(-0.005069567491811489+0.003297706335293919j),(0.004376138727073251-0.010171967098203864j),(-0.02562984820536472-0.0026842945176481976j),(-0.010724906887074904-0.013226581490847326j),(0.00424670261377004+0.0053996408299708636j),(0.0007290773112347739-0.006570239042824799j),(-0.001963383780289433+0.009821892582869828j),(-0.010074162585060888-0.010275837930911427j),(0.0026513896630393024-0.016762451893197895j)
"(-1.7692307692307692, 0.8461538461538463)",(-0.01918652016601767-0.006054327963338121j),(-0.0011860268876601478+0.012039408939145135j),(0.003204203443029249-0.007338955627951692j),(0.0010455300611263145+0.006216469705215808j),(-0.008130293156004552-0.008598199377222381j),(-0.015886335694593603+0.022760077890663637j),(-0.01633177990565643-0.00021170445358138768j),(0.006621647300685303+0.0014581394469286061j),(-0.004096264030932476-0.005848293924719986j),(0.006356366215092714+0.008703101080967125j),(-0.01494016353627824+0.0021291849661960204j),(-0.013377867015725827-0.011162914425563691j)
"(-1.6153846153846154, 0.8461538461538463)",(-0.014392712703119839+0.014559103761989392j),(0.010664087283180381+0.006201353421738292j),(-0.005631345167551307-0.006070660888003397j),(0.006402813014958185+0.0015812009389814263j),(-0.011992727059079942+0.004409906366005655j),(0.01250352436494204+0.02727765884543766j),(-0.010719419231765618+0.010923772658402327j),(0.006271819394709257-0.002576214073067089j),(-0.007469876556077988-0.0022250986871243175j),(0.01151053163426801+0.0017136731382453657j),(-0.007807142406280661+0.013783445457837403j),(-0.01695506870203026+0.00569522512408949j)
"(-1.4615384615384615, 0.8461538461538463)",(0.00636552249933176+0.019829414195386967j),(0.010284104996978953-0.0072526262520986534j),(-0.008098813188001427+0.0028426098751823683j),(0.004189147150815398-0.005521554888489449j),(-0.0007021017193869024+0.013978038979133238j),(0.032115369398840014+0.0045116293061355185j),(-0.0008864745580151333+0.013890033972632151j),(0.004288042222139139-0.005441094620067152j),(-0.008155304527165074+0.0027235083622647906j),(0.010378397624148794-0.00715265608684353j),(0.006050506618580644+0.015496980302062747j),(-0.004399655249593529+0.017817175844944452j)
"(-1.3076923076923075, 0.8461538461538463)",(0.020841735031096632+0.003740210351183989j),(-0.002334489447360136-0.012627510944925657j),(-0.000637876163632055+0.008899729682368995j),(-0.003621712915437972-0.00636493715390826j),(0.014092723589465278+0.006805463342555559j),(0.023990224537597447-0.02509323243773093j),(0.006004320222053175+0.01067216542399207j),(0.0018510524724895947-0.007052958480812688j),(-0.006192429917161615+0.0073043289428905605j),(0.003553910992692377-0.013211525199019938j),(0.01646284130745442+0.0058435572466429666j),(0.01276074069021233+0.013824079269000013j)
"(-1.1538461538461537, 0.8461538461538463)",(0.013438744728609505-0.016795586063448505j),(-0.012697533315271226-0.0032484397128945187j),(0.008258928168829784+0.004290144686782958j),(-0.007737303945251175+0.0009052758164270971j),(0.0135496904023249-0.011961459750710174j),(-0.003852961775449037-0.03589296603988317j),(0.008237231386881335+0.006586267213236003j),(-0.00034412973061006435-0.007934629042494017j),(-0.00248259329302295+0.010455251260708563j),(-0.005635424598369811-0.013752564371588682j),(0.01623836033616297-0.008493188358930044j),(0.019061402757881006-0.002729205738917967j)
"(-1.0, 0.8461538461538463)",(-0.008254193280715432-0.020200381715298983j),(-0.008472888223180196+0.010351188537259899j),(0.0075404290037563-0.006176088257894463j),(-0.0023011865225937814+0.008035257770331084j),(-0.006940390405975147-0.02093363161554856j),(-0.026673241493161685-0.022793349685797097j),(0.007992596072429905+0.004790458378796365j),(-0.001997472129994457-0.00870247482446607j),(0.0018446337038714017+0.01196956064896831j),(-0.013404444830764146-0.008972321965467413j),(0.00576810548216222-0.018293882679834717j),(0.00915330105798402-0.017400500732916734j)
"(-0.8461538461538458, 0.8461538461538463)",(-0.021898014649520566-0.0029328634659391483j),(0.00589574458442958+0.012308838842340856j),(-0.0028713455636466974-0.009848828251371516j),(0.007135777683960353+0.005599365706872295j),(-0.029351917422758327-0.003777826557027018j),(-0.029351917422758347-0.003777826557027053j),(0.007135777683960376+0.005599365706872271j),(-0.0028713455636467117-0.009848828251371518j),(0.005895744584429593+0.01230883884234084j),(-0.017412520199601444-0.0011253161541013022j),(-0.008389846284115203-0.01815948360634424j),(-0.008389846284115215-0.018159483606344232j)
"(-0.6923076923076921, 0.8461538461538463)",(-0.013850082809090206+0.017483359586536067j),(0.013912866642713337-7.359464884628317e-05j),(-0.010794296214505875-0.0012447488643033727j),(0.008600194869647002-0.0051047912346757025j),(-0.02845788318032175+0.031931366005148974j),(-0.01800764538373518+0.001723950913871445j),(0.005319617996821932+0.008323961004482796j),(-0.0025135246166391556-0.011605518659394376j),(0.00915473216603522+0.012258788803214245j),(-0.01737415136580474+0.007080363139919118j),(-0.01866707019388567-0.009048693150788295j),(-0.01960559226089054-0.005069169408322833j)
