index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(-1.4615384615384615, -3.0)",(-0.00024743270117396146-0.010653270003475112j),(0.009347087012919244+0.004476257775982279j),(0.00042348518679396227+0.012154376560225047j),(0.0005598051031321552+0.012128120143372853j),(0.009444932852802243+0.004147122791009416j),(-0.0009816679535431182-0.007776393591227783j),(-0.0006803496949036897+0.006053972074431645j),(-0.0003305656892238789-0.0062371403859968165j),(-0.0012862151650437415+0.00953954258135837j),(0.01536590804005605-0.0004673511639016914j),(0.015280388359134813-0.0001787137388742834j),(-0.0017443142786275857+0.009358696181032133j),(8.441455088122517e-05-0.006214900278971486j),(-0.0010732112593728178+0.006017581734689565j)
"(-1.3076923076923075, -3.0)",(-0.0070923912664373565-0.00781987270995411j),(0.010054466212288383-0.0019090928796011535j),(0.006595600041373995+0.01020877099902341j),(0.005692890037766824+0.010932184377510054j),(0.010597521036351372+0.0008987300534146143j),(-0.002875835939902712-0.007628251819752753j),(0.0003347505937639928+0.0062589388922759575j),(-0.0012538734903917495-0.006038811127954787j),(0.0009072232832119466+0.009164971971580903j),(0.01380567875236238-0.006126448193159375j),(0.013337533443615764-0.008624984367204661j),(0.005002594395988526+0.008776182501055912j),(-0.0044139877018468995-0.004659989717915805j),(0.0033865645462721455+0.005066535998647367j)
"(-1.1538461538461537, -3.0)",(-0.010331985047842902-0.0015627958608802621j),(0.007091534485732982-0.00716872951360389j),(0.010681606192875504+0.00572401888931635j),(0.00960447488370314+0.007980969803431883j),(0.010722001255808888-0.0022205745447127045j),(-0.004437113772428598-0.007223096294579717j),(0.0010851381173309902+0.006372102022841837j),(-0.0017912584429976616-0.005845184175744618j),(0.00229619734602647+0.008489175528204714j),(0.010896085305241082-0.009909187930535253j),(0.007780516199720474-0.014476907209689428j),(0.009907704746733538+0.004150881640160123j),(-0.0066353218965054086-0.0005055904029271457j),(0.005899054366260358+0.001479910679478957j)
"(-1.0, -3.0)",(-0.009057893916168104+0.004975502759445163j),(0.002064527651817987-0.009695013765544384j),(0.012050857605733073+0.0002635334982985765j),(0.011925786107322263+0.004138571237068081j),(0.01012514107841084-0.004910469975273645j),(-0.005645955598397032-0.006762327524770978j),(0.0015432901583563327+0.006498166526578657j),(-0.0019738829686366762-0.005756293456828179j),(0.0029587682097089135+0.00785036934222342j),(0.007848938072773492-0.011895072604558743j),(0.0009011045095778931-0.016884273169618925j),(0.011193229275495204-0.00236058018785606j),(-0.005635008674054349+0.004031263172047755j),(0.005453788681407535-0.0026835485437146592j)
"(-0.8461538461538458, -3.0)",(-0.00444210312665381+0.009196818263820171j),(-0.0031077326548203227-0.009210604222222541j),(0.010960393141729405-0.004781786521363888j),(0.012728390508383+0.00017926687782310175j),(0.009143393286597828-0.00704343929002035j),(-0.006523784823586251-0.006409890557954657j),(0.0016868284912460816+0.006702452255028462j),(-0.001819155628830469-0.005805671503704116j),(0.0030149014263631474+0.007415372358592956j),(0.005429339201076081-0.01256308693818293j),(-0.005397628428324344-0.016406700649411046j),(0.008869616560460866-0.008360126037902817j),(-0.0021173392425110705+0.006929776815951011j),(0.0026265240037289333-0.0054905211500340095j)
"(-0.6923076923076921, -3.0)",(0.001330679899206451+0.010000037296840968j),(-0.006977198540812171-0.006461809574116602j),(0.00818975839941846-0.008538018093027872j),(0.01235536618859965-0.00335624452036151j),(0.008076565933851995-0.008618089257230168j),(-0.007098562028124963-0.006287038007107936j),(0.0014833790030443872+0.007003828916617303j),(-0.0013199078325231664-0.005965244282018068j),(0.0025570122113205496+0.007208503364289753j),(0.003974232500825683-0.012431239221132437j),(-0.010105747529678456-0.014282713021966702j),(0.004191516924024511-0.012283214009924983j),(0.002310333078735152+0.007253435289355116j),(-0.0011066662912118544-0.006008785170058257j)
"(-0.5384615384615383, -3.0)",(0.006230777670674575+0.007771642665247655j),(-0.008899813743964053-0.0026327876285200448j),(0.004649501362944054-0.010706000423148699j),(0.011251795040450242-0.006188216824074375j),(0.007157990591836544-0.009702032247482383j),(-0.007377781187982661-0.00647305890856793j),(0.0008870233886059393+0.007366058312853142j),(-0.0004529316201347203-0.006144245251700142j),(0.0016344976666238505+0.007142343248095778j),(0.0035315791719739554-0.01185407052236603j),(-0.013033931829758986-0.011764613377647832j),(-0.001242603292313963-0.013735953316985827j),(0.00608757500307502+0.005240757664274631j),(-0.0042740775949302-0.004425540265483218j)
"(-0.3846153846153846, -3.0)",(0.009085555813722527+0.0037638434770822j),(-0.00895924571988079+0.0011806250473348184j),(0.0011035221318227773-0.011428946666957939j),(0.009841353692419168-0.008250178692525227j),(0.006550512789742752-0.010380649586818743j),(-0.0073306343746855195-0.007004043817051398j),(-0.00015046053606132211+0.007686908530960025j),(0.0007933401967349574-0.006185707064028192j),(0.00027973441331114607+0.007038636043106414j),(0.003989116419962433-0.010961034152012182j),(-0.01445672510995612-0.009760330644920519j),(-0.0061859359946068145-0.0132288018939508j),(0.00830996976365049+0.0018346954472956334j),(-0.0060046280655925224-0.0016172694373277092j)
"(-0.23076923076923084, -3.0)",(0.00969007343648735-0.0006379238422745421j),(-0.007674947869175389+0.004262899237990663j),(-0.00195470473250393-0.011091506775165233j),(0.008460745406790192-0.00961073949947699j),(0.006354923073835172-0.010718758775109341j),(-0.006880880483706613-0.007864324384231089j),(-0.0016503872141348389+0.007789926364357534j),(0.002372746679078351-0.005872101727444241j),(-0.0014366539460595978+0.006648757005649938j),(0.005134820134909821-0.00968403859992799j),(-0.014744663499560317-0.008758104160784102j),(-0.010007969403697123-0.011680669242487809j),(0.008841162814962318-0.0019137190335043683j),(-0.006151133295504575+0.0014186519939406003j)
"(-0.07692307692307665, -3.0)",(0.008519093059576035-0.004412927933459517j),(-0.005690730013812208+0.006330326114035786j),(-0.0043014902040238055-0.010140535678502397j),(0.007341392193088416-0.010397066695423205j),(0.006619289364972147-0.010736289809406859j),(-0.005913657468898181-0.008968923279179798j),(-0.0035594379824181416+0.007430166674563933j),(0.004124001733420875-0.004957788497219607j),(-0.00333624178396113+0.0056958167674291j),(0.006651117574779022-0.007838765684445942j),(-0.014125396069766531-0.008890266910080928j),(-0.012601593473715957-0.010003964938357758j),(0.008082830939245129-0.005249787113975013j),(-0.005076238300245241+0.00396101718234516j)
