index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(-1.4615384615384615, -3.0)",(-0.00018864315434252927-0.010072058476128649j),(0.0087292391892171+0.0017102842468186628j),(0.002268829372164487+0.009616617029432008j),(-0.0017434134017905317+0.010125169569247796j),(0.001929489000366265+0.009725091485849031j),(0.008641996233598334+0.0023255909056375842j),(0.0003751067555348854-0.007753408869838754j),(-0.005171420104875371+0.004450554598081543j),(0.006417984615791817-0.0015476667253175624j),(-0.007419979588107777-0.0017035542278433632j),(0.004315531001344465+0.009263283381584466j),(0.013068620679788256-0.002130544469476918j),(0.013088671283995894-0.0025548077146826777j),(0.0051640880411479495+0.008995646598449277j),(-0.007655182618588719-0.0008232073139244614j),(0.006181504655852848-0.0023624289673829612j),(-0.004583740774738995+0.005012989470480667j)
"(-1.3076923076923075, -3.0)",(-0.00672995380769892-0.00745971399784261j),(0.007929980684772214-0.003912951739843728j),(0.007130481871035606+0.006826784962549073j),(0.0032521891694723593+0.009820223160668884j),(0.0056641940458670905+0.00832684464242979j),(0.009148706739007419-0.00047474382816212955j),(-0.0014954995504462259-0.007834402006428109j),(-0.004404223177006404+0.005413214486667469j),(0.006153848680451747-0.002497694174566991j),(-0.007469844263784724-0.00040818011129165787j),(0.006346194204459771+0.007655237271498485j),(0.011175545137689395-0.006923000295702458j),(0.010137874521035912-0.009237739413981472j),(0.010103714441431318+0.003983503618263421j),(-0.0063906264153065565+0.004798769909789236j),(0.002808067146478468-0.006117702602511616j),(0.00012325110649652064+0.006798189180558774j)
"(-1.1538461538461537, -3.0)",(-0.009899035679648206-0.001506158682384425j),(0.0041399944806705235-0.00773999332316072j),(0.009607474624538603+0.002154440808960862j),(0.0072788475229579415+0.007426300640013636j),(0.00837502760684343+0.005847216997389872j),(0.008874396357761117-0.002998747657644311j),(-0.003047342268672673-0.007604043003078352j),(-0.003762772808317532+0.006071921637327292j),(0.005938907408405575-0.003088071961112189j),(-0.00734837454337383+0.0003986371783093421j),(0.007439846560459716+0.006144610398409787j),(0.00826848718374441-0.009999090163579194j),(0.004768557392543018-0.013214194224954992j),(0.011024943831434503-0.0028030300584022424j),(-0.0017724634153517406+0.008125072387016936j),(-0.002108482256528402-0.00652752882068535j),(0.004625552970017026+0.004994513245861034j)
"(-1.0, -3.0)",(-0.008737011714792183+0.004807839716194127j),(-0.000846977217818065-0.008658101151850192j),(0.009398503572385497-0.002787204391749915j),(0.009704680790484975+0.0038327941466293736j),(0.009927503586012834+0.00290177177231369j),(0.008114599654827364-0.005065602743129295j),(-0.004238880121746965-0.007261896251220133j),(-0.00335405279874593+0.006501558830240042j),(0.005872838899029821-0.003345827181698724j),(-0.007214453678287578+0.0007218598964546584j),(0.007855370530314603+0.00505952932482767j),(0.005392299161057437-0.011529577829294996j),(-0.0010478621271682298-0.01427729578037802j),(0.008137732550679521-0.008697025131993236j),(0.003800218375842658+0.00779841255493569j),(-0.0059655251147373075-0.0036714686009053756j),(0.006763071546700542+0.0008660918162160752j)
"(-0.8461538461538458, -3.0)",(-0.004297461129119346+0.008947593674637065j),(-0.005220598274847549-0.006844509737271169j),(0.007052592895491554-0.006720579820576117j),(0.010449525833266617-5.621528642317539e-05j),(0.010454351247100375-7.094800499402984e-06j),(0.007153736829446248-0.006630728947388759j),(-0.005076988110179144-0.006970221960383127j),(-0.0032455598001909745+0.006754874721680611j),(0.005998399608849281-0.0032801484282579396j),(-0.00713328442130532+0.0005836314419485601j),(0.007815418746618622+0.004534437793385525j),(0.003180411744324254-0.011996708520845528j),(-0.005937791888140771-0.01322751187842689j),(0.002995232675721989-0.01208856608267038j),(0.00797031428039511+0.004329480586990569j),(-0.0071222072290799965+0.0008238168478273137j),(0.005883716782885507-0.003475475242362611j)
"(-0.6923076923076921, -3.0)",(0.0013358739679899165+0.00978390909226209j),(-0.007827362256494686-0.0033253726808572274j),(0.0035310596240094726-0.008993905873324756j),(0.009818950141692552-0.0035587063017785223j),(0.010232692968977958-0.002553347704638165j),(0.006224278226123382-0.007736127074833371j),(-0.0055828023533583-0.006845540628618996j),(-0.003475469014871318+0.006844635355403174j),(0.006302797204349482-0.0028704488830773897j),(-0.0070805722898836755+1.134366788337304e-06j),(0.007437716500598642+0.004576291759763679j),(0.001900221515539006-0.011882311787485977j),(-0.009339852181970495-0.011198616926428403j),(-0.00258890827086096-0.012730418964979787j),(0.009479855222513416-0.000651600253232012j),(-0.0054418644372551716+0.004951209022214722j),(0.0027628009434221717-0.00627350071503305j)
"(-0.5384615384615383, -3.0)",(0.006175247721013434+0.007634588152496993j),(-0.008363844738654175+0.0006454570415905372j),(-0.00021004352732658917-0.00956161710735421j),(0.00829511336196897-0.006299499067081017j),(0.009577761741813833-0.004581759801005969j),(0.005494857756091711-0.008460980367140205j),(-0.005765608574683783-0.006958057079953492j),(-0.004054471173279259+0.0067340309739211505j),(0.00671237871309434-0.0020707631800459068j),(-0.006948902939378543-0.0010068122135124783j),(0.006723213958732839+0.005106468162452636j),(0.0015900753757627161-0.011498713502168672j),(-0.011299956296980915-0.009171453643514835j),(-0.007320903197594933-0.011344442989942928j),(0.00835971835751167-0.005431296365412401j),(-0.0019279962114922145+0.007320508847209181j),(-0.0011365874043961404-0.006790112106521112j)
"(-0.3846153846153846, -3.0)",(0.009036542765867815+0.0036920617564800114j),(-0.007190311961096895+0.00406952249399124j),(-0.0034789098183296346-0.00878348383353893j),(0.006365336273663722-0.008180398374738435j),(0.008773187812807823-0.006064362128269145j),(0.005075524067083826-0.008882257277245587j),(-0.0056068950575075115-0.007331244735050041j),(-0.0049559791566748754+0.00633532354732144j),(0.007082754951878408-0.0008322027895206354j),(-0.006558475581704022-0.002387703473389744j),(0.005582434914890367+0.0059663894036977964j),(0.0021740340381445427-0.010937395603493454j),(-0.012128350656520293-0.007778255682556032j),(-0.010669285505849446-0.00900706742758308j),(0.005479467378461573-0.008917567033738394j),(0.002046731443128945+0.007538108230678685j),(-0.004468840200502199-0.005289875355292056j)
"(-0.23076923076923084, -3.0)",(0.00967893574516399-0.0006859253490802742j),(-0.004985450888465817+0.0064167665905610705j),(-0.005926901497538842-0.007183925417063989j),(0.004421490124032072-0.00929311576372539j),(0.008037948258725676-0.007045859980085323j),(0.005028645048687451-0.009047875206822466j),(-0.0050557110404526795-0.007936726879110739j),(-0.006094930160476114+0.005520277219422768j),(0.007193795988942867+0.0008545329406190242j),(-0.0056847072833074675-0.0040053357373286405j),(0.003894074976003051+0.006898187594406079j),(0.0035051017418182033-0.010087781940877432j),(-0.012115610893188094-0.0073101046058275205j),(-0.012698917572491582-0.006683990117026977j),(0.0019257686083077187-0.010816029608718527j),(0.005394937719660992+0.006017345533635665j),(-0.00647455071493798-0.0026027511007751646j)
"(-0.07692307692307665, -3.0)",(0.008544064094300887-0.004476801641915731j),(-0.0024345169493466996+0.007601499292927634j),(-0.007498995432618344-0.00526528198006185j),(0.0027264441063359433-0.009823520542284348j),(0.007519559647138185-0.007595066475368145j),(0.005376867254999348-0.008961422184371726j),(-0.004037259653989045-0.008683350419638095j),(-0.007300480101685046+0.0041489600143611895j),(0.006765963658165715+0.0028991432495829067j),(-0.004119705520747028-0.005588984507131248j),(0.0015974181362468827+0.007529371340530122j),(0.005338061197210494-0.008700477341378294j),(-0.011379674660598181-0.00779030794359443j),(-0.013749131176930267-0.005034370207332684j),(-0.0014375561536588794-0.011425824512296318j),(0.007600944697427564+0.003535210642855002j),(-0.007037002433496877+0.00037284151510195664j)
