index,x,value
"(-1.6153846153846154, -2.6923076923076925)","(-1.6153846153846154, -2.6923076923076925)",(0.16032584122314006-0.053150999968935506j)
"(-1.4615384615384615, -2.6923076923076925)","(-1.4615384615384615, -2.6923076923076925)",(0.14758174215732814-0.11598384136735028j)
"(-1.3076923076923075, -2.6923076923076925)","(-1.3076923076923075, -2.6923076923076925)",(0.12605742974693127-0.1887394174447667j)
"(-1.1538461538461537, -2.6923076923076925)","(-1.1538461538461537, -2.6923076923076925)",(0.07782137477366005-0.27174696565227274j)
"(-1.0, -2.6923076923076925)","(-1.0, -2.6923076923076925)",(-0.005594097291049129-0.34577161989817823j)
"(-0.8461538461538458, -2.6923076923076925)","(-0.8461538461538458, -2.6923076923076925)",(-0.11066289691857523-0.38919350935378705j)
"(-0.6923076923076921, -2.6923076923076925)","(-0.6923076923076921, -2.6923076923076925)",(-0.20821527808291496-0.3952028488476653j)
"(-0.5384615384615383, -2.6923076923076925)","(-0.5384615384615383, -2.6923076923076925)",(-0.2691260575227539-0.37546392642363985j)
"(-0.3846153846153846, -2.6923076923076925)","(-0.3846153846153846, -2.6923076923076925)",(-0.27613466112205065-0.3504031428372014j)
"(-0.23076923076923084, -2.6923076923076925)","(-0.23076923076923084, -2.6923076923076925)",(-0.22611555858423987-0.3351806587161864j)
"(-0.07692307692307665, -2.6923076923076925)","(-0.07692307692307665, -2.6923076923076925)",(-0.12613287411379712-0.33017296445637895j)
"(0.0769230769230771, -2.6923076923076925)","(0.0769230769230771, -2.6923076923076925)",(0.010071703703625434-0.31971984432574113j)
"(0.23076923076923084, -2.6923076923076925)","(0.23076923076923084, -2.6923076923076925)",(0.1614401981316729-0.27871559762487486j)
"(0.384615384615385, -2.6923076923076925)","(0.384615384615385, -2.6923076923076925)",(0.29668988394954937-0.18509824187752322j)
"(0.5384615384615388, -2.6923076923076925)","(0.5384615384615388, -2.6923076923076925)",(0.3753175957740559-0.035265453402663294j)
"(0.6923076923076925, -2.6923076923076925)","(0.6923076923076925, -2.6923076923076925)",(0.3587830341151139+0.14339908218382652j)
"(0.8461538461538463, -2.6923076923076925)","(0.8461538461538463, -2.6923076923076925)",(0.23233676959170263+0.292262885514979j)
"(1.0, -2.6923076923076925)","(1.0, -2.6923076923076925)",(0.027415547873496673+0.34198640716178363j)
"(1.1538461538461542, -2.6923076923076925)","(1.1538461538461542, -2.6923076923076925)",(-0.17440325451214095+0.2520613741251072j)
"(1.3076923076923084, -2.6923076923076925)","(1.3076923076923084, -2.6923076923076925)",(-0.2718271298206569+0.0496476989048371j)
"(1.4615384615384617, -2.6923076923076925)","(1.4615384615384617, -2.6923076923076925)",(-0.20345883405562662-0.1642383017344835j)
"(1.6153846153846159, -2.6923076923076925)","(1.6153846153846159, -2.6923076923076925)",(-0.0015917861974459116-0.2622367364798766j)
"(1.7692307692307692, -2.6923076923076925)","(1.7692307692307692, -2.6923076923076925)",(0.2075511207061755-0.1750263319348341j)
"(1.9230769230769234, -2.6923076923076925)","(1.9230769230769234, -2.6923076923076925)",(0.2774561332351216+0.04526305067150364j)
"(2.0769230769230775, -2.6923076923076925)","(2.0769230769230775, -2.6923076923076925)",(0.14951765153987975+0.2437253539217881j)
"(2.230769230769231, -2.6923076923076925)","(2.230769230769231, -2.6923076923076925)",(-0.08851893291356983+0.2697683530828091j)
"(2.384615384615385, -2.6923076923076925)","(2.384615384615385, -2.6923076923076925)",(-0.25676406677296526+0.09915981218766987j)
"(2.5384615384615383, -2.6923076923076925)","(2.5384615384615383, -2.6923076923076925)",(-0.223931628019086-0.13463342848702328j)
"(2.6923076923076925, -2.6923076923076925)","(2.6923076923076925, -2.6923076923076925)",(-0.021913994871827505-0.24300690231968902j)
"(2.8461538461538467, -2.6923076923076925)","(2.8461538461538467, -2.6923076923076925)",(0.17419356009632414-0.14316463104856375j)
"(3.0, -2.6923076923076925)","(3.0, -2.6923076923076925)",(0.19722167400278082+0.06535271384524641j)
"(-3.0, -2.5384615384615383)","(-3.0, -2.5384615384615383)",(0.15334706206189433-0.2990074045289604j)
"(-2.8461538461538463, -2.5384615384615383)","(-2.8461538461538463, -2.5384615384615383)",(-0.12326865568435598-0.30437205216528584j)
"(-2.6923076923076925, -2.5384615384615383)","(-2.6923076923076925, -2.5384615384615383)",(-0.29723205176143197-0.10652728286578146j)
"(-2.5384615384615383, -2.5384615384615383)","(-2.5384615384615383, -2.5384615384615383)",(-0.2646703700807093+0.13771550914598468j)
"(-2.3846153846153846, -2.5384615384615383)","(-2.3846153846153846, -2.5384615384615383)",(-0.07845656828726923+0.2656762678615448j)
"(-2.230769230769231, -2.5384615384615383)","(-2.230769230769231, -2.5384615384615383)",(0.11964116976770944+0.22309878539953357j)
"(-2.0769230769230766, -2.5384615384615383)","(-2.0769230769230766, -2.5384615384615383)",(0.21616434306174898+0.0747549788258109j)
"(-1.923076923076923, -2.5384615384615383)","(-1.923076923076923, -2.5384615384615383)",(0.1927736951760058-0.07279794724727813j)
"(-1.7692307692307692, -2.5384615384615383)","(-1.7692307692307692, -2.5384615384615383)",(0.10548837423863158-0.15551021472387788j)
"(-1.6153846153846154, -2.5384615384615383)","(-1.6153846153846154, -2.5384615384615383)",(0.01711138799258492-0.17755471134715733j)
"(-1.4615384615384615, -2.5384615384615383)","(-1.4615384615384615, -2.5384615384615383)",(-0.05091846951500004-0.17702085563252593j)
"(-1.3076923076923075, -2.5384615384615383)","(-1.3076923076923075, -2.5384615384615383)",(-0.11587260228717794-0.17820849242815961j)
"(-1.1538461538461537, -2.5384615384615383)","(-1.1538461538461537, -2.5384615384615383)",(-0.19929903879882782-0.17372822717161243j)
"(-1.0, -2.5384615384615383)","(-1.0, -2.5384615384615383)",(-0.29976587842699215-0.14197510522331547j)
"(-0.8461538461538458, -2.5384615384615383)","(-0.8461538461538458, -2.5384615384615383)",(-0.393668501430379-0.07479600264109873j)
"(-0.6923076923076921, -2.5384615384615383)","(-0.6923076923076921, -2.5384615384615383)",(-0.4554085320722653+0.010525948068342884j)
"(-0.5384615384615383, -2.5384615384615383)","(-0.5384615384615383, -2.5384615384615383)",(-0.4750246350356423+0.08060163817018162j)
"(-0.3846153846153846, -2.5384615384615383)","(-0.3846153846153846, -2.5384615384615383)",(-0.4598104415217623+0.10445311216830587j)
"(-0.23076923076923084, -2.5384615384615383)","(-0.23076923076923084, -2.5384615384615383)",(-0.4226002490673569+0.06706620026216636j)
"(-0.07692307692307665, -2.5384615384615383)","(-0.07692307692307665, -2.5384615384615383)",(-0.3684115978035825-0.02686368502309837j)
