index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(1.9230769230769234, -2.5384615384615383)",(-0.006119550971230475+0.008758389725114207j),(0.0021676808812477093-0.006240575611875639j),(-1.3056706388133756e-05+0.007029099137237154j),(-0.005667986366012614-0.006078803449788095j),(0.00823717645233942-0.005329879867316315j),(0.010031334733848086+0.0042141524229122795j),(0.009538778517844865+0.005551912362603939j),(0.010013945349252432-0.0019767199520278386j),(-0.0012920572221758297-0.008675644271128824j),(-0.005172101875727346+0.005229001000796123j),(0.006174422042769849-0.002343181550615485j),(-0.007150011588815521+0.0008039565177322166j),(0.008778780755817206+0.004496302496385669j),(0.0057792560876169415-0.012652601096006187j),(0.002957189438762805-0.014447740067077408j),(0.010968305916783942-0.0015414884708753547j)
"(2.0769230769230775, -2.5384615384615383)",(-0.009299957865107032+0.005473279420990175j),(0.004398618850702927-0.0048377762297171665j),(-0.002867273506317624+0.006193432195328127j),(-0.0020465169970662854-0.007775005676102398j),(0.009545735667297831-3.174866974921427e-05j),(0.005290332490766576+0.009284645221666386j),(0.0032920127216794918+0.010434669543211001j),(0.008301171070995074+0.0059129250962783545j),(0.005859061217358429-0.006547074771719786j),(-0.007279018468143887-0.000992468318423124j),(0.005412857323833616+0.00363946141631654j),(-0.004646864160551638-0.005193563026278152j),(0.0017830897355368854+0.00922323940087711j),(0.012586494769766667-0.00438087786412888j),(0.01117884078262657-0.009416802745221126j),(0.010462504639374268+0.004295758105413881j)
"(2.230769230769231, -2.5384615384615383)",(-0.010883724467689806+0.0005214028970558435j),(0.006022557064860958-0.002408003916283475j),(-0.005231507663075685+0.004085095741116271j),(0.0020959516285394995-0.007492864682347587j),(0.007662874912861875+0.005241368895386482j),(-0.001724357907065051+0.010343223291072132j),(-0.0047770768495816185+0.00972511351422168j),(0.0011886332044534244+0.010094306987085268j),(0.008777901239800132+0.00048528057984392227j),(-0.003467830661304895-0.00646289995772549j),(5.1955730182879716e-05+0.006447056052808685j),(0.0016191319446756875-0.006570042412964399j),(-0.006057030333863787+0.0066202016757451595j),(0.011150349838402724+0.006221539853665697j),(0.01442150553530515+0.00024344234322946145j),(0.006463095480020741+0.009511114233072519j)
"(2.384615384615385, -2.5384615384615383)",(-0.009715305816549284-0.005151228319774044j),(0.006401879662158494+0.0007621813296981559j),(-0.006395258656593407+0.0009558214109253295j),(0.0056000263045401615-0.005040007008139952j),(0.0029870635354933167+0.008518919989001384j),(-0.00788904000519822+0.006594948296166107j),(-0.010142330036768545+0.003468831356584959j),(-0.006802703524678724+0.007499984360852918j),(0.004983178817437393+0.007238892668648347j),(0.003283420935632941-0.006541498083918299j),(-0.005285710016791524+0.0035672512696086627j),(0.006204603142791809-0.0022038848659467125j),(-0.00852829573655032-0.0010654871776453955j),(0.002265131938820545+0.012028793638516097j),(0.010118139025887908+0.009939947730452939j),(-0.00043755777246111193+0.011635263655523503j)
"(2.5384615384615383, -2.5384615384615383)",(-0.005319364004822682-0.009729725430885176j),(0.005067515617296351+0.003940516590034512j),(-0.005801489734992608-0.0024827994743957024j),(0.007235013137353867-0.0009786532151827663j),(-0.0028031431309549397+0.008318044505782397j),(-0.010070549380542845-0.0003786494230850801j),(-0.009417673922183373-0.004855658844785582j),(-0.010070549380542845-0.0003786494230850801j),(-0.002803143130954939+0.008318044505782402j),(0.007235013137353881-0.0009786532151827801j),(-0.005801489734992593-0.0024827994743957093j),(0.005067515617296345+0.003940516590034515j),(-0.0037613723607863884-0.007346742167813108j),(-0.0077210340401024195+0.008849792710311348j),(-4.4642792995505975e-05+0.0139106039381722j),(-0.0077210340401024065+0.008849792710311366j)
"(2.6923076923076925, -2.5384615384615383)",(0.001409156558921489-0.011081985946949549j),(0.0020534573430583975+0.006062338111035169j),(-0.003369145411794904-0.005167658420737006j),(0.006230698273844392+0.003364564545557435j),(-0.007247529115479006+0.004509049254045491j),(-0.006917848828597692-0.007044163576804566j),(-0.0027885895881142805-0.010088295356133401j),(-0.006025559600761539-0.008008001624176411j),(-0.008359096131162872+0.002620836024236132j),(0.0048101815141748565+0.005463874383426121j),(-0.0009758700773644313-0.006170675756843723j),(-0.000657337399428645+0.0062342917130225j),(0.0039267384981532165-0.0069073378477302015j),(-0.011250885145253476-0.0008385360455391827j),(-0.010086129213228826+0.009146328698006878j),(-0.011701617425946838+0.0015617689291689799j)
"(2.8461538461538467, -2.5384615384615383)",(0.008013725715529772-0.007884293350645867j),(-0.0018563557233611827+0.0061136817879052716j),(0.00026980928801837844-0.006034671720651046j),(0.002782539590467776+0.006286121888781606j),(-0.008198941544828498-0.001305763844778608j),(1.9594064646221338e-05-0.0096699762278557j),(0.005606781857588745-0.008679769847310625j),(0.0025440962955439444-0.009628564100884002j),(-0.0069503108731840835-0.005294181018639861j),(-0.0019538884614292654+0.006987420209395992j),(0.004701286830018439-0.004022172211078191j),(-0.005548055239951614+0.0026092469045291577j),(0.007656795153465618-0.0003758858808514906j),(-0.005647614518833685-0.00926694757141612j),(-0.013205393949531392-0.0016476533669681384j),(-0.009594362150902137-0.006920897207847306j)
"(3.0, -2.5384615384615383)",(0.011269860530859419-0.0008278217465753726j),(-0.005198531924867016+0.003704541680107272j),(0.0038112227958746942-0.004535957871497813j),(-0.0017805423870109448+0.00643889006366965j),(-0.005045771096083004-0.006308070532813456j),(0.006796583433053895-0.006593979485488786j),(0.010100960570796035-0.0013941553285732981j),(0.00912894757515664-0.0038058527577971694j),(0.00040709177845167296-0.008698898218462297j),(-0.006919867656589751+0.0020910630631914306j),(0.005814973728263599+0.0019371804184356032j),(-0.004967130932782783-0.0033728178114609117j),(0.004197812230003231+0.006108315559853433j),(0.004266537496017038-0.009543233065745192j),(-0.006898688469236192-0.011011820742617398j),(-0.0018266930040528623-0.01168094812898578j)
"(-3.0, -2.3846153846153846)",(-0.005653279146782224-0.00981768595440731j),(0.004798603556616829-0.00883654119815239j),(0.006500871272483622-0.007962141895246192j),(-0.00012802953095674948-0.00948137802926732j),(-0.008060374782475281-0.0002172567133527766j),(0.0039966094241608244+0.00535852201637983j),(-0.001393256010622851-0.005824282073127568j),(-0.00014510379250843938+0.006556999282023206j),(0.005322092386385213-0.0071203317815478825j),(-0.010051315865311616-0.006962362534348184j),(-0.012501943314916848-0.003980414671745311j),(-0.001782466478588227-0.010162402657005043j),(0.006568801029409859+0.0032151217564858354j),(-0.005999829790899164-0.0006927176700163944j),(0.0061784107530955526-0.0010980467588822221j),(-0.004977483440110875+0.0055289894950824306j)
"(-2.8461538461538463, -2.3846153846153846)",(-0.011370897071851082-0.0007331228245976607j),(-0.004297746519257368-0.009180384153387965j),(-0.0020078537408831365-0.010232970662817606j),(-0.007158327250581919-0.006535552543620954j),(-0.00617759246337253+0.0055353368981696455j),(0.0067113465561981405+0.0015240610442555276j),(-0.004821826084318365-0.003744161953029179j),(0.004018571482401683+0.0051869671590984j),(-0.0008066234781554426-0.008768309007849823j),(-0.011983431591857613+0.0026196452808280634j),(-0.011055978916237295+0.007704857167829917j),(-0.009865044616212045-0.004203246179068869j),(0.006304273278930535-0.004174345145535549j),(-0.0036355221481917488+0.004978405404727486j),(0.002162842804171812-0.005956071104387687j),(0.0021282530741097818+0.007164038906901414j)
