index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(-1.4615384615384615, -3.0)",(-0.0001173981809910944-0.0115040262732807j),(0.008305835515352604+0.0037133925261295404j),(0.00044203330220025466+0.010249125363131198j),(0.0005591133053092497+0.010230522944390422j),(0.008395004545282619+0.0034218707142681104j),(-0.0012745796842204078-0.007170453917084209j),(-0.00041138355629219626+0.005831933107921774j),(-0.00012251041869479042-0.005953335010151714j),(-0.0017422376543910808+0.008621360115431747j),(0.013182005815861821-0.0003260440197145238j),(0.013119537255773433-6.441264048552847e-05j),(-0.0021567796402476875+0.008438421890150084j),(0.0002623760944711707-0.005922540491967095j),(-0.0007843374151845279+0.005811906304632781j)
"(-1.3076923076923075, -3.0)",(-0.0075856582739980225-0.008572041946653975j),(0.00881777593008247-0.001934577739557143j),(0.005655483524862982+0.008577515910575394j),(0.00486508399945289+0.009169942920520665j),(0.00928033741347779+0.0005607432990181692j),(-0.002995883927187433-0.006913988240273191j),(0.0005935782070328963+0.005977488161864812j),(-0.0010632303468423835-0.005796733662591865j),(0.0002591784586914835+0.008462343227942381j),(0.011958375043989814-0.005145932640149994j),(0.01142151709442726-0.007354840772175685j),(0.004036450248341753+0.00825658018831755j),(-0.004032722982579867-0.004589705911215842j),(0.003437921907790803+0.004736867096814781j)
"(-1.1538461538461537, -3.0)",(-0.011232071486928974-0.0018305013217340062j),(0.006090072050890091-0.00654505019507709j),(0.009103302002353262+0.004755786359107728j),(0.008122543996488808+0.006653309059522716j),(0.009279054325913359-0.002134487702226859j),(-0.004379723198159632-0.006443810916069025j),(0.0013337039409823332+0.006037255058412002j),(-0.0016379853357585356-0.005619774634955926j),(0.0015746840353258586+0.007977868506767922j),(0.009597310310336348-0.008419105121953045j),(0.006603160246819186-0.012358073435267396j),(0.008718899955460565+0.004281411490490576j),(-0.006273243467140769-0.0007573715253154231j),(0.005715151574701479+0.0012281737594237881j)
"(-1.0, -3.0)",(-0.009967378779155281+0.005337817286001181j),(0.0015547645606267158-0.008697774441765076j),(0.01024634671668679+0.00010211041465766955j),(0.010037388917915727+0.0034092328086115413j),(0.008674464347743943-0.004419030135727617j),(-0.005422690117925944-0.005947738036345182j),(0.0017870510824150414+0.006116902374762394j),(-0.0018712101778104871-0.005528669718650923j),(0.0022426511365780254+0.007471722143256588j),(0.007108144820890185-0.010200190029868376j),(0.0006806260995531699-0.014363207287201724j),(0.010156418048291128-0.0015649896583376365j),(-0.005521281437378325+0.0035421569973691667j),(0.005167821724248162-0.0027305437356284603j)
"(-0.8461538461538458, -3.0)",(-0.004982399137709462+0.010060679636733176j),(-0.003075871834088234-0.008152759693983764j),(0.009294360844979453-0.004204949630814685j),(0.010680891730203606+8.277740354633179e-05j),(0.007764213396978306-0.006199844439440145j),(-0.006156508397090306-0.005573003604810104j),(0.001936967552400934+0.006282263968278315j),(-0.0017785486296413046-0.005566267632172492j),(0.002351243229271554+0.007103771179077251j),(0.005135051872523936-0.010871683577204408j),(-0.004699903242328897-0.013892277490254795j),(0.00826929610138773-0.007060788200215585j),(-0.0023643762445597232+0.006415138204016301j),(0.0024057669321460307-0.0053360970748707525j)
"(-0.6923076923076921, -3.0)",(0.0013687817004578587+0.011057689995160911j),(-0.006506844194012195-0.005584124123737473j),(0.006902166337751117-0.0074188973549989224j),(0.010346120432378446-0.0028802385489279246j),(0.006805704350287154-0.007490480801035902j),(-0.006615691848638098-0.005424084719322073j),(0.0017565504806448242+0.006553329391717052j),(-0.0013533709433969038-0.005715576804107728j),(0.001975624018447192+0.006907890917492438j),(0.003971062513077103-0.010847339654632356j),(-0.008690389866166662-0.012040815863128645j),(0.00416894749372387-0.010713151409143019j),(0.0017458835646876937+0.00693780597779625j),(-0.0011537047681336964-0.005759869466242289j)
"(-0.5384615384615383, -3.0)",(0.006841526856078377+0.00868264935787752j),(-0.008162414697616992-0.0020606286293916518j),(0.0038409340732707842-0.00927803384671764j),(0.009406793470324483-0.00525244407395955j),(0.005993944639773241-0.0083597606002008j),(-0.006813456262739476-0.005565601574547881j),(0.0012047369919070024+0.006896864483235109j),(-0.0005721311832987765-0.005898188006513183j),(0.001160571490335248+0.0068155110167365885j),(0.0036681116078402525-0.010405075062881526j),(-0.011156959737266443-0.009894433120355654j),(-0.0006738397855296589-0.012109212640883542j),(0.005358986469876378+0.005267472499953753j),(-0.004138523260177606-0.0042207634690289795j)
"(-0.3846153846153846, -3.0)",(0.010097123064839827+0.004275786247786141j),(-0.008122528374608777+0.0014263500183101503j),(0.0007625918487422765-0.009897406602724092j),(0.00821605248663483-0.0069831317183809095j),(0.0054612388887523775-0.008887676224156633j),(-0.006726804790699565-0.0060229403438140545j),(0.00023680755177177872+0.007216858691524139j),(0.0005811313525267316-0.005969974634519795j),(-6.0166038407659404e-05+0.006673321452342984j),(0.0041367766226036995-0.0096355249280976j),(-0.012354624283437903-0.008227160288351177j),(-0.005092925967735032-0.011689311282703363j),(0.007597406484918091+0.002234895301658352j),(-0.005760673800898865-0.0015591074493965186j)
"(-0.23076923076923084, -3.0)",(0.010858695115683319-0.0006353198016075963j),(-0.006862805067135001+0.004228449610605495j),(-0.00190753811394677-0.009601034859532207j),(0.007053651853257478-0.008132508287206767j),(0.0052866687343287675-0.00913358374772864j),(-0.006291561071570026-0.006775969787151803j),(-0.00116803199856568+0.00734737680417614j),(0.0020713239430523536-0.005724626787925107j),(-0.0016173802399139887+0.006261770386409323j),(0.005189937418251102-0.008466076454000685j),(-0.012603321594845243-0.0074484230414722215j),(-0.00849232633030756-0.010287106262265705j),(0.008282920105767621-0.0011943863746008406j),(-0.0059078567882139155+0.0012963652811166738j)
"(-0.07692307692307665, -3.0)",(0.009617511890549994-0.004898366946900178j),(-0.004973319328078901+0.006089995021144767j),(-0.0039730541298288865-0.008770377954321245j),(0.00611207105512273-0.008808183571514347j),(0.0055054906063343135-0.009116792924194176j),(-0.00540969465610201-0.007744711601185531j),(-0.0029618684569541484+0.007058419159516008j),(0.003756020029671044-0.004922179645515996j),(-0.0033453917685944082+0.005332783649534815j),(0.006534258998612864-0.006733781357175832j),(-0.012083470546298913-0.007664351867744703j),(-0.010770519643633103-0.008736006720375509j),(0.0077455647964391715-0.004299377117866913j),(-0.0049302650620400125+0.0036870211933752732j)
"(0.0769230769230771, -3.0)",(0.007192768902658748-0.007942285857691259j),(-0.0029618684569541432+0.007058419159516013j),(-0.0054096946561020395-0.007744711601185516j),(0.005505490606334298-0.009116792924194183j),(0.0061120710551227425-0.008808183571514331j),(-0.003973054129828853-0.008770377954321255j),(-0.004973319328078903+0.006089995021144739j),(0.00533603649359097-0.0033602303661218924j),(-0.0049302650620400516+0.0036870211933752533j),(0.007745564796439175-0.00429937711786682j),(-0.010770519643633087-0.008736006720375524j),(-0.012083470546298934-0.007664351867744704j),(0.006534258998612826-0.006733781357175914j),(-0.0033453917685943896+0.005332783649534822j)
"(0.23076923076923084, -3.0)",(0.004372839860374013-0.009706823480101656j),(-0.0011680319985656615+0.007347376804176161j),(-0.006291561071570046-0.006775969787151802j),(0.005286668734328753-0.009133583747728649j),(0.007053651853257475-0.00813250828720676j),(-0.0019075381139467518-0.009601034859532204j),(-0.006862805067134994+0.004228449610605469j),(0.006350187530792345-0.0009925917690013992j),(-0.005907856788213941+0.0012963652811166639j),(0.008282920105767588-0.001194386374600785j),(-0.008492326330307555-0.010287106262265693j),(-0.012603321594845243-0.007448423041472256j),(0.005189937418251078-0.008466076454000748j),(-0.0016173802399139657+0.006261770386409307j)
"(0.384615384615385, -3.0)",(0.0017278281225722204-0.010446999703665718j),(0.00023680755177179846+0.007216858691524155j),(-0.006726804790699583-0.006022940343814054j),(0.005461238888752363-0.008887676224156642j),(0.008216052486634836-0.006983131718380892j),(0.0007625918487423108-0.009897406602724089j),(-0.008122528374608761+0.001426350018310128j),(0.00626105288453119+0.0019319034105754393j),(-0.005760673800898881-0.0015591074493965344j),(0.007597406484918035+0.0022348953016584103j),(-0.005092925967735004-0.011689311282703351j),(-0.012354624283437912-0.008227160288351186j),(0.004136776622603673-0.009635524928097628j),(-6.0166038407627684e-05+0.006673321452342943j)
