index,xy,r,theta,value
"(0.84615385, -2.84615385)",[ 0.84615385 -2.84615385],2.9692706302625305,-1.281820915929847,(-0.06326012929340853+0.38672293571273364j)
"(1.0, -2.84615385)",[ 1.         -2.84615385],3.0167187038021663,-1.232918138977245,(-0.27004996273187337+0.27437155290139j)
"(1.15384615, -2.84615385)",[ 1.15384615 -2.84615385],3.071148429454305,-1.1856388220625391,(-0.3746881744965262+0.049097240953512186j)
"(1.30769231, -2.84615385)",[ 1.30769231 -2.84615385],3.1321958616125776,-1.1401038152515732,(-0.3107216075733216-0.2019834302011449j)
"(1.46153846, -2.84615385)",[ 1.46153846 -2.84615385],3.1994822093471615,-1.0963964449798678,(-0.08905324310651133-0.35205418770747454j)
"(1.61538462, -2.84615385)",[ 1.61538462 -2.84615385],3.2726226804204557,-1.05456565553674,(0.18142085526067872-0.30586823724646134j)
"(1.76923077, -2.84615385)",[ 1.76923077 -2.84615385],3.351233989948272,-1.0146300970854025,(0.33988462629645166-0.07570451759616549j)
"(1.92307692, -2.84615385)",[ 1.92307692 -2.84615385],3.4349405494282585,-0.97658262436357,(0.27620121114077756+0.20012990021199364j)
"(2.07692308, -2.84615385)",[ 2.07692308 -2.84615385],3.523379232797189,-0.9403949052594255,(0.023679831958745737+0.3335277959497699j)
"(2.23076923, -2.84615385)",[ 2.23076923 -2.84615385],3.6162028559505086,-0.9060218328010804,(-0.2411452926154593+0.22248842722266446j)
"(2.38461538, -2.84615385)",[ 2.38461538 -2.84615385],3.7130825803370393,-0.8734055385432148,(-0.3174884465868676-0.0551915504698031j)
"(2.53846154, -2.84615385)",[ 2.53846154 -2.84615385],3.813709313506864,-0.8424789461739326,(-0.14144933273798463-0.2833539404292282j)
"(2.69230769, -2.84615385)",[ 2.69230769 -2.84615385],3.9177943329765226,-0.8131688010934137,(0.14625440702833986-0.27482205072802396j)
"(2.84615385, -2.84615385)",[ 2.84615385 -2.84615385],4.0250693752704,-0.7853981633974483,(0.30397241069261666-0.035068135557879285j)
"(3.0, -2.84615385)",[ 3.         -2.84615385],4.135286173636574,-0.7590884468192666,(0.19486881488486643+0.22893500837852285j)
"(-3.0, -2.69230769)",[-3.         -2.69230769],4.030945385096794,-2.4101959909943877,(0.35482642738588627-0.12758948086467276j)
"(-2.84615385, -2.69230769)",[-2.84615385 -2.69230769],3.9177943329765226,-2.3839651278883105,(0.14994656767328407-0.35232537744092474j)
"(-2.69230769, -2.69230769)",[-2.69230769 -2.69230769],3.807498049279378,-2.356194490192345,(-0.1494396494984489-0.3589406089358841j)
"(-2.53846154, -2.69230769)",[-2.53846154 -2.69230769],3.7003118365473346,-2.326791202718677,(-0.36227265472406467-0.15677523777152755j)
"(-2.38461538, -2.69230769)",[-2.38461538 -2.69230769],3.596513757538775,-2.2956624698750137,(-0.3793723653318931+0.12889296867827982j)
"(-2.23076923, -2.69230769)",[-2.23076923 -2.69230769],3.4964055907671705,-2.26271770928545,(-0.209878989824984+0.3481878289784586j)
"(-2.07692308, -2.69230769)",[-2.07692308 -2.69230769],3.400313247021489,-2.2278712636375633,(0.04927324089110446+0.40937333664606473j)
"(-1.92307692, -2.69230769)",[-1.92307692 -2.69230769],3.308586637503969,-2.191045812426367,(0.28172400411460957+0.30870933462696964j)
"(-1.76923077, -2.69230769)",[-1.76923077 -2.69230769],3.221598704858805,-2.1521765111927267,(0.4093505326816649+0.10776063200718172j)
"(-1.61538462, -2.69230769)",[-1.61538462 -2.69230769],3.139743328389389,-2.111215828704136,(0.413283909605495-0.11251383742400123j)
"(-1.46153846, -2.69230769)",[-1.46153846 -2.69230769],3.063431959044024,-2.0681390430597517,(0.32137865935501525-0.290068718171778j)
"(-1.30769231, -2.69230769)",[-1.30769231 -2.69230769],2.9930886848314855,-2.022950190111055,(0.18108675251296052-0.397703305221364j)
"(-1.15384615, -2.69230769)",[-1.15384615 -2.69230769],2.929143498619171,-1.9756881121834282,(0.03584246500733179-0.43895139415295253j)
"(-1.0, -2.69230769)",[-1.         -2.69230769],2.87202379823586,-1.9264322113754269,(-0.0866064574288534-0.434538396704455j)
"(-0.84615385, -2.69230769)",[-0.84615385 -2.69230769],2.822144049389215,-1.8753072115423286,(-0.174717683083698-0.40916807946272493j)
"(-0.69230769, -2.69230769)",[-0.69230769 -2.69230769],2.7798939971276373,-1.8224862979558398,(-0.2276086366319866-0.38332181549917604j)
"(-0.53846154, -2.69230769)",[-0.53846154 -2.69230769],2.745625889973415,-1.7681918873590632,(-0.24835533474668847-0.3700977503278403j)
"(-0.38461538, -2.69230769)",[-0.38461538 -2.69230769],2.719641463164893,-1.7126933798390604,(-0.23899428277080262-0.3748649067885986j)
"(-0.23076923, -2.69230769)",[-0.23076923 -2.69230769],2.7021797007504755,-1.6563016202624044,(-0.1983096301111532-0.39543457843871954j)
"(-0.07692308, -2.69230769)",[-0.07692308 -2.69230769],2.6934063670136785,-1.5993599858000513,(-0.1227388255605803-0.421613385589035j)
"(0.07692308, -2.69230769)",[ 0.07692308 -2.69230769],2.6934063670136785,-1.5422326677897418,(-0.010580431354265417-0.4346892750248767j)
"(0.23076923, -2.69230769)",[ 0.23076923 -2.69230769],2.7021797007504755,-1.485291033327389,(0.13089421765219225-0.40912546930605354j)
"(0.38461538, -2.69230769)",[ 0.38461538 -2.69230769],2.719641463164893,-1.4288992737507327,(0.27777189360993765-0.3196288923557928j)
"(0.53846154, -2.69230769)",[ 0.53846154 -2.69230769],2.745625889973415,-1.3734007662307302,(0.38674223521532536-0.15522792869920696j)
"(0.69230769, -2.69230769)",[ 0.69230769 -2.69230769],2.7798939971276373,-1.3191063556339533,(0.4046407376805674+0.06332335501692347j)
"(0.84615385, -2.69230769)",[ 0.84615385 -2.69230769],2.822144049389215,-1.2662854420474647,(0.29410996300921677+0.2742187229397018j)
"(1.0, -2.69230769)",[ 1.         -2.69230769],2.87202379823586,-1.2151604422143663,(0.06753438203540704+0.38862330368347026j)
"(1.15384615, -2.69230769)",[ 1.15384615 -2.69230769],2.929143498619171,-1.165904541406365,(-0.19358844739702216+0.3346019034750258j)
"(1.30769231, -2.69230769)",[ 1.30769231 -2.69230769],2.9930886848314855,-1.118642463478738,(-0.3609072263230248+0.11400372717882765j)
"(1.46153846, -2.69230769)",[ 1.46153846 -2.69230769],3.063431959044024,-1.0734536105300414,(-0.3294418870801281-0.16902958032173251j)
"(1.61538462, -2.69230769)",[ 1.61538462 -2.69230769],3.139743328389389,-1.030376824885657,(-0.10034866640028484-0.34791377131551476j)
"(1.76923077, -2.69230769)",[ 1.76923077 -2.69230769],3.221598704858805,-0.9894161423970664,(0.19033600198633405-0.2986631425431148j)
"(1.92307692, -2.69230769)",[ 1.92307692 -2.69230769],3.308586637503969,-0.9505468411634265,(0.3438649741759225-0.04374320928765652j)
"(2.07692308, -2.69230769)",[ 2.07692308 -2.69230769],3.400313247021489,-0.9137213899522298,(0.2425047982906239+0.2377724928952256j)
"(2.23076923, -2.69230769)",[ 2.23076923 -2.69230769],3.4964055907671705,-0.8788749443043437,(-0.0427904319363788+0.33034166340039645j)
