index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-1.4615384615384615, -3.0)",(3.27793913034646e-05-0.011923415558876008j),(0.008582198459909646+0.005930930548051245j),(2.0234569426166355e-05+0.01210112521088432j),(0.005911353188000573+0.009403300700221618j),(0.0043784843320809775-0.006827153746213668j),(-0.00264056357589679+0.0044074693831709704j),(-0.00019061475189796837-0.004793033569633787j),(0.0014004075416082908+0.009630590638774665j),(0.01597217050602316-0.0022598888409592014j),(0.008347788850630563+0.008415299355950725j),(-0.004665954290902131-0.0029666803288633005j),(0.001997453010971032+0.004221545616454401j)
"(-1.3076923076923075, -3.0)",(-0.007687595246354132-0.008955091412670292j),(0.01029908616491087-0.00016227917576134196j),(0.0058942340224783585+0.010628339939239747j),(0.009193893067164007+0.006699566237606606j),(0.0025627990198420565-0.00808256886479057j),(-0.00190654065643862+0.0050445761334601885j),(-0.0009647170701193511-0.004592909708612031j),(0.003581857195673862+0.008456373609136553j),(0.01345321123820976-0.008916457337264837j),(0.012477195230518264+0.0018581441347773713j),(-0.00576597026466008+0.0010594588619556033j),(0.00433051005663415+0.001646701438484387j)
"(-1.1538461538461537, -3.0)",(-0.01148664926164942-0.0020725228252058323j),(0.008343699810806878-0.0057677989667578875j),(0.010091199728552987+0.006817443191702949j),(0.011148766373778526+0.0033050866353192924j),(0.0007698607410204911-0.008817662312533787j),(-0.001308679224434791+0.005518708876120439j),(-0.0014334645654510926-0.004396963914825248j),(0.004802653996602442+0.007158502407863825j),(0.009128139857719294-0.01316122679182029j),(0.01211932188886004-0.005729087716325211j),(-0.003927830243479586+0.004860735976200946j),(0.004293822917821783-0.0016690725185440644j)
"(-1.0, -3.0)",(-0.01026795793866042+0.005254897644946713j),(0.00397110655935467-0.009134179293791834j),(0.01201827577691235+0.0019370747040339943j),(0.011859266636617601-0.00016287472597202558j),(-0.0008165853699606067-0.00918649305553116j),(-0.0009213384265614063+0.005900816934330272j),(-0.001631556829018683-0.004294571781178816j),(0.005270951362236016+0.006093520427699412j),(0.004614512867536725-0.015060765610603948j),(0.007989229609860773-0.01174737661785394j),(-8.678054974335436e-05+0.006695831058015169j),(0.0022050460768287643-0.0040321894805393785j)
"(-0.8461538461538458, -3.0)",(-0.00525866609869447+0.010104708764318987j),(-0.0010762093990622785-0.009691152239119658j),(0.01179708737803928-0.0028502480520340985j),(0.011615021666396776-0.0032759054520350795j),(-0.00208697752802886-0.009359421624960772j),(-0.0008023335443092551+0.006239965903961339j),(-0.0015795623319461475-0.004322665369589091j),(0.005204761139493309+0.005412325461508164j),(0.0009523578469603076-0.015312149832772433j),(0.0019156352911424322-0.014871246993270559j),(0.0041097111689485984+0.005923393177539729j),(-0.0007396897896019842-0.004544817171977937j)
"(-0.6923076923076921, -3.0)",(0.001146521066875586+0.011185659499606464j),(-0.005327490146904082-0.00788439915915449j),(0.00999255831725184-0.006762754834804969j),(0.010782161615851703-0.005810079155711998j),(-0.002982236445880449-0.009488666911065518j),(-0.0010024578463393478+0.0065486729953233335j),(-0.0012717190406042992-0.004471617291537168j),(0.004756122483292525+0.0051229253476970755j),(-0.0014185388000180121-0.014725139119566433j),(-0.004240737769788864-0.01515401326001215j),(0.00718827437220683+0.003009742253367525j),(-0.003267888546196688-0.003292516790269138j)
"(-0.5384615384615383, -3.0)",(0.006678219235634302+0.008861734477032552j),(-0.007976822330387375-0.00469423955207265j),(0.007316762841090171-0.009461173279847291j),(0.009709782487662369-0.007706464459714799j),(-0.003466585057969881-0.009687482521213719j),(-0.0015666697388904383+0.006790341265222364j),(-0.0006791115991825338-0.004683532877668641j),(0.0039956305325850785+0.0051440085650594665j),(-0.0024575645553029228-0.013907732432725322j),(-0.009267204814396761-0.013526243637292396j),(0.008393127524786733-0.0009660761413490236j),(-0.004597298332040152-0.0009996514156806785j)
"(-0.3846153846153846, -3.0)",(0.0099891743929423+0.004486189544763969j),(-0.008898922774805916-0.001146275916671044j),(0.004410123805925279-0.010965524925481447j),(0.008679924415328895-0.009009439703140783j),(-0.0035051514297449087-0.010017473966427262j),(-0.0025227351585823633+0.006869232746016159j),(0.00023120548976184374-0.004844474773403343j),(0.0029338979846417384+0.005333753403886023j),(-0.002302717978602037-0.013156701507624354j),(-0.012733596550123641-0.011166378220888657j),(0.007751605257444316-0.004906700156293952j),(-0.004576551473965654+0.0014748915967411134j)
"(-0.23076923076923084, -3.0)",(0.010801761849879979-0.0004056201530299704j),(-0.008434285805364069+0.0020018627205538966j),(0.0017321089267629086-0.011512992093307457j),(0.007892425597316493-0.009806325021916088j),(-0.0030517307727800183-0.010478516311281322j),(-0.0038546707016710977+0.006627802542155011j),(0.001459120886583831-0.004779600222640949j),(0.00156437312357406+0.005499597657970864j),(-0.001139180833477678-0.01247307451704242j),(-0.01475685417784568-0.009066862591706165j),(0.005810984711860419-0.008091427065730595j),(-0.0035074867146816986+0.00350155300708786j)
"(-0.07692307692307665, -3.0)",(0.009607120888103771-0.0046583250545011445j),(-0.007117032400640982+0.004361533237557327j),(-0.00045559280843544424-0.011422442020042544j),(0.007470045783148962-0.010180350394270326j),(-0.002050605835079653-0.010998247994145094j),(-0.005462370458132874+0.0058611744162853485j),(0.0029181651758680956-0.004267503163927526j),(-8.013694011900031e-05+0.0054062751456971465j),(0.0008224672177547253-0.011632423820141792j),(-0.015652731695177148-0.007868559930069232j),(0.0032896839193760578-0.010284670577778402j),(-0.0018653607271116412+0.004804633159614772j)
