index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-1.4615384615384615, -3.0)",(0.0007112457804581904-0.012085377608164423j),(0.00879159704738916+0.00888517792293114j),(0.002492458418327808+0.014118732085995565j),(0.00985110443230019-0.001503577920886262j),(-0.0033648084101635563+0.0015913788873547997j),(-0.0004105603324110337-0.002143510622669896j),(0.0057898220644488+0.010107224939627709j),(0.018463707866290792+0.0015510137400854408j),(-0.004412745185699519+0.0039013664988147767j),(0.0018422995316728914+0.0003275414950483255j)
"(-1.3076923076923075, -3.0)",(-0.00719781550143364-0.009484194615795022j),(0.012047744618553836+0.0023578688287903497j),(0.008562259958577262+0.011746488259550008j),(0.009408218179889537-0.0046701718170455596j),(-0.003354968487683461+0.0024416036274913706j),(-0.000761046233070019-0.0018624679889800162j),(0.007816726179260172+0.007342269700555289j),(0.01732933588676343-0.008241195788396823j),(-0.0009338050577355698+0.0065607285437983545j),(0.001505315392521656-0.00103940049817756j)
"(-1.1538461538461537, -3.0)",(-0.011355270224498806-0.0028077254682969534j),(0.01118930903548652-0.004367895927243108j),(0.012741083999436891+0.007324597831607404j),(0.00823421342345182-0.00735247541615543j),(-0.003315074841408055+0.003209314533151335j),(-0.0009469611371322742-0.001644794537597558j),(0.008446044540970008+0.004868924720914025j),(0.012087215492191866-0.015577526959881162j),(0.003717128726118727+0.0064766758613111946j),(0.0003996494790510275-0.0017696200845260346j)
"(-1.0, -3.0)",(-0.010547736785642407+0.004534941299466425j),(0.007240522977652524-0.009196177974761023j),(0.014668698959073339+0.0020668623840887235j),(0.006682491892515455-0.009439046242922355j),(-0.0033309754574418152+0.0038784386509800118j),(-0.0010221198115545258-0.0015335207958745525j),(0.008190238703309913+0.0030760125121988354j),(0.005131218066946895-0.019401776936045015j),(0.0076339806814133505+0.003547110900176436j),(-0.0008477365151769438-0.0016249982287512743j)
"(-0.8461538461538458, -3.0)",(-0.005877448075854511+0.009605336011963186j),(0.0019314028110002325-0.011189167231397951j),(0.014577227749844789-0.003000058937450197j),(0.005071134965497399-0.010958066214069872j),(-0.0034857629493907694+0.004433657600118328j),(-0.0010154191231591854-0.0015441934415429924j),(0.007482948026194467+0.0020273678948084482j),(-0.0014632022687023488-0.020151026656896776j),(0.009401856447229913-0.0012041035924434873j),(-0.0017177436462914768-0.0007960952121732576j)
"(-0.6923076923076921, -3.0)",(0.00034806410615083674+0.011033237273215382j),(-0.0031106120582996863-0.010512225222487966j),(0.013034148005508615-0.007219030658800812j),(0.0036498652902058146-0.012018324055834442j),(-0.003853387787711845+0.004844446376874734j),(-0.0009240572198401648-0.0016754931332415297j),(0.006595335843401281+0.0016108847340688562j),(-0.006491880410887585-0.019013093096095737j),(0.008586713061821287-0.006290141171617274j),(-0.001975729706285367+0.0003392257897577747j)
"(-0.5384615384615383, -3.0)",(0.005883420798822561+0.009078450773211948j),(-0.006841178587255162-0.008005851390353392j),(0.010697171012661268-0.010316657679918718j),(0.0025972474599808507-0.012753312219771449j),(-0.004488927148757173+0.005049542892893662j),(-0.0007141052901396954-0.0019081817091012598j),(0.005648286445859245+0.0016490581978134847j),(-0.009581772923727081-0.017226395808480083j),(0.005665622352629973-0.010463591511378765j),(-0.0016392606989979919+0.0014330549295936217j)
"(-0.3846153846153846, -3.0)",(0.009346529907665428+0.005006289314107036j),(-0.008899960862949838-0.004692387786462343j),(0.008146467207397071-0.012314868879070996j),(0.0020344521171268308-0.013277075487557183j),(-0.0054113611622429135+0.004945914181760948j),(-0.0003289116908852045-0.002192760722124869j),(0.00466459630672811+0.001956736622826801j),(-0.010856212033682765-0.015677184479164625j),(0.0016012839569696765-0.013119180582373567j),(-0.0008582157274247237+0.0022654356706111336j)
"(-0.23076923076923084, -3.0)",(0.010392284395767906+0.00030602788330567204j),(-0.009452051697374585-0.001421707904599008j),(0.005806725632581129-0.013407535963762781j),(0.002042351985255767-0.013652995596811086j),(-0.006576407666374961+0.004388856391808729j),(0.00028937371257229544-0.0024312318130449576j),(0.003625486660896846+0.002361970914747568j),(-0.01059168683998141-0.014782282866447626j),(-0.0026247258768733713-0.014319152195501231j),(0.0001890003119241078+0.0027449883969855164j)
"(-0.07692307692307665, -3.0)",(0.009442638453730959-0.00386841158555048j),(-0.00893585682485763+0.0012821257032541201j),(0.003939022270593454-0.013848706047891478j),(0.0026716238715227556-0.01387342283400419j),(-0.007841778787897128+0.0032126986760686207j),(0.0011591869615454557-0.002465556893146083j),(0.00251527986447409+0.0027112284354941125j),(-0.009018886148325142-0.014529769463936833j),(-0.006297571625198352-0.014569273240784475j),(0.0013496510923686712+0.002873026349536631j)
