index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(-1.4615384615384615, -3.0)",(-2.3857023786611094e-05-0.009971280719086727j),(0.007043403838241943+0.00030771749997974407j),(0.0028462594286707004+0.006891125566637609j),(-0.001167235736710406+0.0075821432092403294j),(-0.000590789776055262+0.007617937427291442j),(0.004246007052606437+0.006026049449850768j),(0.006597920951878009-0.0021368020793866137j),(-0.0032046887700609285-0.005608879826928818j),(-0.0026817634860152014+0.005505451641416516j),(0.005732037247962087-0.002234298804026494j),(-0.006305832851347795-0.00251598269325296j),(0.0010359607719881286+0.0080788430707963j),(0.00975117095855939+0.0003655906162640921j),(0.00965025661134867-0.0038635778468494838j),(0.008993497804571633+0.0027481252490799647j),(-0.0024942304218781067+0.007349597981120322j),(-0.003864824172427404-0.005310913066970055j),(0.005955412932905891+0.0013130456629476556j),(-0.005220117734955389+0.0033097558823593867j)
"(-1.3076923076923075, -3.0)",(-0.006581155712795718-0.007523847535657166j),(0.0057525714223658035-0.00407899548586355j),(0.006227335113159786+0.004130184066822112j),(0.0027579336468483554+0.007205500286923028j),(0.002727381451422328+0.00721899577856228j),(0.006178170479758986+0.0042119310497955j),(0.005840375722653144-0.00396399884388658j),(-0.004422930702483368-0.004872589600261275j),(-0.0017332654828428249+0.005967991097480341j),(0.005356540039092798-0.003082629495472159j),(-0.006579748205114894-0.001408909423920424j),(0.002842081664773342+0.0074972820415187226j),(0.009228264273329236-0.0029731999354699152j),(0.006788122800477094-0.0080803656965234j),(0.009202451592830889-0.003118380152660314j),(0.003047002536590298+0.00744073127809452j),(-0.006634621917588008-0.0011969173626012728j),(0.005251519288907754-0.003264118063154554j),(-0.0015419587015124856+0.0060168287017035625j)
"(-1.1538461538461537, -3.0)",(-0.009878815315257368-0.0016486959651574754j),(0.0022432461155292736-0.00667995834788548j),(0.007478399659659208+0.00017984545361962752j),(0.005822468342404435+0.005115091111173051j),(0.005383869597695511+0.005623331024085878j),(0.0072842777531279285+0.002084050608247198j),(0.004804996483784104-0.005332559740228814j),(-0.005287715856044525-0.004115990422318089j),(-0.0010180354213495011+0.0062255250095405185j),(0.005066740366818591-0.0035968852836729412j),(-0.006635557269176118-0.0006902148688836864j),(0.003984416811244499+0.006796253516122496j),(0.00796171615417417-0.0053511331832236456j),(0.0028696194274549407-0.010277824414492877j),(0.006270615940084563-0.007821998917956437j),(0.0072740951903684965+0.004074301960798976j),(-0.005914447935315554+0.0036122232660270232j),(0.001694776520288368-0.006041505166765j),(0.0028489730963306525+0.005553236014245093j)
"(-1.0, -3.0)",(-0.008851144513584618+0.004717072537444184j),(-0.0019005267293501927-0.006771871649725267j),(0.006549892034637211-0.003611023054508228j),(0.007489772902009496+0.002087688557148079j),(0.007088986964563892+0.0033576643961493358j),(0.0076681283638542095-7.150417243490845e-06j),(0.0037201508798300107-0.006272116763910104j),(-0.0058641754239547065-0.0034804566915128928j),(-0.0005901491083151849+0.006376493914285037j),(0.004952865039419043-0.003815650731810224j),(-0.006606822448467483-0.00038829372860303723j),(0.004550417391050646+0.006248134739952139j),(0.0065893902149317144-0.006776198675995114j),(-0.0009043705380600072-0.010701440413838272j),(0.0017254167933369762-0.010176165541424042j),(0.008596528085514525-0.0009644930546091184j),(-0.00235391308184875+0.006735707009263513j),(-0.0026718191285071253-0.0057868285184369175j),(0.005765704769320411+0.002468274112206496j)
"(-0.8461538461538458, -3.0)",(-0.004458846102261408+0.00899405748462915j),(-0.005206465132688044-0.004697713456439948j),(0.004058616504954491-0.006269178361130835j),(0.007713434781084309-0.0010879185810487516j),(0.007839041194080382+0.0009172444964495693j),(0.0075299717494077415-0.0018371502666597772j),(0.002753072682119433-0.00686910075281358j),(-0.006222976233833798-0.003059583351268358j),(-0.00047819891836961326+0.006482396318010557j),(0.005052576257645659-0.003755481288824226j),(-0.0065515394697459725-0.0005024286338562563j),(0.004637977703801405+0.005990777604159355j),(0.0055315238973090205-0.007445808066305933j),(-0.003852483172774348-0.010038517931688817j),(-0.002863606100123803-0.01020011642872711j),(0.006982485299120895-0.005640881525322506j),(0.0022116646087071987+0.00701694448872957j),(-0.0057766504045473534-0.0029402541061786355j),(0.006103491395445446-0.00157390148475924j)
"(-0.6923076923076921, -3.0)",(0.0012430271993557889+0.009965506728051519j),(-0.006833640943219493-0.0014391159733411017j),(0.0008871351602065755-0.007393843265033294j),(0.006787725569653688-0.003828370420595456j),(0.007816612771992883-0.0013352645727335488j),(0.00709330552924902-0.003300329242515363j),(0.0020121736617911166-0.007225367823599777j),(-0.006416025305805695-0.002909778318921388j),(-0.0006993373886880497+0.0065585244311312345j),(0.005354224086323476-0.00339994918875897j),(-0.006449551882543252-0.0010210256394765826j),(0.0043001457517934044+0.006050050088114308j),(0.004996285193191292-0.0075695925484603865j),(-0.005778282905175437-0.009011446732044908j),(-0.006501567603779077-0.008664227130677478j),(0.00348317552211043-0.00863369756318294j),(0.005938867559392084+0.004737231185421606j),(-0.006521599299322719+0.0010144899252817203j),(0.004081824052343085-0.004846237421792151j)
"(-0.5384615384615383, -3.0)",(0.006230842026509811+0.007875569064642785j),(-0.006675514892567346+0.0019212683783230112j),(-0.0021676101672101745-0.007090968131149484j),(0.0051550621289644695-0.0058325116145848295j),(0.007284506776942381-0.0031967267734231836j),(0.006557901431798508-0.004378062129010673j),(0.0015609041373094083-0.007429059521689416j),(-0.0064616995357227175-0.0030598251495285124j),(-0.0012624410893508425+0.006569236997149407j),(0.005792630123294705-0.002703605417335914j),(-0.006206889830314455-0.0019159988785009518j),(0.0035321927295866714+0.006356595133226056j),(0.00503307334209428-0.007268784652337006j),(-0.006765168693409914-0.008155442828354797j),(-0.008882909074416093-0.0065260985002227505j),(-0.0005673344295436533-0.009626910892756559j),(0.00778151089020176+0.001059894942244435j),(-0.005000025098439185+0.0045039911430513405j),(0.0007824519769250264-0.006323633290776555j)
"(-0.3846153846153846, -3.0)",(0.00925370737638185+0.003889705905880097j),(-0.0051558735411894145+0.004588000899016483j),(-0.004589398290740112-0.00576940498345912j),(0.0032483185279009994-0.007050745062961914j),(0.006505165578043716-0.004600457288833847j),(0.006078070571423633-0.005100259958140033j),(0.001433467598642497-0.007536838835911308j),(-0.006337636914120049-0.003514160443200207j),(-0.0021585887863556255+0.00642700840004152j),(0.0062392898995225245-0.0016121940835039318j),(-0.005669006295484092-0.0031155901253784287j),(0.0022948256001794985+0.0067483525124812j),(0.0055739275289820225-0.006545943759807063j),(-0.006966105738840784-0.007761334454708436j),(-0.010178831327601532-0.004559847305908337j),(-0.0041587914442654-0.009059010849904167j),(0.007650714567354305-0.0027359930067866294j),(-0.002088701622490225+0.0065461534533354186j),(-0.0025495009070274134-0.00588250118641148j)
"(-0.23076923076923084, -3.0)",(0.010011612844940884-0.0006150343201377613j),(-0.0029149254032469485+0.006198216861451397j),(-0.0061777563504686675-0.003924296768245138j),(0.001400506984306335-0.007601431244838226j),(0.005695160096119591-0.005570781675611289j),(0.0057584652317890835-0.005511605173922207j),(0.0016459395396929554-0.0075643431512673115j),(-0.005980492140744025-0.00424738161351684j),(-0.0033392050302885118+0.00599870242920355j),(0.0064955815877960526-0.00010114329142472j),(-0.004652971718559249-0.004463797094688405j),(0.0005697659108777577+0.006969052049989706j),(0.00644043377520475-0.005309130804686589j),(-0.00647073983309661-0.007897779588439562j),(-0.010738147905070645-0.0032396694941977137j),(-0.00682020046259348-0.00768035276850362j),(0.006105417406661646-0.005782583906077936j),(0.00115721287138942+0.006930163454542467j),(-0.005028278282726484-0.004048338999382382j)
"(-0.07692307692307665, -3.0)",(0.008916943540436276-0.004572069504522627j),(-0.000546170469798609+0.00676847200550494j),(-0.006978646268684132-0.001983782513453419j),(-0.0001816623898965497-0.007681046545932408j),(0.005009692776363954-0.0061760071142355375j),(0.005658350971309702-0.005647237048308084j),(0.0021991964408879378-0.007482132320530414j),(-0.005294477862975922-0.00519027560626442j),(-0.0046858756757290065+0.005126167524549969j),(0.006304049879384128+0.0017693591917719111j),(-0.003010908152581293-0.005684431412817629j),(-0.001558701247945483+0.006687547536129967j),(0.007326709305832193-0.003443316438220303j),(-0.005267624828438692-0.008439732789817116j),(-0.010853577929167097-0.002786044418289123j),(-0.008524738686489265-0.006200504803697761j),(0.003912290830389449-0.00777110555621907j),(0.003950578907331447+0.0060122882021075436j),(-0.006310969312924794-0.001579623965305991j)
