index,xy,inc,scat,tot
"(-2.6923076923076925, -2.6923076923076925)",[-2.69230769 -2.69230769],(-0.7705271194446743-0.6374072153657288j),(-0.05481690517541774-0.2606549518617871j),(-0.825344024620092-0.8980621672275159j)
"(-2.5384615384615383, -2.6923076923076925)",[-2.53846154 -2.69230769],(0.11930749686253489-0.9928573518851519j),(-0.22567514994985882-0.15623651543076006j),(-0.10636765308732393-1.149093867315912j)
"(-2.3846153846153846, -2.6923076923076925)",[-2.38461538 -2.69230769],(0.8995998819611948-0.43671507001179205j),(-0.28137565503706985+0.034090014140948297j),(0.6182242269241249-0.40262505587084374j)
"(-2.230769230769231, -2.6923076923076925)",[-2.23076923 -2.69230769],(0.8539242360775697+0.5203973472639335j),(-0.20173840034080506+0.2128738931910408j),(0.6521858357367647+0.7332712404549743j)
"(-2.0769230769230766, -2.6923076923076925)",[-2.07692308 -2.69230769],(0.024217673756508257+0.9997067091291442j),(-0.03155988022623783+0.30240670412663934j),(-0.007342206469729575+1.3021134132557834j)
"(-1.923076923076923, -2.6923076923076925)",[-1.92307692 -2.69230769],(-0.8277243564750517+0.56113491220736j),(0.1542901643695179+0.27542717040276343j),(-0.6734341921055338+0.8365620826101234j)
"(-1.7692307692307692, -2.6923076923076925)",[-1.76923077 -2.69230769],(-0.9196909013571446-0.3926431534623811j),(0.28971685552320353+0.15396882436970488j),(-0.6299740458339411-0.23867432909267622j)
"(-1.6153846153846154, -2.6923076923076925)",[-1.61538462 -2.69230769],(-0.16724283687955155-0.9859157334744586j),(0.34070354727545693-0.012632073257500327j),(0.17346071039590538-0.998547806731959j)
"(-1.4615384615384615, -2.6923076923076925)",[-1.46153846 -2.69230769],(0.7387593125231631-0.6739693451191259j),(0.3082430852739514-0.17363404914830352j),(1.0470023977971143-0.8476033942674294j)
"(-1.3076923076923075, -2.6923076923076925)",[-1.30769231 -2.69230769],(0.9664692711751117+0.25678229665272545j),(0.21716066418729973-0.2945630169104934j),(1.1836299353624113-0.037780720257767963j)
"(-1.1538461538461537, -2.6923076923076925)",[-1.15384615 -2.69230769],(0.30681503945266814+0.9517691587594429j),(0.1005940429055568-0.3629155742832228j),(0.4074090823582249+0.5888535844762202j)
"(-1.0, -2.6923076923076925)",[-1.         -2.69230769],(-0.634541556947723+0.7728887452320415j),(-0.012378674240462543-0.3844905423091034j),(-0.6469202311881855+0.38839820292293814j)
"(-0.8461538461538458, -2.6923076923076925)",[-0.84615385 -2.69230769],(-0.9932935411443612-0.11561981283886971j),(-0.10280103026637014-0.375369047066005j),(-1.0960945714107313-0.49098885990487473j)
"(-0.6923076923076921, -2.6923076923076925)",[-0.69230769 -2.69230769],(-0.4400526195862342-0.8979719884246351j),(-0.1620424857832259-0.35390231529091093j),(-0.6020951053694601-1.251874303715546j)
"(-0.5384615384615383, -2.6923076923076925)",[-0.53846154 -2.69230769],(0.5172228099976701-0.8558507842013782j),(-0.18846177294448185-0.3350247765974575j),(0.32876103705318827-1.1908755607988357j)
"(-0.3846153846153846, -2.6923076923076925)",[-0.38461538 -2.69230769],(0.9996098869713541-0.027929802525557868j),(-0.18315899112024514-0.3272039402729335j),(0.816450895851109-0.35513374279849136j)
"(-0.23076923076923084, -2.6923076923076925)",[-0.23076923 -2.69230769],(0.5642047024652048+0.8256349397379872j),(-0.1469110669513563-0.33116375102368595j),(0.4172936355138485+0.49447118871430124j)
"(-0.07692307692307665, -2.6923076923076925)",[-0.07692308 -2.69230769],(-0.38922528007691914+0.9211425955567595j),(-0.07964264868698973-0.3394361493856408j),(-0.46886792876390887+0.5817064461711187j)
"(0.0769230769230771, -2.6923076923076925)",[ 0.07692308 -2.69230769],(-0.9852878989275351+0.17090276834201198j),(0.016949527724106427-0.33668401214392984j),(-0.9683383712034287-0.16578124380191786j)
"(0.23076923076923084, -2.6923076923076925)",[ 0.23076923 -2.69230769],(-0.6767079959787141-0.7362515114948646j),(0.1340371453651146-0.30210542649171557j),(-0.5426708506135995-1.0383569379865802j)
"(0.384615384615385, -2.6923076923076925)",[ 0.38461538 -2.69230769],(0.2531916538891273-0.9674161392084011j),(0.2498243088038198-0.2160676384622028j),(0.5030159626929471-1.183483777670604j)
"(0.5384615384615388, -2.6923076923076925)",[ 0.53846154 -2.69230769],(0.9506232743392256-0.31034720924243775j),(0.3279501756745147-0.0719420112821891j),(1.2785734500137402-0.3822892205246269j)
"(0.6923076923076925, -2.6923076923076925)",[ 0.69230769 -2.69230769],(0.7752397134443204+0.6316671486619896j),(0.3260601036766967+0.11015935464791347j),(1.101299817121017+0.7418265033099031j)
"(0.8461538461538463, -2.6923076923076925)",[ 0.84615385 -2.69230769],(-0.11193053450186087+0.9937160336062449j),(0.217163081486009+0.27711026816884177j),(0.10523254698414812+1.2708263017750867j)
"(1.0, -2.6923076923076925)",[ 1.         -2.69230769],(-0.8963317125058065+0.443384101154302j),(0.016712821138870352+0.3559898052700371j),(-0.879618891366936+0.799373906424339j)
"(1.1538461538461542, -2.6923076923076925)",[ 1.15384615 -2.69230769],(-0.8577655307637676-0.5140411406040882j),(-0.2035186691012554+0.2911541671234771j),(-1.061284199865023-0.22288697348061115j)
"(1.3076923076923084, -2.6923076923076925)",[ 1.30769231 -2.69230769],(-0.03164154616288938-0.9994992809184116j),(-0.3362605544511201+0.09020693795374296j),(-0.36790210061400946-0.9092923429646687j)
"(1.4615384615384617, -2.6923076923076925)",[ 1.46153846 -2.69230769],(0.8235341380940815-0.5672667127495129j),(-0.2978992903419197-0.15525981732647404j),(0.5256348477521617-0.7225265300759869j)
"(1.6153846153846159, -2.6923076923076925)",[ 1.61538462 -2.69230769],(0.9225815878682447+0.38580203955721687j),(-0.09544384685664457-0.3057177246540877j),(0.8271377410116002+0.08008431490312917j)
"(1.7692307692307692, -2.6923076923076925)",[ 1.76923077 -2.69230769],(0.17456034317928915+0.9846464779752827j),(0.15334576256333118-0.26165925698447173j),(0.32790610574262036+0.722987220990811j)
"(1.9230769230769234, -2.6923076923076925)",[ 1.92307692 -2.69230769],(-0.7337335580923534+0.679437315525969j),(0.28311124134717397-0.04724016833307249j),(-0.45062231674517944+0.6321971471928964j)
"(2.0769230769230775, -2.6923076923076925)",[ 2.07692308 -2.69230769],(-0.9683496672749637-0.2495975197963054j),(0.2001939501986085+0.1857386148132919j),(-0.7681557170763552-0.0638589049830135j)
"(2.230769230769231, -2.6923076923076925)",[ 2.23076923 -2.69230769],(-0.31387509956934007-0.9494642815137054j),(-0.03183835208037878+0.2603979440099283j),(-0.34571345164971884-0.6890663375037771j)
"(2.384615384615385, -2.6923076923076925)",[ 2.38461538 -2.69230769],(0.6287840301445328-0.7775799916633653j),(-0.22596760821938625+0.1179297066547445j),(0.40281642192514655-0.6596502850086208j)
"(2.5384615384615383, -2.6923076923076925)",[ 2.53846154 -2.69230769],(0.9941248234449381+0.1082397127239837j),(-0.2191698724453394-0.12083593673746376j),(0.7749549509995988-0.012596224013480067j)
"(2.6923076923076925, -2.6923076923076925)",[ 2.69230769 -2.69230769],(0.44670946877727435+0.8946790768229272j),(-0.017430162107744025-0.24710197865919908j),(0.42927930666953035+0.6475770981637281j)
"(2.8461538461538467, -2.6923076923076925)",[ 2.84615385 -2.69230769],(-0.5108523829560981+0.8596684493617734j),(0.19820826198442018-0.14639799506071208j),(-0.31264412097167793+0.7132704543010614j)
"(3.0, -2.6923076923076925)",[ 3.         -2.69230769],(-0.9993748924954933+0.03535285348626502j),(0.22853473350593626+0.09020086739182773j),(-0.770840158989557+0.12555372087809274j)
"(-3.0, -2.5384615384615383)",[-3.         -2.53846154],(-0.7448619107860498+0.6672186552099355j),(0.14365437734354994-0.20929959777029014j),(-0.6012075334424999+0.45791905743964534j)
"(-2.8461538461538463, -2.5384615384615383)",[-2.84615385 -2.53846154],(-0.9640925084439796-0.26556663036269285j),(-0.06177031623931349-0.25305960573486297j),(-1.025862824683293-0.5186262360975558j)
"(-2.6923076923076925, -2.5384615384615383)",[-2.69230769 -2.53846154],(-0.29814114148422194-0.9545217963747529j),(-0.23279020489108823-0.13235237479629341j),(-0.5309313463753101-1.0868741711710463j)
"(-2.5384615384615383, -2.5384615384615383)",[-2.53846154 -2.53846154],(0.6415486468831529-0.7670823513042101j),(-0.26596241186332675+0.07315410343245336j),(0.3755862350198262-0.6939282478717568j)
"(-2.3846153846153846, -2.5384615384615383)",[-2.38461538 -2.53846154],(0.9922002603118947+0.12465409514736522j),(-0.1485209717178078+0.2429615131444748j),(0.8436792885940869+0.36761560829184003j)
"(-2.230769230769231, -2.5384615384615383)",[-2.23076923 -2.53846154],(0.4318627642675479+0.9019393288016619j),(0.049997955281943986+0.2903764710611336j),(0.4818607195494919+1.1923157998627956j)
"(-2.0769230769230766, -2.5384615384615383)",[-2.07692308 -2.53846154],(-0.5249897205060046+0.8511085673185456j),(0.23003405659727053+0.20116197169379693j),(-0.29495566390873407+1.0522705390123426j)
"(-1.923076923076923, -2.5384615384615383)",[-1.92307692 -2.53846154],(-0.9998226603381379+0.01883209691904994j),(0.3166444624761994+0.024533551328824614j),(-0.6831781978619386+0.043365648247874554j)
"(-1.7692307692307692, -2.5384615384615383)",[-1.76923077 -2.53846154],(-0.5566679807292675-0.8307350716268093j),(0.2868916410958084-0.16430907363570624j),(-0.2697763396334591-0.9950441452625155j)
"(-1.6153846153846154, -2.5384615384615383)",[-1.61538462 -2.53846154],(0.397591652507943-0.9175624653700712j),(0.165261060077493-0.30219376349254673j),(0.562852712585436-1.219756228862618j)
"(-1.4615384615384615, -2.5384615384615383)",[-1.46153846 -2.53846154],(0.98680233349202-0.16192947420004875j),(0.0004008870812320746-0.3586363275027122j),(0.987203220573252-0.5205658017027609j)
"(-1.3076923076923075, -2.5384615384615383)",[-1.30769231 -2.53846154],(0.6699800139089729+0.7423791355921396j),(-0.15977216317313447-0.33656717261393915j),(0.5102078507358384+0.4058119629782005j)
"(-1.1538461538461537, -2.5384615384615383)",[-1.15384615 -2.53846154],(-0.2619847528690048+0.9650720124758393j),(-0.2837905420122097-0.2605726241446274j),(-0.5457752948812145+0.7044993883312118j)
"(-1.0, -2.5384615384615383)",[-1.         -2.53846154],(-0.953408102497344+0.30168359268016903j),(-0.3607801863270967-0.16222096558995805j),(-1.3141882888244407+0.13946262709021098j)
"(-0.8461538461538458, -2.5384615384615383)",[-0.84615385 -2.53846154],(-0.7694593795710314-0.6386957516612768j),(-0.39617706552514587-0.06907042389953527j),(-1.1656364450961774-0.707766175560812j)
"(-0.6923076923076921, -2.5384615384615383)",[-0.69230769 -2.53846154],(0.12096881429473288-0.9926563080785445j),(-0.40380852642947274+0.00030850407454459383j),(-0.28283971213473985-0.9923478040039999j)
"(-0.5384615384615383, -2.5384615384615383)",[-0.53846154 -2.53846154],(0.9003294376140691-0.43520903456331644j),(-0.3981507266855913+0.03621106420355347j),(0.5021787109284779-0.398997970359763j)
"(-0.3846153846153846, -2.5384615384615383)",[-0.38461538 -2.53846154],(0.8530521881045602+0.5218256072386847j),(-0.3886637046896391+0.03509027793635881j),(0.46438848341492106+0.5569158851750434j)
"(-0.23076923076923084, -2.5384615384615383)",[-0.23076923 -2.53846154],(0.022544693391163863+0.9997458361003052j),(-0.37654828099927634-0.0029813550486051266j),(-0.35400358760811246+0.9967644810517001j)
"(-0.07692307692307665, -2.5384615384615383)",[-0.07692308 -2.53846154],(-0.8286622215676034+0.5597489817289928j),(-0.35376146310084605-0.07455785988111709j),(-1.1824236846684495+0.4851911218478757j)
"(0.0769230769230771, -2.5384615384615383)",[ 0.07692308 -2.53846154],(-0.9190325499258316-0.39418164870630884j),(-0.3047291504035322-0.16994704822023365j),(-1.223761700329364-0.5641286969265424j)
"(0.23076923076923084, -2.5384615384615383)",[ 0.23076923 -2.53846154],(-0.16559273458329155-0.9861942233927491j),(-0.21216086137207082-0.2684926209775716j),(-0.3777535959553624-1.2546868443703207j)
"(0.384615384615385, -2.5384615384615383)",[ 0.38461538 -2.53846154],(0.739886123528526-0.6727321340696687j),(-0.06809115653360331-0.33611800402280684j),(0.6717949669949227-1.0088501380924755j)
