index,cp
"(1, (95,))",(-0.029791682857208526-0.02550148392772994j)
"(1, (96,))",(-0.02979168285720852-0.025501483927729933j)
"(1, (97,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (98,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (99,))",(-0.029791682857208852-0.025501483927730217j)
"(2, (0,))",(-0.04713558331552933-0.06878310258025351j)
"(2, (1,))",(0.030395749314608204+0.019327438990802106j)
"(2, (2,))",(-0.0328190520961689-0.014844571191133698j)
"(2, (3,))",(0.034585481326884424+0.010064589198144996j)
"(2, (4,))",(-0.03565968191369187-0.005083164383925162j)
"(2, (5,))",(0.03602015372454265+1.7763568394002508e-17j)
"(2, (6,))",(-0.03565968191369175+0.005083164383925037j)
"(2, (7,))",(0.0345854813268844-0.0100645891981449j)
"(2, (8,))",(-0.03281905209616897+0.01484457119113367j)
"(2, (9,))",(0.030395749314608214-0.0193274389908021j)
"(2, (10,))",(-0.02076502315503282+0.05469650652839946j)
"(2, (11,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (12,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (13,))",(-0.05064586085725475+0.04335252267714112j)
"(2, (14,))",(-0.05064586085725474+0.043352522677141105j)
"(2, (15,))",(-0.050645860857254504+0.04335252267714091j)
"(2, (16,))",(-0.050645860857254886+0.04335252267714122j)
"(2, (17,))",(-0.05064586085725474+0.043352522677141105j)
"(2, (18,))",(-0.050645860857254726+0.0433525226771411j)
"(2, (19,))",(-0.050645860857254886+0.04335252267714122j)
"(2, (20,))",(-0.05064586085725465+0.043352522677141035j)
"(2, (21,))",(-0.05064586085725474+0.043352522677141105j)
"(2, (22,))",(-0.050645860857254726+0.043352522677141105j)
"(2, (23,))",(-0.05064586085725474+0.043352522677141105j)
"(2, (24,))",(-0.0506458608572548+0.04335252267714115j)
"(2, (25,))",(-0.050645860857254546+0.04335252267714094j)
"(2, (26,))",(-0.050645860857254796+0.04335252267714115j)
"(2, (27,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (28,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (29,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (30,))",(-0.05064586085725469+0.04335252267714106j)
"(2, (31,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (32,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (33,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (34,))",(-0.05064586085725469+0.04335252267714106j)
"(2, (35,))",(-0.05064586085725469+0.04335252267714106j)
"(2, (36,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (37,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (38,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (39,))",(-0.05064586085725455+0.04335252267714095j)
"(2, (40,))",(-0.05064586085725483+0.04335252267714118j)
"(2, (41,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (42,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (43,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (44,))",(-0.05064586085725469+0.04335252267714106j)
"(2, (45,))",(-0.050645860857254546+0.04335252267714094j)
"(2, (46,))",(-0.050645860857254664+0.04335252267714104j)
"(2, (47,))",(-0.0506458608572548+0.04335252267714116j)
"(2, (48,))",(-0.050645860857254796+0.04335252267714115j)
"(2, (49,))",(-0.050645860857254546+0.043352522677140945j)
"(2, (50,))",(-0.020765023155033095+0.05469650652839966j)
"(2, (51,))",(0.0303957493146089-0.01932743899080252j)
"(2, (52,))",(-0.032819052096169636+0.014844571191134111j)
"(2, (53,))",(0.034585481326885124-0.010064589198145213j)
"(2, (54,))",(-0.03565968191369262+0.0050831643839252694j)
