index,x,value,0,1,2
"(1.2424242424242427, -7.0)","(1.2424242424242427, -7.0)",(-0.16244759226064814+0.48941200380644967j),(0.17405720456321172+0.030918915955847323j),(0.2987718855006248+0.2901820173946987j),(-0.6352766823244846+0.16831107045590366j)
"(1.284848484848485, -7.0)","(1.284848484848485, -7.0)",(-0.16851651466601214+0.22093314348094717j),(0.17706544932284085+0.0602914686953791j),(0.22172311261693578+0.3542364445990042j),(-0.5673050766057888-0.19359476981343615j)
"(1.3272727272727274, -7.0)","(1.3272727272727274, -7.0)",(0.00488116551671447+0.13043610841194225j),(0.1747587496071202+0.09197209633161652j),(0.12801067136029134+0.3981884026340966j),(-0.2978882554506971-0.35972439055377087j)
"(1.3696969696969699, -7.0)","(1.3696969696969699, -7.0)",(0.09453563941597318+0.254606644510849j),(0.16631167488136445+0.12503839525009441j),(0.02314173333315863+0.41685605109064516j),(-0.0949177687985499-0.28728780182989055j)
"(1.4121212121212123, -7.0)","(1.4121212121212123, -7.0)",(-0.031237114178297914+0.36877121131690205j),(0.1510348003753648+0.15831653560751136j),(-0.08556544304451673+0.40666040533300546j),(-0.09670647150914598-0.1962057296236147j)
"(1.4545454545454546, -7.0)","(1.4545454545454546, -7.0)",(-0.208049825530607+0.27048053536516875j),(0.12844508522417294+0.19039104916909735j),(-0.1894706669210319+0.36631040629479383j),(-0.14702424383374804-0.2862209200987224j)
"(1.496969696969697, -7.0)","(1.496969696969697, -7.0)",(-0.18000773595671105+0.049007028347058335j),(0.09834049756190559+0.2196329392629889j),(-0.2793766416766453+0.2973343424689633j),(0.001028408158028623-0.46796025338489383j)
"(1.5393939393939395, -7.0)","(1.5393939393939395, -7.0)",(0.06014886975893613-0.004803236689673862j),(0.06087453477854356+0.24424908973547885j),(-0.3465210272823972+0.2043407688265387j),(0.3457953622627898-0.4533930952516914j)
"(1.581818181818182, -7.0)","(1.581818181818182, -7.0)",(0.22307684894179142+0.23626194773458764j),(0.01662499737745895+0.2623550766879673j),(-0.38369547316123515+0.09490669875675355j),(0.5901473247255676-0.12099982771013322j)
"(1.6242424242424245, -7.0)","(1.6242424242424245, -7.0)",(0.057711334924498536+0.5427080319578739j),(-0.033349810932735965+0.2720721423002373j),(-0.38634328580649685-0.020970597136576275j),(0.47740443166373137+0.29160648679421286j)
"(1.6666666666666667, -7.0)","(1.6666666666666667, -7.0)",(-0.32712898449097294+0.574068790456032j),(-0.08747521173814114+0.27164724897482395j),(-0.353454526149253-0.13185977102264276j),(0.11380075339642118+0.43428131250385077j)
"(1.7090909090909092, -7.0)","(1.7090909090909092, -7.0)",(-0.5697324224352394+0.28635714673781326j),(-0.14365285136553463+0.2595928144451252j),(-0.288071595025429-0.226241587555299j),(-0.13800797604427567+0.25300591984798704j)
"(1.7515151515151517, -7.0)","(1.7515151515151517, -7.0)",(-0.48685375275841847-0.009379375194897947j),(-0.19929006366182145+0.23484001449732497j),(-0.19724932055999198-0.2940524240944585j),(-0.09031436853660502+0.049833034402235556j)
"(1.7939393939393942, -7.0)","(1.7939393939393942, -7.0)",(-0.29540303859863204-0.03567587728810527j),(-0.25137300527169937+0.19689658268046173j),(-0.09138502696357759-0.32819014872978347j),(0.047354993636644936+0.09561768876121647j)
"(1.8363636363636366, -7.0)","(1.8363636363636366, -7.0)",(-0.3237805970958378+0.09405107209184038j),(-0.29658868665661425+0.1459970704863589j),(0.017058980368792814-0.32570801194147414j),(-0.04425089080801634+0.2737620135469556j)
"(1.8787878787878791, -7.0)","(1.8787878787878791, -7.0)",(-0.561761904924122+0.022923937408538625j),(-0.33149792104482495+0.08323087440332913j),(0.11529126356226077-0.28843393012635354j),(-0.3455552474415579+0.22812699313156304j)
"(1.9212121212121216, -7.0)","(1.9212121212121216, -7.0)",(-0.6402845877190406-0.35732751121091594j),(-0.3527569769041806+0.010631378832296867j),(0.1921150947403194-0.22282614487155772j),(-0.4796427055551794-0.1451327451716551j)
"(1.9636363636363636, -7.0)","(1.9636363636363636, -7.0)",(-0.3074266998903869-0.7055825425596752j),(-0.35738045510905425-0.06879125247993156j),(0.23968625495943938-0.13900910666531435j),(-0.18973249974077203-0.4977821834144293j)
"(2.006060606060606, -7.0)","(2.006060606060606, -7.0)",(0.1951291712390114-0.6252164898045581j),(-0.343031888022627-0.15109032558864635j),(0.2547350555574021-0.04910603417710116j),(0.2834260037042363-0.4250201300388106j)
"(2.0484848484848484, -7.0)","(2.0484848484848484, -7.0)",(0.3754799163717493-0.18485478915027803j),(-0.30832222562388606-0.2315098115482672j),(0.23895531545850957+0.03483916884362369j),(0.4448468265371258+0.011815853554365489j)
"(2.090909090909091, -7.0)","(2.090909090909091, -7.0)",(0.09412915430319863+0.1182536568261775j),(-0.25309037341323615-0.30470730540204055j),(0.1984240014057768+0.10292508433117088j),(0.14879552631065798+0.3200358778970472j)
"(2.1333333333333333, -7.0)","(2.1333333333333333, -7.0)",(-0.23917654197066313-0.04370215902297833j),(-0.17863508701186515-0.36507406764925027j),(0.14213904066503064+0.14897262111184273j),(-0.20268049562382862+0.1723992875144292j)
"(2.175757575757576, -7.0)","(2.175757575757576, -7.0)",(-0.166192164232855-0.41176252945158565j),(-0.08786473618202187-0.40714372189355896j),(0.07999807326864646+0.1712316630523374j),(-0.1583255013194796-0.17585047061036405j)
"(2.2181818181818183, -7.0)","(2.2181818181818183, -7.0)",(0.23203822649610262-0.46445810624367995j),(0.014668315044811298-0.42606970074372447j),(0.020719686243532612+0.17202606359053796j),(0.1966502252077587-0.21041446909049344j)
"(2.2606060606060607, -7.0)","(2.2606060606060607, -7.0)",(0.4304531115149402-0.10108623650248313j),(0.12287783814017071-0.41813921318859076j),(-0.029735655632399938+0.15643505256422352j),(0.3373109290071694+0.1606179241218841j)
"(2.303030303030303, -7.0)","(2.303030303030303, -7.0)",(0.15248650435323013+0.2023362868092699j),(0.22941886245000476-0.38127964484715876j),(-0.06879729135103406+0.13040560099996668j),(-0.008135066745740546+0.453210330656462j)
"(2.3454545454545452, -7.0)","(2.3454545454545452, -7.0)",(-0.22921859120263624+0.006668922212488132j),(0.32613490606241174-0.3155035333098776j),(-0.09679148885662767+0.09889994914930156j),(-0.4585620084084203+0.2232725063730642j)
"(2.3878787878787877, -7.0)","(2.3878787878787877, -7.0)",(-0.1432529298599553-0.47914016220027006j),(0.40466671544713567-0.223232436666746j),(-0.11551638846495783+0.06471584723000653j),(-0.43240325684213315-0.3206235727635306j)
"(2.43030303030303, -7.0)","(2.43030303030303, -7.0)",(0.4221560805642979-0.6122562334829422j),(0.4571909411814468-0.10944000202694236j),(-0.12643275139854254+0.02842707893504952j),(0.09139789078139363-0.5312433103910494j)
"(2.4727272727272727, -7.0)","(2.4727272727272727, -7.0)",(0.8471493282651981-0.1300554480384363j),(0.4772348232880571+0.018438047652226848j),(-0.1292249663500365-0.01049624529603985j),(0.4991394713271774-0.1379972503946233j)
"(2.515151515151515, -7.0)","(2.515151515151515, -7.0)",(0.6391171911324496+0.4790041783251081j),(0.46049185302522255+0.15086342843811762j),(-0.12143307689355005-0.051806503711467555j),(0.30005841500077707+0.37994725359845805j)
"(2.5575757575757576, -7.0)","(2.5575757575757576, -7.0)",(0.06888993141901703+0.5667693082412106j),(0.40554673163326627+0.27683631526440844j),(-0.09950703717037782-0.092653426158364j),(-0.23714976304387145+0.3825864191351662j)
"(2.6, -7.0)","(2.6, -7.0)",(-0.16135336524734528+0.14964236343062895j),(0.314409242388897+0.38479801743905895j),(-0.06106440686414609-0.12676823882815308j),(-0.4146982007720962-0.10838741518027692j)
"(2.6424242424242426, -7.0)","(2.6424242424242426, -7.0)",(0.17664498957820057-0.10985033972780511j),(0.19275917600234574+0.46373871333589645j),(-0.007528970773014461-0.14536505238569739j),(-0.008585215651130705-0.42822400067800415j)
"(2.684848484848485, -7.0)","(2.684848484848485, -7.0)",(0.5317849708022607+0.22853953310267414j),(0.04982070852460062+0.5044159925273612j),(0.054059166297550344-0.13985100592826932j),(0.4279050959801098-0.1360254534964178j)
