index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-1.4081632653061225, -1.2857142857142858)",(-0.00878607355415919+0.009189692273052108j),(-0.010476043205572145-0.00047577173621458674j),(-0.00960014118353017-0.004697978569753597j),(-0.009870871949781444-0.004006715650207794j),(-0.010255574064119147+0.001665269198312406j),(-0.003910665400517865+0.009158776265484917j),(0.00810920528287298+0.0048786629983673035j),(0.002711330265951845-0.008629263340795654j),(-0.008650046261869493+0.0020550751762143955j),(0.007606167251083112+0.005337660755780527j),(-0.0012324653037413332-0.010720495758118488j),(-0.012437758242571203+0.006825537819243762j),(0.0004034515833463074+0.018271163253932847j),(-0.0029725113615871133+0.017086041027910517j),(-0.012986487256507091-1.1853307800420878e-05j),(0.005189490408369982-0.00877828988148744j),(0.0025521190960079167+0.008728629905588536j),(-0.008186222318755753-0.0034776135957357976j),(0.006944930975458189-0.00595513828006803j),(0.005213278985527633+0.008068061917632994j)
"(-1.2857142857142858, -1.2857142857142858)",(0.000534792084261233+0.012873711116525969j),(-0.008065926101719407+0.006906082740327311j),(-0.010537887952690879+0.002549884557445001j),(-0.010537887952690884+0.002549884557444988j),(-0.008065926101719403+0.006906082740327313j),(0.0006562075960547823+0.010201008152320801j),(0.009633279696775346+0.0014818537735025639j),(-0.00010946239206089459-0.009321364461778593j),(-0.008043925632183735+0.004300728882994222j),(0.008724956055620478+0.0035261341017501146j),(-0.0038337524934725204-0.009984453994644291j),(-0.008969998028104255+0.010620370836035592j),(0.010411717072288707+0.015482542359876764j),(0.010411717072288702+0.01548254235987677j),(-0.00896999802810426+0.010620370836035585j),(-0.0038337524934725343-0.009984453994644316j),(0.008724956055620499+0.003526134101750126j),(-0.008043925632183745+0.0043007288829942205j),(-0.00010946239206088661-0.009321364461778578j),(0.00963327969677536+0.0014818537735025593j)
"(-1.163265306122449, -1.2857142857142858)",(0.00968311410246431+0.008756172746081682j),(-0.001319720366059976+0.010664359307975525j),(-0.006727599272096516+0.0086906369150585j),(-0.007375057433037325+0.008195933271418194j),(-0.0036454462428589193+0.010212618506945948j),(0.0050208524743092404+0.00920512209439267j),(0.009838987674796342-0.0019692443237491718j),(-0.0026735958247811513-0.00922982045942588j),(-0.007203123870522668+0.005992047325384972j),(0.009317354154376256+0.002111952906636654j),(-0.005424730256841987-0.009125401098347528j),(-0.0056286969081601424+0.012289523700110584j),(0.01654738178897935+0.008849855523724625j),(0.01944920531441556+0.005161135138792615j),(0.0023219167719103232+0.014838168565614688j),(-0.010746403694325867-0.0034135499999581806j),(0.008494572294123603-0.00481409002593575j),(-0.0017733879101893585+0.00919755863519865j),(-0.007327631742422621-0.00605221611833054j),(0.007661913184618258-0.006252793663229986j)
"(-1.0408163265306123, -1.2857142857142858)",(0.01320835407515319-0.0006242076498485115j),(0.006144364042014575+0.008962428427009762j),(-4.287140826829318e-05+0.011130485789950583j),(-0.0017451263260211593+0.01106425429193022j),(0.0016265026231273424+0.010941937463477318j),(0.008413231311084948+0.006683534805025845j),(0.009025888449094537-0.005008267739575043j),(-0.004781413805454282-0.00867220098092418j),(-0.006432050063245502+0.0071697019745975196j),(0.009638206845232129+0.0012700988484183131j),(-0.006132534426980738-0.008605002864472463j),(-0.0034272554703612327+0.012617052283581j),(0.018390756899366163+0.0019732577663338384j),(0.019963125229447872-0.008390343088184529j),(0.013733301162586526+0.008981441764293266j),(-0.009983403761433893+0.0065938649535738966j),(0.0016072524498431876-0.010034281202083013j),(0.006167692890209596+0.007400274724486687j),(-0.00955084566531586+0.001663366020615046j),(0.0005787754296231727-0.010017194077527998j)
"(-0.9183673469387754, -1.2857142857142858)",(0.009168983028000724-0.009754394404452499j),(0.010600624453054127+0.002854395699844051j),(0.006627396589847023+0.00910271864303794j),(0.00435552631218808+0.01049697945060779j),(0.006421935246281308+0.00926108152933204j),(0.01047726904428393+0.00333780559237629j),(0.007597207929699056-0.007400938503507327j),(-0.006376802490567927-0.007958451136462846j),(-0.005949686909621423+0.007917368902638118j),(0.00985111379449904+0.001087434891325865j),(-0.006072323540489617-0.00863362927811307j),(-0.002719436807639488+0.012330577922226558j),(0.017607358048455368-0.0026659309665432794j),(0.013036137357693905-0.01900400222437479j),(0.017705606065640627-0.004082067877267808j),(-0.0013212026195099313+0.01273205366081959j),(-0.007105899279829309-0.00788778781942428j),(0.009924417968284038-4.279075744897617e-05j),(-0.005108946790718692+0.008473762451206516j),(-0.007020366017916653-0.007370475609105692j)
"(-0.795918367346939, -1.2857142857142858)",(6.858374737669058e-06-0.013545259700445286j),(0.010095588268536952-0.004561755992120993j),(0.010752362529985827+0.0037103688456683517j),(0.009119008237141525+0.00702772409944824j),(0.009832606344669838+0.005890877834126264j),(0.011232732113627903-0.00016902958861058514j),(0.005945011535670632-0.00911244290260632j),(-0.0074888751243931545-0.007343154982218853j),(-0.005894315236923726+0.008297622439325808j),(0.00998682860139069+0.0016108398750863417j),(-0.00524079191315434-0.009194275935751423j),(-0.003472520085088882+0.011723406155324788j),(0.01622202996692527-0.004279210051400006j),(0.0034630486615547435-0.02365557910678577j),(0.011293962327957782-0.01699992521980134j),(0.00962705438352771+0.009947737612038996j),(-0.01112906315923016+0.0005457196280483165j),(0.006539406803892161-0.007885599881952723j),(0.0030335437615411805+0.009638747744274185j),(-0.010323252394694081-2.4248629732661706e-05j)
"(-0.6734693877551021, -1.2857142857142858)",(-0.009195261565488666-0.01014823214480034j),(0.005161883280895666-0.009898735910953412j),(0.011113144945385034-0.002843717566220475j),(0.011479000578704733+0.0019353391514851164j),(0.01150133046293876+0.0017549813446289314j),(0.010951882605923323-0.003350867493952167j),(0.004385656467061736-0.010238435237644082j),(-0.008172590922543467-0.007009534586448127j),(-0.006331930705705927+0.008309885999011874j),(0.009925789144689213+0.0028536383991536077j),(-0.00352337629921069-0.010043982442200209j),(-0.005440371594604259+0.01059048018579454j),(0.015284615239247583-0.0031257861064564346j),(-0.003750878096009937-0.023455611193753j),(-0.0022056605369765395-0.023065087717709085j),(0.015168462709816595-0.0008039891758435195j),(-0.007052631298538684+0.009413609280089408j),(-0.0018351255066700006-0.010438715375847084j),(0.00939214960111973+0.0042900848887943805j),(-0.007353769839788425+0.007446691086101049j)
"(-0.5510204081632653, -1.2857142857142858)",(-0.013736160927140317-0.0016249533917585095j),(-0.0017972651034192035-0.011086151702360648j),(0.00800875256180896-0.008316459214018539j),(0.01125875586156075-0.003343327132613798j),(0.011550692532249104-0.0023198421873852127j),(0.010018574465867928-0.0059405398611195705j),(0.0031414093836676657-0.01093114071079275j),(-0.008461500279061363-0.007069804205915915j),(-0.007251622425767374+0.00787226632996435j),(0.009404559801423096+0.0047517444572818725j),(-0.0008123934720595041-0.010695944790008289j),(-0.008106380942909483+0.008394641063348803j),(0.01449976680544904+0.00024987057942741844j),(-0.005995818317264197-0.021509342095601094j),(-0.016046225946802824-0.020689702733239942j),(0.010856302712782756-0.013081644029341786j),(0.002790763403106459+0.012196007710300518j),(-0.009428988997076858-0.005657110190285663j),(0.00973792579846077-0.004079186199284137j),(-8.451519510406742e-06+0.010604485623255127j)
"(-0.4285714285714288, -1.2857142857142858)",(-0.01169979882248762+0.007604849301479311j),(-0.007888597914175106-0.008057113695682868j),(0.0028092570972874623-0.011248342537983602j),(0.008980017627671514-0.00768454446984033j),(0.010402140053987471-0.00577508438994239j),(0.008815806202530562-0.007860649688694227j),(0.002351936198496146-0.011338675498307086j),(-0.008338043119521637-0.007566755341269032j),(-0.008541735845312978+0.0068312826499199895j),(0.008065815054452537+0.007080634156753172j),(0.0027839315483652273-0.010452888051169444j),(-0.010526134711176808+0.00463715286756508j),(0.012628703940090458+0.005066280187149834j),(-0.0032749258063087014-0.01974339848172067j),(-0.02480617764587208-0.014020770844496103j),(-0.001551718821233262-0.019463850003836946j),(0.01183705402044001+0.006375188723588614j),(-0.01092602966202356+0.0034141430615358117j),(0.003846453719286717-0.010094861555024036j),(0.007389194291376106+0.007790926103811664j)
"(-0.30612244897959195, -1.2857142857142858)",(-0.004508513393901202+0.013315003093328313j),(-0.011041211150148146-0.0023814798389961804j),(-0.002783659878579445-0.011272812222427459j),(0.005508665363202603-0.010503092805310513j),(0.008581039976039996-0.008358038281954618j),(0.007659652185970411-0.009158886701026209j),(0.0020970596284910405-0.011563194737606768j),(-0.007724048510645093-0.008466469507007272j),(-0.009954254420847752+0.005007703051074459j),(0.005579208906013876+0.009371843190390968j),(0.006716738203026457-0.008587622915577242j),(-0.011363103772884634-0.0006148299488835533j),(0.008388091465417675+0.009834192089462927j),(0.0028678493300160687-0.017399644579518612j),(-0.02705450925814776-0.009388881777096948j),(-0.015776642429954732-0.016795835387787564j),(0.013855972710968114-0.0047836628846714266j),(-0.005123718518951481+0.010817880020299629j),(-0.004583233629349333-0.010068914610767452j),(0.010833553289717196+0.0008059100219897968j)
