index,x,value,0,1
"(-0.5696202531645569, -3.0)","(-0.5696202531645569, -3.0)",(0.02527377423543893-0.17174153461958414j),(0.08650266980191815-0.09472384632967089j),(-0.061228895566479216-0.07701768828991325j)
"(-0.49367088607594933, -3.0)","(-0.49367088607594933, -3.0)",(0.010242772316640197-0.10680260972605055j),(0.10208839050615551-0.061723613717327375j),(-0.09184561818951531-0.04507899600872318j)
"(-0.4177215189873418, -3.0)","(-0.4177215189873418, -3.0)",(0.0010486237650980945-0.03115192509888423j),(0.11293346310036237-0.02566941843513644j),(-0.11188483933526427-0.005482506663747791j)
"(-0.3417721518987342, -3.0)","(-0.3417721518987342, -3.0)",(-0.0036108823431573317+0.05128246615501372j),(0.11755914150026112+0.01270973156767086j),(-0.12117002384341845+0.038572734587342866j)
"(-0.26582278481012667, -3.0)","(-0.26582278481012667, -3.0)",(-0.005739251064869874+0.13683580655213168j),(0.11460723310744521+0.052225448233595755j),(-0.12034648417231508+0.08461035831853592j)
"(-0.1898734177215191, -3.0)","(-0.1898734177215191, -3.0)",(-0.007502708967696212+0.22206623019607347j),(0.10298349431466187+0.09120795516665385j),(-0.11048620328235809+0.13085827502941963j)
"(-0.11392405063291111, -3.0)","(-0.11392405063291111, -3.0)",(-0.010839888676223014+0.3036210119574534j),(0.08202378245803141+0.12753097222014287j),(-0.09286367113425442+0.17609003973731052j)
"(-0.037974683544303556, -3.0)","(-0.037974683544303556, -3.0)",(-0.01723914981693593+0.37814002053721907j),(0.05166953017246986+0.15869639585114137j),(-0.0689086799894058+0.2194436246860777j)
"(0.037974683544304, -3.0)","(0.037974683544304, -3.0)",(-0.027650086013304633+0.44228921367778584j),(0.012632641465040353+0.18198815433138568j),(-0.040282727478344986+0.26030105934640013j)
"(0.11392405063291156, -3.0)","(0.11392405063291156, -3.0)",(-0.04247289496128116+0.4929565759685183j),(-0.03347588673888975+0.19469816526297515j),(-0.008997008222391415+0.2982584107055431j)
"(0.1898734177215191, -3.0)","(0.1898734177215191, -3.0)",(-0.0615766388204637+0.5275798322133894j),(-0.0840831544583806+0.19441788580935507j),(0.022506515637916905+0.33316194640403435j)
"(0.26582278481012667, -3.0)","(0.26582278481012667, -3.0)",(-0.08432509756967153+0.5445267542795804j),(-0.13568733417784887+0.1793770151635325j),(0.051362236608177333+0.36514973911604787j)
"(0.3417721518987342, -3.0)","(0.3417721518987342, -3.0)",(-0.10962121896799826+0.5434253875436507j),(-0.18401205654420502+0.14879765632912234j),(0.07439083757620676+0.3946277312145283j)
