index,x,value,0,1,2
"(3.7368421052631575, -7.0)","(3.7368421052631575, -7.0)",(-0.00946125675878027+0.6582173670373928j),(0.06335373496482488+0.2669711669428485j),(-0.24120937082931776-0.23851421789390656j),(0.14947186558815206+1.9461951520632366j)
"(4.0, -7.0)","(4.0, -7.0)",(-0.34586520541291155+0.8243334758920382j),(-0.3489267901671377-0.05689701496929374j),(-0.18576484225765102+0.371779767839016j),(-0.5029039838139462+2.1581176748063924j)
"(-1.0, -6.714285714285714)","(-1.0, -6.714285714285714)",(-0.1781070712102551+0.1381945731359424j),(-0.39012063611543335-0.07742489230348976j),(-0.018589275914326464-0.5097450244261561j),(-0.1256113016010055+1.001753636137473j)
"(-0.736842105263158, -6.714285714285714)","(-0.736842105263158, -6.714285714285714)",(-0.571167548354806+0.34958039446905653j),(-0.4085478412967917+0.1412013565373425j),(-0.30398509539190155-0.4472373790023163j),(-1.0009697083757247+1.3547772058721435j)
"(-0.4736842105263158, -6.714285714285714)","(-0.4736842105263158, -6.714285714285714)",(0.32730112684257123+0.6852551314133855j),(-0.3317772434010639+0.2987629322384495j),(-0.6945051311894721-0.22980737138793061j),(2.00818575511825+1.9868098333896376j)
"(-0.21052631578947367, -6.714285714285714)","(-0.21052631578947367, -6.714285714285714)",(-1.024214711855291-0.6823609732959621j),(-0.23975625271848536+0.37134166213490843j),(-0.956030007255573+0.16062208263387467j),(-1.8768578755918146-2.579046664656669j)
"(0.05263157894736836, -6.714285714285714)","(0.05263157894736836, -6.714285714285714)",(-0.8034404005782774-0.052759163678724054j),(-0.18012605832137368+0.3849978272979232j),(-1.191321924765176+0.3828759406938673j),(-1.0388732186482825-0.9261512590279627j)
"(0.3157894736842104, -6.714285714285714)","(0.3157894736842104, -6.714285714285714)",(-0.3004256247020839+0.37395477725608484j),(-0.16498147421794723+0.37247924780096986j),(-1.5647257228249183+0.10277727700337125j),(0.8284303229366137+0.6466078069639134j)
"(0.5789473684210527, -6.714285714285714)","(0.5789473684210527, -6.714285714285714)",(-0.24820473109995583-0.19643250414143956j),(-0.1995355128661409+0.35529187386526123j),(-1.599001390329567-1.0110399477933765j),(1.0539227098958404+0.06645056150379644j)
"(0.8421052631578947, -6.714285714285714)","(0.8421052631578947, -6.714285714285714)",(-0.20629579735300355-0.868835309850074j),(-0.30796217505931367+0.320331021849392j),(-0.03842850472078041-2.1646702413206675j),(-0.2724967122789166-0.7621667100789467j)
"(1.1052631578947367, -6.714285714285714)","(1.1052631578947367, -6.714285714285714)",(0.7693972240154974-0.49742872995665716j),(-0.4958832338269582+0.1667132552477178j),(2.2056057441722206-0.6027116126841177j),(0.5984691617012297-1.0562878324335716j)
"(1.3684210526315788, -6.714285714285714)","(1.3684210526315788, -6.714285714285714)",(0.11020849411407438+0.03221992402603761j),(-0.5777656520762473-0.2534419047780899j),(0.44360242299470537+2.0792023508118698j),(0.4647887114237651-1.7291006739556671j)
"(1.6315789473684208, -6.714285714285714)","(1.6315789473684208, -6.714285714285714)",(0.015788552887800417-0.687032674482513j),(-0.12822201934768213-0.7344107106909855j),(-1.5793094913489558-0.1783861648833473j),(1.7548971693600393-1.1483011478732066j)
"(1.8947368421052628, -6.714285714285714)","(1.8947368421052628, -6.714285714285714)",(0.9368027838275079-0.3463368707608508j),(0.7258675709914238-0.42853078383249976j),(0.3693057375944731-0.631592021481194j),(1.7152350428966265+0.021112193031141258j)
"(2.1578947368421053, -6.714285714285714)","(2.1578947368421053, -6.714285714285714)",(0.7473778928989381+0.5986362868988815j),(0.5708562841254956+0.6958705661278506j),(0.43525604663920964-0.24259179761433372j),(1.236021347932109+1.3426300921831278j)
"(2.4210526315789473, -6.714285714285714)","(2.4210526315789473, -6.714285714285714)",(-0.3601231056157622+1.025749721663967j),(-0.7143224149676015+0.5436606921976042j),(-0.32858318279611365+1.2023478599919262j),(-0.03746371908357171+1.3312406128023708j)
"(2.6842105263157894, -6.714285714285714)","(2.6842105263157894, -6.714285714285714)",(-0.2160989056067047-0.32008447679961216j),(-0.3525825547076815-0.7451603865076064j),(0.1752178207059748-1.5200758542761135j),(-0.47093198281840737+1.3049828103848833j)
"(2.9473684210526314, -6.714285714285714)","(2.9473684210526314, -6.714285714285714)",(-0.0688305383130933+0.7860958455181797j),(0.679040082128055-0.06101636477501014j),(-0.35672803199180725+1.1671186065124652j),(-0.5288036650755277+1.2521852948170844j)
"(3.2105263157894735, -6.714285714285714)","(3.2105263157894735, -6.714285714285714)",(-0.4288162136660303+0.4735844667023441j),(-0.16434386902408393+0.46374679989472356j),(0.44011706695177094-0.3522975155098963j),(-1.5622218389257778+1.3093041157222052j)
"(3.473684210526316, -6.714285714285714)","(3.473684210526316, -6.714285714285714)",(-0.9269391828465539+0.08867599319298161j),(-0.25137232666919995-0.19528013822959922j),(0.01940331164630945-0.22877455042806039j),(-2.548848533516771+0.6900826682366045j)
"(3.7368421052631575, -6.714285714285714)","(3.7368421052631575, -6.714285714285714)",(-0.8184075161309692-0.3063559041233555j),(0.2095088896472475-0.2100502848299905j),(-0.426296037912653-0.02006108369512083j),(-2.238435400127502-0.6889563438449553j)
"(4.0, -6.714285714285714)","(4.0, -6.714285714285714)",(-0.29561193494301047-0.3069749073250623j),(0.06207853303438948+0.40820503985307943j),(0.06998546213709152+0.2965454839190034j),(-1.0188998000005125-1.6256752457472696j)
"(-1.0, -6.428571428571429)","(-1.0, -6.428571428571429)",(-0.7018201949843468+0.11841278682532909j),(0.1883456276399109+0.349126460499974j),(-0.38929458852039767+0.39063250436388797j),(-1.904511624072554-0.38452060438787466j)
"(-0.736842105263158, -6.428571428571429)","(-0.736842105263158, -6.428571428571429)",(-0.3031553316657605+0.5473581715352948j),(0.37282276798286584+0.22314997092403618j),(-0.13353456611958403+0.5023241502791429j),(-1.1487541968605632+0.9166003934027053j)
"(-0.4736842105263158, -6.428571428571429)","(-0.4736842105263158, -6.428571428571429)",(0.005694930095057689-0.12898386189160016j),(0.4466717407068059+0.05887074907026418j),(0.26415041991518695+0.6707095340646663j),(-0.6937373703368198-1.116531868809731j)
"(-0.21052631578947367, -6.428571428571429)","(-0.21052631578947367, -6.428571428571429)",(-0.6329242021314502+1.069451720533635j),(0.44202033503432797-0.06197463688419577j),(0.755570487012946+0.6254437185658075j),(-3.0963634284416246+2.644886079919293j)
"(0.05263157894736836, -6.428571428571429)","(0.05263157894736836, -6.428571428571429)",(0.35147129879590633+0.5892072381143392j),(0.4120246871067861-0.11813414729394228j),(1.1052489977864306+0.6631236886455885j),(-0.4628597885054978+1.2226321729913716j)
"(0.3157894736842104, -6.428571428571429)","(0.3157894736842104, -6.428571428571429)",(0.5719013055521178+0.3813828567466103j),(0.3916898119029568-0.12269996743611891j),(1.136193920881644+1.1730780302332737j),(0.18782018387175248+0.09377050744267632j)
"(0.5789473684210527, -6.428571428571429)","(0.5789473684210527, -6.428571428571429)",(0.5953167120254594+0.2477968696287797j),(0.40328748273987625-0.08623952113833078j),(0.20473231202219055+1.9680584679489608j),(1.1779303413143114-1.1384283379242908j)
"(0.8421052631578947, -6.428571428571429)","(0.8421052631578947, -6.428571428571429)",(0.1548632047558657+0.4932777107112268j),(0.454276969505093+0.02291372964724775j),(-1.8181030237763858+1.3313496447869984j),(1.82841566853889+0.12556975769943438j)
"(1.1052631578947367, -6.428571428571429)","(1.1052631578947367, -6.428571428571429)",(0.34499590073517644-0.24614015277468493j),(0.46125667782597374+0.2838427319932211j),(-1.6972663774484498-1.5994615417373352j),(2.2709974018280055+0.5771983514200594j)
"(1.3684210526315788, -6.428571428571429)","(1.3684210526315788, -6.428571428571429)",(0.858580879722502+0.43487270506553866j),(0.1632560442853412+0.636001097061472j),(1.5985918107229682-1.305905363252204j),(0.8138947841591967+1.974522381387348j)
"(1.6315789473684208, -6.428571428571429)","(1.6315789473684208, -6.428571428571429)",(-0.16816068645216858+1.0020084203102324j),(-0.5388816703976926+0.5570159361127787j),(0.4062971313733077+1.307814183342201j),(-0.37189752033212087+1.1411951414757178j)
"(1.8947368421052628, -6.428571428571429)","(1.8947368421052628, -6.428571428571429)",(-0.654660059949461+0.15868131109474423j),(-0.7846890530156845-0.37654253683229205j),(-0.4271270562127783+0.06883922161808809j),(-0.7521640706199204+0.7837472484984367j)
