index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(-0.23076923076923084, -3.0)",(0.00952671332289185-0.0005442914733120698j),(-0.008500447144842129+0.0030049279962505743j),(4.7102915209847975e-05-0.012222009365647239j),(0.00935282510433073-0.010222813915006852j),(0.0028903820119028805-0.012362724026986899j),(-0.009581601310686213-0.000865561195297572j),(0.005915573594230341+0.003133078571682072j),(-0.005623036047788245-0.0009161056823677136j),(0.008549716100607197-0.0009424172560913705j),(-0.010799466706327298-0.012348206699072748j),(-0.01399230957394691-0.010795421702014982j),(0.007875411373543539-0.0057372994790537086j),(-0.005144684277852814+0.002807332842633435j)
"(-0.07692307692307665, -3.0)",(0.00838177141199057-0.004255587209312446j),(-0.006851476285992099+0.005340490511073301j),(-0.002416175253618954-0.011688547733172964j),(0.00850609009987953-0.01089703706342069j),(0.0036245493294165994-0.012438056954013777j),(-0.009639039010398772-0.0026243906748912326j),(0.00502797080801638+0.0048008042387315715j),(-0.005002879984111747-0.0026662175322031962j),(0.007941648174112765+0.0012411707647190073j),(-0.009209159527270692-0.012562299596920377j),(-0.015887699830842-0.009036255391866832j),(0.005966302909882234-0.00864675443965143j),(-0.0035732401161729806+0.00485273604729803j)
"(0.0769230769230771, -3.0)",(0.006227826231128129-0.006867424028667741j),(-0.0049361384095270135+0.006736896099887331j),(-0.004163363770539243-0.010846517787541891j),(0.0080915832101238-0.011110561628234403j),(0.004920991356825531-0.012222587501681531j),(-0.009137828588754771-0.004850638013798725j),(0.0033637668642803728+0.006386663568702912j),(-0.003644110969360114-0.00434798197885985j),(0.0066462597423725955+0.0035518007749208566j),(-0.006581946213820587-0.01311326414110019j),(-0.01675963977574842-0.00829736613106401j),(0.003785881557735096-0.0106692517153434j),(-0.001587165343577686+0.006032365311799154j)
"(0.23076923076923084, -3.0)",(0.003757782599780516-0.008350958528512684j),(-0.003145307245496215+0.007371812619659687j),(-0.0052395470483589425-0.009982128229723181j),(0.008145777677427649-0.01091499079328438j),(0.006714775739110327-0.011544187555707939j),(-0.007775548143435034-0.0073251097824382485j),(0.0008536548312763956+0.00744043104431172j),(-0.0014761448152205152-0.00551104342198664j),(0.0044456520835388065+0.005531418675709525j),(-0.002974863321996265-0.013407881612677459j),(-0.016730569787510762-0.008827744322060497j),(0.001880885010348415-0.012025943185535818j),(0.0003708007295765436+0.006487526359069161j)
"(0.384615384615385, -3.0)",(0.0014608418086160136-0.008945187483222216j),(-0.0016963209655433019+0.007491152976285594j),(-0.005737063574241717-0.009276499079777017j),(0.008641746832025874-0.010306791764139076j),(0.008845600347033921-0.010185649187776431j),(-0.0053060324174214815-0.00963214038222967j),(-0.0023023769434495412+0.007410978451612108j),(0.0012749250192679758-0.005618100143654517j),(0.0014072776099758322+0.0065697560559123125j),(0.0013415767448193396-0.01272721890943447j),(-0.015673794050364537-0.01058663323633869j),(0.0006314298145888202-0.013018547166284295j),(0.0020446088642522443+0.006495236284768562j)
"(0.5384615384615388, -3.0)",(-0.0003984541131535693-0.008983580698848831j),(-0.0006717762108045843+0.0073236562872960684j),(-0.005747282234149889-0.008816128776185062j),(0.009489511677357084-0.009233303666777652j),(0.011021710946331155-0.007935901992692748j),(-0.0016760301543060577-0.011159938573372198j),(-0.005528093255720376+0.005821179113694599j),(0.003993977048582418-0.004254452759540795j),(-0.001972218833154309+0.006087332697859699j),(0.005713191016215695-0.010431434282782842j),(-0.013246514096042454-0.013200327090102904j),(0.00030295278297809246-0.013873107522690751j),(0.0033339650519382644+0.006349121864427759j)
"(0.6923076923076925, -3.0)",(-0.0017254209392019715-0.008778175342615288j),(-7.238551669499052e-05+0.0070394272336719846j),(-0.00533585612353193-0.008610379969684247j),(0.010528673523905628-0.00761441563956715j),(0.012802121189571131-0.004673134088963299j),(0.00281769776134384-0.011195153248137793j),(-0.00788778634893598+0.002544335020337234j),(0.005749458246633127-0.0014288698474413286j),(-0.004769272104920323+0.0038533403285702576j),(0.009079521551181195-0.0062848836583427456j),(-0.009079158780652229-0.01588833308195493j),(0.0010996021427043718-0.014626580211817756j),(0.00422247720353225+0.00629566999698383j)
"(0.8461538461538463, -3.0)",(-0.0025185297250757523-0.008564024102826346j),(0.00013819018350244786+0.006739379594523778j),(-0.0045378477131056095-0.008606538490983641j),(0.011520282050587296-0.005380465791104114j),(0.013624137801216582-0.00047314819818706697j),(0.007418701030015653-0.009140942466008651j),(-0.008320955579653962-0.0019119194241430989j),(0.005617108875301586+0.002175399583343423j),(-0.00590218889212834+0.00031204554079797557j),(0.01022679597037414-0.0007985399057478174j),(-0.0031124368470301475-0.017469088772293948j),(0.003157260072881538-0.015049759628869312j),(0.004703602137447855+0.006510367688629471j)
"(1.0, -3.0)",(-0.0028032452570692194-0.008483857597426946j),(5.0838109484633955e-06+0.006460585013995736j),(-0.0033682120448384673-0.008699765080582716j),(0.01214948984659836-0.0025253612394277687j),(0.012902986311502468+0.004283882276267174j),(0.010948228525353756-0.004836262874932514j),(-0.0061115596355045335-0.0062962364454741074j),(0.003211112906685955+0.005221261175326566j),(-0.004669210240593649-0.0033207960173748377j),(0.008341354502542525+0.004641664502002131j),(0.0040109913621454-0.016596617533864787j),(0.006440234550533365-0.014623465826048107j),(0.004724194379686369+0.0070861416364078255j)
"(1.1538461538461542, -3.0)",(-0.002589639160841494-0.00858925224072553j),(-0.0004291157919429146+0.00618682149377383j),(-0.001843822718862672-0.00874049487607559j),(0.012053314277683842+0.0008316328065553153j),(0.010214267729826212+0.008858895164307786j),(0.012080001896566418+0.001129423719728428j),(-0.0014480736126166408-0.008879120062735304j),(-0.0008253084382189299+0.006184442506183213j),(-0.0013355614891916512-0.005421017920322622j),(0.0036667015790808944+0.008117458974222143j),(0.010724458683771799-0.01231451373415229j),(0.010551121482767092-0.012624943094456442j),(0.0041567389980253075+0.008010195913265291j)
"(1.3076923076923084, -3.0)",(-0.0018568991763234892-0.008841362777792348j),(-0.0011218108474919236+0.005859463576416467j),(-1.333745271011585e-05-0.008545308665821412j),(0.010886133762443505+0.004391439318606125j),(0.0055328434466272855+0.01221695944883383j),(0.009860838393962066+0.007292526455013021j),(0.004245275517043622-0.008163915470052735j),(-0.004763241383662499+0.004198961864020797j),(0.002646570275733141-0.004781592797333138j),(-0.002163601726192975+0.008053588264054404j),(0.01478597424331475-0.004801450386968947j),(0.014540444398511699-0.00839803426869546j),(0.0028140494392530423+0.00911932708513422j)
