index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(-1.4615384615384615, -3.0)",(0.00015189901726218435-0.010660416182755955j),(0.00934447595886131+0.008680348592247228j),(0.0005865178437528163+0.015562599863699145j),(0.010137322587239475+0.006942859825773292j),(-0.002305907536973219-0.006336193094827568j),(0.0033492955134798944+0.0017958730485066485j),(-0.00565247650400623+0.0035678955093084675j),(0.017306376363115068+0.0032965088766412774j),(0.015886678088687347+0.004950719837559205j),(-0.005900357709906421+0.0015106299122607473j),(0.0024858447848614693+0.0029827841274599207j)
"(-1.3076923076923075, -3.0)",(-0.006683688014086295-0.00802894211982321j),(0.012351295219099834+0.0017944188994516424j),(0.007795775818734365+0.013624383061177223j),(0.012417920727018628+0.003128865070321117j),(-0.003981822653386615-0.0060010324082329205j),(0.003671518955487839+0.001365195427385843j),(-0.004456585287870171+0.00430593364210586j),(0.016646190641321022-0.0033224417372034482j),(0.01699896452085697-0.004823354001832759j),(-0.003648054425630405+0.005514117143878253j),(0.003841038483196402+0.0003451561204636365j)
"(-1.1538461538461537, -3.0)",(-0.010025554005910896-0.002002560778780918j),(0.01107283292441784-0.00504907710561626j),(0.012975961299147475+0.008964915534736217j),(0.01328620411648471-0.0008899793141005499j),(-0.0053973981967385416-0.005477764304629526j),(0.003924556786187229+0.0010871209075125506j),(-0.00354699728555617+0.004515348252417036j),(0.014068534205239206-0.008010093781882176j),(0.013023199086313237-0.0133887558164292j),(0.0007731181503840335+0.007172981477598206j),(0.003021274380694146-0.0023849457263728094j)
"(-1.0, -3.0)",(-0.008993878005629435+0.004357950891571802j),(0.006722803996460561-0.009723198265269623j),(0.015492457199403962+0.003063180563441915j),(0.013021271621417717-0.004596980898571372j),(-0.006549576810370651-0.0049410255806007115j),(0.004148935526468598+0.0009925629997920662j),(-0.0030079154079867237+0.004397747682245189j),(0.010973102459878398-0.010633932117777911j),(0.005971774719011234-0.018689515779527103j),(0.005395136298761352+0.0057829525133776j),(0.000679072811579609-0.0038063770927771884j)
"(-0.8461538461538458, -3.0)",(-0.004717359041735042+0.008545195327010053j),(0.0011742845608864842-0.011376335101354102j),(0.015512767982444478-0.0027518297458925143j),(0.012022977794153709-0.00769830899778674j),(-0.007467519000756825-0.004541820312004018j),(0.004357715268591736+0.001111236293775147j),(-0.002827133637079626+0.004078795982712679j),(0.008305209085549083-0.011611842874842881j),(-0.0017969890312696925-0.020367300587156148j),(0.008473615178469996+0.001984437620095772j),(-0.0019241035875208208-0.0034095666938212628j)
"(-0.6923076923076921, -3.0)",(0.0007175200627667156+0.00949982138613974j),(-0.003896485381389318-0.010307803794277771j),(0.013692091599743269-0.0075922146495614766j),(0.01069912837351322-0.010095012511984343j),(-0.008182461639586247-0.004404388049510583j),(0.004530032994748154+0.0014746680049007347j),(-0.002942733858693413+0.0036031291755275166j),(0.006511771379882784-0.01149431497981049j),(-0.008527219833315633-0.01930102394620955j),(0.00916805129193339-0.0028540661942849355j),(-0.003675375586848515-0.0015837211328061265j)
"(-0.5384615384615383, -3.0)",(0.005382704033532972+0.007578604651721346j),(-0.0074812227645974-0.007471991703463285j),(0.010843304579542397-0.011067475641950743j),(0.009398028873339329-0.011819940582303623j),(-0.008700806327272732-0.004627272833591847j),(0.004603542895734852+0.0021097366863347313j),(-0.003262239658177685+0.0029524995281199973j),(0.005671455954428573-0.01071168772472774j),(-0.013386828713667755-0.016863075727918352j),(0.007609942039799725-0.007388830618922848j),(-0.004054555319820435+0.0008139351995724619j)
"(-0.3846153846153846, -3.0)",(0.008164115099020278+0.0039531655217808544j),(-0.009299174790624119-0.003949333859756531j),(0.0076980213495200745-0.013185699974694718j),(0.00838201486308409-0.01296805915218272j),(-0.008982045167859977-0.005280964369973678j),(0.004468592099861712+0.0030204177091684493j),(-0.0036602143931836664+0.002075997676913351j),(0.005645470277632357-0.009488979796939516j),(-0.016294230291563763-0.014321492741470373j),(0.004547277220638989-0.010791986923990374j),(-0.003155986870917388+0.002954416881308618j)
"(-0.23076923076923084, -3.0)",(0.008856227543745746-8.097632894631633e-05j),(-0.009595730023805161-0.0005915030387712693j),(0.004788905217506919-0.014194176805051827j),(0.007827504755076148-0.013637032616713488j),(-0.00892373034466235-0.006395530999586157j),(0.003971621234188011+0.004156624337025028j),(-0.003967847263804159+0.0009308778629063544j),(0.006174204261696268-0.007872590679852532j),(-0.017539799286920215-0.012544939448979837j),(0.0008891528713054712-0.012867182697576253j),(-0.0014399454042782487+0.0043398123516307525j)
"(-0.07692307692307665, -3.0)",(0.007888056838132302-0.0035672387604919055j),(-0.008864493410150769+0.00211139595114262j),(0.0024318449857966902-0.014429384767834274j),(0.007835391642622652-0.013884763801735672j),(-0.008358599704820465-0.007934242943646454j),(0.002939631346693883+0.005374064750360498j),(-0.003972812394126856-0.0004651110281647723j),(0.006914628353232157-0.00581679192911274j),(-0.017439987120395264-0.01195052247881733j),(-0.002612267345576325-0.013897041491154494j),(0.0005652748636283226+0.004857517150850989j)
