index,x,value
"(-0.10600580997801709, -0.5)","(-0.10600580997801709, -0.5)",(-8.329652208059585+5.971985814382956j)
"(-0.10251913573003497, -0.5)","(-0.10251913573003497, -0.5)",(0.6198975623393013+2.187056170413573j)
"(-0.09903246148205282, -0.5)","(-0.09903246148205282, -0.5)",(-9.555832986252693-2.6148168857323086j)
"(-0.0955457872340707, -0.5)","(-0.0955457872340707, -0.5)",(-16.800981319069148-16.600268145986757j)
"(-0.09205911298608854, -0.5)","(-0.09205911298608854, -0.5)",(-16.975440866708375-15.65329180824846j)
"(-0.08857243873810638, -0.5)","(-0.08857243873810638, -0.5)",(-12.196460057334217-12.162493227590865j)
"(-0.08508576449012427, -0.5)","(-0.08508576449012427, -0.5)",(-15.402093040518409-20.47508271782151j)
"(-0.0815990902421421, -0.5)","(-0.0815990902421421, -0.5)",(-39.01463561041939-22.407153111259042j)
"(-0.07811241599415991, -0.5)","(-0.07811241599415991, -0.5)",(-10.610993384857888-11.296460140122546j)
"(-0.07462574174617777, -0.5)","(-0.07462574174617777, -0.5)",(-18.475850546859977-24.286668661701906j)
"(-0.0711390674981956, -0.5)","(-0.0711390674981956, -0.5)",(-12.683858019658823-21.10095787359629j)
"(-0.06765239325021341, -0.5)","(-0.06765239325021341, -0.5)",(-8.930759740019337-12.534758420215592j)
"(-0.06416571900223124, -0.5)","(-0.06416571900223124, -0.5)",(-4.779415726336299-12.756075837193318j)
"(-0.06067904475424915, -0.5)","(-0.06067904475424915, -0.5)",(-2.5640334923558377-17.443000869177894j)
"(-0.05719237050626697, -0.5)","(-0.05719237050626697, -0.5)",(-0.018761843610500595-23.766459425500145j)
"(-0.053705696258284794, -0.5)","(-0.053705696258284794, -0.5)",(1.4440142049897613-14.643734556729992j)
"(-0.05021902201030262, -0.5)","(-0.05021902201030262, -0.5)",(10.783036104369613-20.194898492493678j)
"(-0.04673234776232046, -0.5)","(-0.04673234776232046, -0.5)",(1.1109332196968857-7.8341360211418j)
"(-0.0432456735143384, -0.5)","(-0.0432456735143384, -0.5)",(-0.7473618686729924-8.18960361923631j)
"(-0.039758999266356225, -0.5)","(-0.039758999266356225, -0.5)",(5.043821388341556-7.447886765042316j)
"(-0.03627232501837405, -0.5)","(-0.03627232501837405, -0.5)",(-0.3456825165135473-11.11721029530639j)
"(-0.032785650770391896, -0.5)","(-0.032785650770391896, -0.5)",(2.4968903271189697+1.6322604556118099j)
"(-0.02929897652240973, -0.5)","(-0.02929897652240973, -0.5)",(-12.711402725925893+5.196758776644425j)
"(-0.02581230227442766, -0.5)","(-0.02581230227442766, -0.5)",(-1.7397864712154845+0.712429683818316j)
"(-0.0223256280264455, -0.5)","(-0.0223256280264455, -0.5)",(-1.30134380955582+6.843407294261603j)
"(-0.018838953778463334, -0.5)","(-0.018838953778463334, -0.5)",(-6.89915446504279+7.876621476371386j)
"(-0.015352279530481168, -0.5)","(-0.015352279530481168, -0.5)",(-6.541181975585735+11.097084222240529j)
"(-0.01186560528249899, -0.5)","(-0.01186560528249899, -0.5)",(1.7094407909194171+7.071303201060893j)
"(-0.008378931034516817, -0.5)","(-0.008378931034516817, -0.5)",(-9.278807640641336+14.592435959017783j)
"(-0.004892256786534739, -0.5)","(-0.004892256786534739, -0.5)",(7.207761369405413+23.332436664969386j)
"(-0.0014055825385525644, -0.5)","(-0.0014055825385525644, -0.5)",(2.925522161425571+16.657393405974656j)
"(0.002081091709429609, -0.5)","(0.002081091709429609, -0.5)",(9.917398905890355+16.215074914662583j)
"(0.005567765957411782, -0.5)","(0.005567765957411782, -0.5)",(10.776274441616556+17.51927596354822j)
"(0.00905444020539396, -0.5)","(0.00905444020539396, -0.5)",(-4.441919254665656+13.74058182192983j)
"(0.012541114453376035, -0.5)","(0.012541114453376035, -0.5)",(9.58149767037707+29.868843373854585j)
"(0.01602778870135821, -0.5)","(0.01602778870135821, -0.5)",(0.09681767694283605+10.358595019691787j)
"(0.019514462949340377, -0.5)","(0.019514462949340377, -0.5)",(1.9550498362937896+8.54578583629961j)
"(0.023001137197322538, -0.5)","(0.023001137197322538, -0.5)",(-0.35476208159734124-1.2935123487407663j)
"(0.026487811445304706, -0.5)","(0.026487811445304706, -0.5)",(0.4874316647472643+3.70049326406396j)
"(0.029974485693286874, -0.5)","(0.029974485693286874, -0.5)",(-2.8395881104717615-6.10495354140682j)
"(0.03346115994126894, -0.5)","(0.03346115994126894, -0.5)",(-1.6531116032843483-20.990343786511247j)
"(0.0369478341892511, -0.5)","(0.0369478341892511, -0.5)",(-7.803554687215593-26.732930882883235j)
"(0.040434508437233264, -0.5)","(0.040434508437233264, -0.5)",(-2.3988585361328556-37.12092369180205j)
"(0.04392118268521543, -0.5)","(0.04392118268521543, -0.5)",(-16.734637172485208-27.803716626538893j)
"(0.047407856933197594, -0.5)","(0.047407856933197594, -0.5)",(-21.97198636816883-48.99524352896281j)
"(0.05089453118117966, -0.5)","(0.05089453118117966, -0.5)",(-8.725820833380219-35.26205456125836j)
"(0.054381205429161826, -0.5)","(0.054381205429161826, -0.5)",(-3.8255903068261237-50.48631226055595j)
"(0.05786787967714399, -0.5)","(0.05786787967714399, -0.5)",(-0.28873534995579564-14.685444010873816j)
"(0.061354553925126155, -0.5)","(0.061354553925126155, -0.5)",(3.4225921993652157-14.090828151631591j)
"(0.06484122817310832, -0.5)","(0.06484122817310832, -0.5)",(14.170946394575394-16.280770349019786j)
"(0.0683279024210904, -0.5)","(0.0683279024210904, -0.5)",(23.393104550204022-34.62253953242627j)
"(0.07181457666907255, -0.5)","(0.07181457666907255, -0.5)",(7.883322501117935-17.73024451173198j)
"(0.07530125091705472, -0.5)","(0.07530125091705472, -0.5)",(33.39863554007243+4.187882303496508j)
"(0.07878792516503688, -0.5)","(0.07878792516503688, -0.5)",(44.409481531018756-5.356484546831723j)
"(0.08227459941301904, -0.5)","(0.08227459941301904, -0.5)",(37.28273482848841+13.895107684458825j)
"(0.08576127366100111, -0.5)","(0.08576127366100111, -0.5)",(50.3641096974796+5.890085779751924j)
"(0.08924794790898329, -0.5)","(0.08924794790898329, -0.5)",(37.93371575203106+0.9269592683267178j)
"(0.09273462215696546, -0.5)","(0.09273462215696546, -0.5)",(49.78858529066195+22.079132625919172j)
"(0.09622129640494764, -0.5)","(0.09622129640494764, -0.5)",(20.747022731494326+6.473368658099391j)
"(0.0997079706529298, -0.5)","(0.0997079706529298, -0.5)",(23.384826238204568+21.89782538508148j)
"(0.10319464490091199, -0.5)","(0.10319464490091199, -0.5)",(23.53029027858193+17.35837605982015j)
"(0.10668131914889406, -0.5)","(0.10668131914889406, -0.5)",(35.18748406412245+11.41218641082041j)
"(0.11016799339687623, -0.5)","(0.11016799339687623, -0.5)",(15.968560597050853+22.2809516747483j)
"(0.1136546676448584, -0.5)","(0.1136546676448584, -0.5)",(16.46570773403998+28.228653824453325j)
"(0.11714134189284058, -0.5)","(0.11714134189284058, -0.5)",(15.622118842589696+28.635619671658603j)
"(0.12062801614082275, -0.5)","(0.12062801614082275, -0.5)",(-6.162393450180312+33.83630628390167j)
"(0.12411469038880484, -0.5)","(0.12411469038880484, -0.5)",(5.8601492573085725+15.689573728982122j)
"(0.12760136463678698, -0.5)","(0.12760136463678698, -0.5)",(11.409010632848796+23.29266727709354j)
"(0.13108803888476916, -0.5)","(0.13108803888476916, -0.5)",(1.6103022656089416+17.656125469771496j)
"(0.13457471313275132, -0.5)","(0.13457471313275132, -0.5)",(1.494746876913252+25.41389850077259j)
"(0.13806138738073348, -0.5)","(0.13806138738073348, -0.5)",(-8.542161567560875+20.256486320563035j)
"(0.14154806162871564, -0.5)","(0.14154806162871564, -0.5)",(-7.540845134241173+18.834579452891223j)
"(0.1450347358766977, -0.5)","(0.1450347358766977, -0.5)",(-6.669598242956329+14.680662717709804j)
"(0.14852141012467987, -0.5)","(0.14852141012467987, -0.5)",(-3.211905526681461+19.599538582446872j)
"(0.15200808437266206, -0.5)","(0.15200808437266206, -0.5)",(-3.885263567403226+6.22353320032993j)
"(0.1554947586206442, -0.5)","(0.1554947586206442, -0.5)",(-0.16929500536538905+15.124201637843038j)
"(0.15898143286862637, -0.5)","(0.15898143286862637, -0.5)",(-9.638225070713288+16.886497733602248j)
"(0.16246810711660845, -0.5)","(0.16246810711660845, -0.5)",(3.38753148910127+11.00677965229614j)
"(0.1659547813645906, -0.5)","(0.1659547813645906, -0.5)",(6.485667101240552+6.729218282185526j)
