index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(-1.4615384615384615, -3.0)",(-0.00015202109919507925-0.009824318524818815j),(0.00844625137498087+0.0010256378700481917j),(0.0028270013152222736+0.008874636899244937j),(-0.001670402389630334+0.009556594767898514j),(0.00031257737335340085+0.009527109173329024j),(0.007024410035247138+0.005411271804659083j),(0.005240319143757867-0.005966389536425718j),(-0.006852962869403971-0.0017812630104442357j),(0.003714572118068013+0.0054982078288470515j),(-0.0001871109602892198-0.006973710228146711j),(-0.005577060817419693+0.006392202854171085j),(0.00980618260300347+0.005143562383125778j),(0.012265750518287686-0.004355250870117062j),(0.012093386570918315+0.0001950219869057604j),(0.0009863740913664662+0.009392424595186008j),(-0.006386940690858763-0.003788411801892635j),(0.006644743421714098-0.0003803307362692033j),(-0.005293450901772702+0.004318510471364571j)
"(-1.3076923076923075, -3.0)",(-0.00655329217266035-0.00730629032159455j),(0.0072871677917210696-0.00432224653646161j),(0.007252701759228708+0.005836592829089672j),(0.003179694170438925+0.009224099892806363j),(0.004233891354050745+0.008678545359888828j),(0.008588659153279986+0.0028326508648609658j),(0.0036103297533862807-0.007289207747924071j),(-0.007233742660660098-0.0004141903934386625j),(0.004586530977102912+0.0049184981581778175j),(-0.001237261063496452-0.006832703516988473j),(-0.0041068062906596155+0.007216002021096888j),(0.010680565700579958+0.0019418664740655247j),(0.009254531410521823-0.009251663960413272j),(0.010529202917197934-0.006760499413960974j),(0.007085093537882178+0.006855022148101054j),(-0.007477152233655974+0.0017010090297476753j),(0.004547444870648148-0.004996539138598654j),(-0.0008829393250367935+0.006788325086724648j)
"(-1.1538461538461537, -3.0)",(-0.009682186696201661-0.0014983751259810365j),(0.0033567099701240486-0.00772827294807463j),(0.009218384958674756+0.0011583724832086386j),(0.0070463158351336845+0.006807145723205869j),(0.007261560187951801+0.006533350921513363j),(0.009211431674976473+0.00018894525603836953j),(0.001996888546056071-0.00808391004940353j),(-0.007383599899324005+0.0006870739102693505j),(0.0051478237836004945+0.004479914986443115j),(-0.0018658048134818448-0.006665699396599848j),(-0.003032358114045504+0.007535583828054611j),(0.010583639691399608-0.0005780154813623335j),(0.005189793327520524-0.012010579008530258j),(0.005858423794070585-0.011504589039141571j),(0.010228936111337569+0.0012185596245703613j),(-0.004648496612714918+0.006432007265094434j),(-3.2114262425760956e-05-0.0068676486712962335j),(0.003861942756971102+0.005669889291308686j)
"(-1.0, -3.0)",(-0.008573590162350351+0.00469323228857499j),(-0.0015264297579205093-0.00822724284669888j),(0.008549002874005146-0.003551210351960002j),(0.009281270323904375+0.00321328812368063j),(0.00913756964960253+0.0037199017092199188j),(0.0091125283902543-0.002197566145019784j),(0.0005833443107228487-0.00849662891755927j),(-0.00744518484843534+0.0014695136703773836j),(0.005455842181469033+0.004275886280758768j),(-0.002091953168358477-0.0065872040023948536j),(-0.0024569773206556673+0.007558354687859162j),(0.010068808543737923-0.0022229041246168424j),(0.0013120526849550351-0.012937026229815553j),(7.008676172190022e-05-0.013271604134297146j),(0.00955360245613719-0.004969523221159049j),(0.00044023810057321373+0.008219790477959326j),(-0.0045698351135589725-0.005292664253035841j),(0.0066124906151598046+0.0018875480669943176j)
"(-0.8461538461538458, -3.0)",(-0.004235806966708649+0.00877633828250476j),(-0.005608427568167426-0.006115974095881855j),(0.005890044189024049-0.007077774316303146j),(0.009808583248601925-0.000630126404918623j),(0.009915563839062513+0.0007955140917733449j),(0.008567096581905952-0.00415767836155349j),(-0.0005234881387152217-0.008685532822273306j),(-0.007525201727137251+0.0019096670458470745j),(0.005539063136352486+0.0043561515141345925j),(-0.0019280242360181642-0.006638440123784712j),(-0.002398013782795466+0.0074027018545861035j),(0.009534615838090775-0.003014148441937208j),(-0.0016752106510681843-0.012731958091660988j),(-0.005185599532973148-0.012549991714360123j),(0.005886707666188119-0.0095924655193396j),(0.0054221066191284+0.006619827677889699j),(-0.0070042930257032746-0.0013475743608415095j),(0.006400523956333532-0.002566761041848105j)
"(-0.6923076923076921, -3.0)",(0.001298032625772601+0.009623875560366885j),(-0.0078344320602602-0.0024799257472775072j),(0.002248485515375217-0.008862028451165493j),(0.008953121735424013-0.004027716845149471j),(0.009839045085198717-0.0018495705236719767j),(0.007837052238846953-0.005644106320038972j),(-0.001269419809863448-0.008787350874275455j),(-0.007684564387724749+0.001990457876487781j),(0.005383418988252099+0.0047325430378977315j),(-0.0013667381881267051-0.006789656257045075j),(-0.0028258141949040784+0.007084685627798215j),(0.009183198633776606-0.0030429313616565055j),(-0.003537043524733226-0.012094437228978157j),(-0.009060023469465923-0.010427755172233625j),(0.000853402998476901-0.011717984643031042j),(0.008506507116155915+0.002661219123097782j),(-0.006610141611225917+0.003075640352496335j),(0.003724393461626816-0.005832078874112365j)
"(-0.5384615384615383, -3.0)",(0.006072578822851803+0.007529175145341305j),(-0.007999579684202932+0.0014297007283119632j),(-0.0014252190375015914-0.008948819371198822j),(0.007220077079486138-0.0066068418957565146j),(0.00922292945140941-0.004007826988172489j),(0.007134947562562823-0.006685043196351992j),(-0.0016272102709325436-0.008898565464733731j),(-0.00793240144357117+0.0016876158194945952j),(0.004929808531073222+0.005374812441012801j),(-0.0003902517478747099-0.006939106833839841j),(-0.0036710606638986456+0.006526677741057715j),(0.009034501351897064-0.002386993012256997j),(-0.004301754070262876-0.011511304627247827j),(-0.011441243417214607-0.007996897539183052j),(-0.00404189066054929-0.011551180726163091j),(0.009071969497263247-0.0020445374216827104j),(-0.003946452351668934+0.006340723499462835j),(-7.805002002321327e-05-0.006949378390027124j)
"(-0.3846153846153846, -3.0)",(0.008911884487003714+0.003653786925073188j),(-0.00653388051557495+0.0046597820874444765j),(-0.004481640099312987-0.007763953281275243j),(0.005113459340820103-0.00828551572597766j),(0.008368525532339209-0.005619736210011604j),(0.0066131277486210045-0.007339295390911385j),(-0.0015767900578724718-0.009065587362075234j),(-0.00821992753644044+0.0009684490516354456j),(0.004084449053292799+0.006195940553387988j),(0.0009993669126033289-0.0069124540471470295j),(-0.004803464032061523+0.00558353906179464j),(0.0089527258365067-0.0010961272401321387j),(-0.004073630287142789-0.01119919809248751j),(-0.01263028883657076-0.006043030426351221j),(-0.007912579332902424-0.009938859242222993j),(0.007522874174102619-0.0061452850209705034j),(-0.00022531121192537562+0.0076652422802172245j),(-0.0036283535706060502-0.005971984280848989j)
"(-0.23076923076923084, -3.0)",(0.009565933220998874-0.0006674216233368479j),(-0.00414695825319812+0.006742264816147704j),(-0.0066311673867575915-0.005864574874813373j),(0.0030304417481753576-0.009179003854625672j),(0.00751829221016663-0.006719241609810758j),(0.006367132788431715-0.007661357389559912j),(-0.0010956928548243475-0.009278718833394132j),(-0.008434216078674691-0.00019493262200343258j),(0.002746715637632554+0.007031851870620499j),(0.002730687772275702-0.006474854483386219j),(-0.0059954851212030156+0.0040930389200150566j),(0.008673448153180626+0.0007640969731339585j),(-0.0029358790691332635-0.01111999585190665j),(-0.013008005242548401-0.004997047838353352j),(-0.010523637944426604-0.0078464030505761j),(0.004769520937176898-0.008960619095238084j),(0.0033788008021617233+0.007132423764758486j),(-0.006040883354925182-0.0036070490741885834j)
"(-0.07692307692307665, -3.0)",(0.008460680525961169-0.004421991558136473j),(-0.0015212193171686855+0.007648632002035972j),(-0.00787678524641177-0.003755102320265873j),(0.0012279539665478718-0.009497801520003254j),(0.006842296946858616-0.007380801051220481j),(0.006443144611104045-0.0076787042289044455j),(-0.00016213509734684865-0.009467365854927882j),(-0.008396790749968217-0.0017967635742301112j),(0.0008592064309249173+0.007627487551683416j),(0.0046049235852083144-0.005373489902613416j),(-0.006896902895700412+0.0019596898115389863j),(0.00784844448615129+0.003029137990248787j),(-0.0009556569334374768-0.011016062993736541j),(-0.012814199010732672-0.0050128109109168996j),(-0.01205566552424286-0.0060427542400816065j),(0.0017273328359274105-0.01046095614147021j),(0.0061392361413223195+0.005345725337965017j),(-0.007058091303434037-0.0007316889295157555j)
