index,xy,inc,scat,tot
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.2937840505106641-0.0531932293128988j),(1.0700797338088763+0.5771757198688973j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.3147960615211579-0.16477516144055585j),(0.20452860518030488+0.8291267894943027j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.2979428217685561-0.272995122169327j),(-0.5976456602209481+0.17188831304459024j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.2558146190760446-0.35233434634918015j),(-0.6028099262446092-0.8649393503950835j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.212212255936102-0.38806124904358597j),(0.17889815473987958-1.387506180323688j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.18957795763633314-0.3782007571389811j),(1.0121616573669925-0.9468448083146006j)
"(-0.23076923076923084, -2.8461538461538463)",[-0.23076923 -2.84615385],(0.9232259115800339+0.3842576169540631j),(0.19906396304477242-0.3280369136004151j),(1.1222898746248062+0.05622070335364798j)
"(-0.07692307692307665, -2.8461538461538463)",[-0.07692308 -2.84615385],(0.17620784286427238+0.9843529834937871j),(0.23660589438726817-0.24342311028231559j),(0.4128137372515406+0.7409298732114715j)
"(0.0769230769230771, -2.8461538461538463)",[ 0.07692308 -2.84615385],(-0.7325955350013151+0.6806642212546041j),(0.28414369475491136-0.12832139614455731j),(-0.4484518402464038+0.5523428251100468j)
"(0.23076923076923084, -2.8461538461538463)",[ 0.23076923 -2.84615385],(-0.9687659971841128-0.2479766978969426j),(0.3141693587817632+0.011741761389667784j),(-0.6545966384023496-0.2362349365072748j)
"(0.384615384615385, -2.8461538461538463)",[ 0.38461538 -2.84615385],(-0.31546352898776714-0.9489377017900512j),(0.2972111003907156+0.16256580802868822j),(-0.018252428597051562-0.786371893761363j)
"(0.5384615384615388, -2.8461538461538463)",[ 0.53846154 -2.84615385],(0.6274819183925043-0.7786311335224546j),(0.21285002799506964+0.29567838454663975j),(0.840331946387574-0.48295274897581486j)
"(0.6923076923076925, -2.8461538461538463)",[ 0.69230769 -2.84615385],(0.994304563842483+0.1065759556467108j),(0.06307941018118457+0.37055216005212693j),(1.0573839740236677+0.47712811569883773j)
"(0.8461538461538463, -2.8461538461538463)",[ 0.84615385 -2.84615385],(0.44820603259859493+0.8939302838265561j),(-0.11769326078677667+0.34890439144358126j),(0.33051277181181826+1.2428346752701374j)
"(1.0, -2.8461538461538463)",[ 1.         -2.84615385],(-0.509413066447917+0.860522125068339j),(-0.26564031056640236+0.2187151030094087j),(-0.7750533770143193+1.0792372280777478j)
"(1.1538461538461542, -2.8461538461538463)",[ 1.15384615 -2.84615385],(-0.9993143323913952+0.03702519516680667j),(-0.31104151878913816+0.015740555375970106j),(-1.3103558511805333+0.052765750542776775j)
"(1.3076923076923084, -2.8461538461538463)",[ 1.30769231 -2.84615385],(-0.5716947004238299-0.8204664341137347j),(-0.2182142338006108-0.1762814895439272j),(-0.7899089342244406-0.9967479236576618j)
"(1.4615384615384617, -2.8461538461538463)",[ 1.46153846 -2.84615385],(0.3808266745304521-0.9246464426828652j),(-0.020632221097870936-0.259563422831604j),(0.36019445343258116-1.1842098655144693j)
"(1.6153846153846159, -2.8461538461538463)",[ 1.61538462 -2.84615385],(0.9836918692041161-0.17986190942418037j),(0.1788940006700961-0.1811521872717327j),(1.1625858698742122-0.3610140966959131j)
"(1.7692307692307692, -2.8461538461538463)",[ 1.76923077 -2.84615385],(0.6833799374774259+0.7300629158184584j),(0.2590499241678599+0.019191642703202186j),(0.9424298616452857+0.7492545585216606j)
"(1.9230769230769234, -2.8461538461538463)",[ 1.92307692 -2.84615385],(-0.24437758721720343+0.9696801508053561j),(0.16097870889306212+0.21558204107611056j),(-0.0833988783241413+1.1852621918814665j)
"(2.0769230769230775, -2.8461538461538463)",[ 2.07692308 -2.84615385],(-0.9477597217217487+0.31898512485994307j),(-0.05680110891070173+0.27073802196589103j),(-1.0045608306324505+0.5897231468258342j)
