index,x,value
"(2.8461538461538467, -2.8461538461538463)","(2.8461538461538467, -2.8461538461538463)",(0.21423687876320535-0.04420752457594287j)
"(3.0, -2.8461538461538463)","(3.0, -2.8461538461538463)",(0.14182855088530402+0.13563505355754318j)
"(-3.0, -2.6923076923076925)","(-3.0, -2.6923076923076925)",(0.13734765256003445-0.24338196189883218j)
"(-2.8461538461538463, -2.6923076923076925)","(-2.8461538461538463, -2.6923076923076925)",(-0.08143558085053346-0.26911445098623465j)
"(-2.6923076923076925, -2.6923076923076925)","(-2.6923076923076925, -2.6923076923076925)",(-0.24117440078155586-0.13754826879196472j)
"(-2.5384615384615383, -2.6923076923076925)","(-2.5384615384615383, -2.6923076923076925)",(-0.26466370846148923+0.04869094096243001j)
"(-2.3846153846153846, -2.6923076923076925)","(-2.3846153846153846, -2.6923076923076925)",(-0.1772015771102919+0.1866337964786684j)
"(-2.230769230769231, -2.6923076923076925)","(-2.230769230769231, -2.6923076923076925)",(-0.05228883041640889+0.24100020141807957j)
"(-2.0769230769230766, -2.6923076923076925)","(-2.0769230769230766, -2.6923076923076925)",(0.05951518821258293+0.23631945119226322j)
"(-1.923076923076923, -2.6923076923076925)","(-1.923076923076923, -2.6923076923076925)",(0.15410340094575986+0.20424135915946148j)
"(-1.7692307692307692, -2.6923076923076925)","(-1.7692307692307692, -2.6923076923076925)",(0.245026318736773+0.14709943910936932j)
"(-1.6153846153846154, -2.6923076923076925)","(-1.6153846153846154, -2.6923076923076925)",(0.3258769928280521+0.04692233852878635j)
"(-1.4615384615384615, -2.6923076923076925)","(-1.4615384615384615, -2.6923076923076925)",(0.3640120310904036-0.10059087408288615j)
"(-1.3076923076923075, -2.6923076923076925)","(-1.3076923076923075, -2.6923076923076925)",(0.32705492480219894-0.2663174890080743j)
"(-1.1538461538461537, -2.6923076923076925)","(-1.1538461538461537, -2.6923076923076925)",(0.21291003270520295-0.4003752869806357j)
"(-1.0, -2.6923076923076925)","(-1.0, -2.6923076923076925)",(0.05620165808774836-0.46323863954285627j)
"(-0.8461538461538458, -2.6923076923076925)","(-0.8461538461538458, -2.6923076923076925)",(-0.09124712453541202-0.4484864203115919j)
"(-0.6923076923076921, -2.6923076923076925)","(-0.6923076923076921, -2.6923076923076925)",(-0.18767010304645215-0.38228464021743747j)
"(-0.5384615384615383, -2.6923076923076925)","(-0.5384615384615383, -2.6923076923076925)",(-0.21695828920465554-0.30475200952201753j)
"(-0.3846153846153846, -2.6923076923076925)","(-0.3846153846153846, -2.6923076923076925)",(-0.18647979170213788-0.24864593888779146j)
"(-0.23076923076923084, -2.6923076923076925)","(-0.23076923076923084, -2.6923076923076925)",(-0.11428971038275351-0.22716427334769967j)
"(-0.07692307692307665, -2.6923076923076925)","(-0.07692307692307665, -2.6923076923076925)",(-0.017091445648777105-0.23298499285403843j)
"(0.0769230769230771, -2.6923076923076925)","(0.0769230769230771, -2.6923076923076925)",(0.09381741239548241-0.24425358868902525j)
"(0.23076923076923084, -2.6923076923076925)","(0.23076923076923084, -2.6923076923076925)",(0.20818728541844966-0.2331629903065086j)
"(0.384615384615385, -2.6923076923076925)","(0.384615384615385, -2.6923076923076925)",(0.30890392424845126-0.17596594618587347j)
"(0.5384615384615388, -2.6923076923076925)","(0.5384615384615388, -2.6923076923076925)",(0.36795122946883-0.06477561132055096j)
"(0.6923076923076925, -2.6923076923076925)","(0.6923076923076925, -2.6923076923076925)",(0.3530670560132743+0.0813048886992377j)
