index,x,value
"(-0.27966101694915246, -1.4491525423728813)","(-0.27966101694915246, -1.4491525423728813)",(-0.006915237094526235-0.2219479791713853j)
"(-0.22881355932203373, -1.4491525423728813)","(-0.22881355932203373, -1.4491525423728813)",(-0.12525684439188098-0.08168836829353436j)
"(-0.17796610169491522, -1.4491525423728813)","(-0.17796610169491522, -1.4491525423728813)",(0.07489652816218825-0.244929739338881j)
"(-0.1271186440677965, -1.4491525423728813)","(-0.1271186440677965, -1.4491525423728813)",(0.16853194190942963-0.26467922458968274j)
"(-0.07627118644067776, -1.4491525423728813)","(-0.07627118644067776, -1.4491525423728813)",(0.027646107157683356-0.2642106719999181j)
"(-0.025423728813559254, -1.4491525423728813)","(-0.025423728813559254, -1.4491525423728813)",(0.11317446295769164-0.08279988324797133j)
"(0.025423728813559476, -1.4491525423728813)","(0.025423728813559476, -1.4491525423728813)",(0.02782555253235975+0.04213817512083674j)
"(0.07627118644067798, -1.4491525423728813)","(0.07627118644067798, -1.4491525423728813)",(-0.10587714965003238+0.16955316381019916j)
"(0.12711864406779672, -1.4491525423728813)","(0.12711864406779672, -1.4491525423728813)",(-0.08377909966464986+0.005764739860155008j)
"(0.17796610169491545, -1.4491525423728813)","(0.17796610169491545, -1.4491525423728813)",(-0.15695100102255527+0.20952633253465033j)
"(0.22881355932203395, -1.4491525423728813)","(0.22881355932203395, -1.4491525423728813)",(-0.10463252215343548+0.12436091112943654j)
"(0.2796610169491527, -1.4491525423728813)","(0.2796610169491527, -1.4491525423728813)",(-0.2699319458981716+0.024391980363430283j)
"(0.3305084745762712, -1.4491525423728813)","(0.3305084745762712, -1.4491525423728813)",(-0.2234749948132026-0.05621856548327366j)
"(0.3813559322033899, -1.4491525423728813)","(0.3813559322033899, -1.4491525423728813)",(-0.109758964884855+0.002347799501123453j)
"(0.43220338983050866, -1.4491525423728813)","(0.43220338983050866, -1.4491525423728813)",(-0.06869072333859627-0.12870950034983447j)
"(0.48305084745762716, -1.4491525423728813)","(0.48305084745762716, -1.4491525423728813)",(-0.07668932368510956-0.05935954843699026j)
"(0.5338983050847457, -1.4491525423728813)","(0.5338983050847457, -1.4491525423728813)",(-0.06654574072447304+0.059342359727834644j)
"(0.5847457627118646, -1.4491525423728813)","(0.5847457627118646, -1.4491525423728813)",(-0.08154709731882112-0.062452280839583194j)
"(0.6355932203389831, -1.4491525423728813)","(0.6355932203389831, -1.4491525423728813)",(-0.21488539369887022+0.03690117440813102j)
"(0.6864406779661016, -1.4491525423728813)","(0.6864406779661016, -1.4491525423728813)",(-0.18957029831018957+0.0492883458681722j)
"(0.7372881355932206, -1.4491525423728813)","(0.7372881355932206, -1.4491525423728813)",(-0.18141531822942542-0.11064195100601863j)
"(0.7881355932203391, -1.4491525423728813)","(0.7881355932203391, -1.4491525423728813)",(-0.08517641781020312-0.214038116226647j)
"(0.8389830508474576, -1.4491525423728813)","(0.8389830508474576, -1.4491525423728813)",(0.06242209413149044-0.19394227182980753j)
"(0.8898305084745766, -1.4491525423728813)","(0.8898305084745766, -1.4491525423728813)",(0.2614530465294845-0.2059623989734749j)
"(0.9406779661016951, -1.4491525423728813)","(0.9406779661016951, -1.4491525423728813)",(0.21340952157948972-0.0682222342080738j)
"(0.9915254237288136, -1.4491525423728813)","(0.9915254237288136, -1.4491525423728813)",(0.18849946987827973+0.026254088648987733j)
"(1.0423728813559325, -1.4491525423728813)","(1.0423728813559325, -1.4491525423728813)",(-0.02410845184225722+0.2014526719965963j)
"(1.093220338983051, -1.4491525423728813)","(1.093220338983051, -1.4491525423728813)",(-0.0021299493953321202+0.1744366307259128j)
"(1.1440677966101696, -1.4491525423728813)","(1.1440677966101696, -1.4491525423728813)",(-0.0895735085638465+0.0665148277167644j)
"(1.1949152542372885, -1.4491525423728813)","(1.1949152542372885, -1.4491525423728813)",(-0.147960327209892+0.07309692019295524j)
"(1.245762711864407, -1.4491525423728813)","(1.245762711864407, -1.4491525423728813)",(-0.15948584393713594-0.02584418971980975j)
"(1.2966101694915255, -1.4491525423728813)","(1.2966101694915255, -1.4491525423728813)",(-0.10676450747778796-0.150788601868947j)
"(1.3474576271186445, -1.4491525423728813)","(1.3474576271186445, -1.4491525423728813)",(0.03292246004736806-0.20912905304251753j)
"(1.398305084745763, -1.4491525423728813)","(1.398305084745763, -1.4491525423728813)",(0.15865262227118926-0.10764016984947856j)
"(1.4491525423728815, -1.4491525423728813)","(1.4491525423728815, -1.4491525423728813)",(0.018692754100673243-0.08437989379909133j)
"(1.5, -1.4491525423728813)","(1.5, -1.4491525423728813)",(0.16374762306899043+0.029683953570832814j)
"(-1.5, -1.3983050847457628)","(-1.5, -1.3983050847457628)",(-0.0806239151800711+0.052290166035592126j)
"(-1.4491525423728813, -1.3983050847457628)","(-1.4491525423728813, -1.3983050847457628)",(-0.08650225626134014+0.007463090115768933j)
"(-1.3983050847457628, -1.3983050847457628)","(-1.3983050847457628, -1.3983050847457628)",(-0.05080175192402024+0.1260745423565808j)
"(-1.347457627118644, -1.3983050847457628)","(-1.347457627118644, -1.3983050847457628)",(0.04626832561392506+0.07972461348780396j)
"(-1.2966101694915255, -1.3983050847457628)","(-1.2966101694915255, -1.3983050847457628)",(0.021949838003346777+0.01838086604055556j)
"(-1.2457627118644068, -1.3983050847457628)","(-1.2457627118644068, -1.3983050847457628)",(0.11274614884600051+0.09309078396005772j)
"(-1.194915254237288, -1.3983050847457628)","(-1.194915254237288, -1.3983050847457628)",(0.1678136191123322+0.026565370811601485j)
"(-1.1440677966101696, -1.3983050847457628)","(-1.1440677966101696, -1.3983050847457628)",(0.0783465675547694-0.02401921014169179j)
"(-1.0932203389830508, -1.3983050847457628)","(-1.0932203389830508, -1.3983050847457628)",(0.10820832606497505+0.037474199961162295j)
"(-1.042372881355932, -1.3983050847457628)","(-1.042372881355932, -1.3983050847457628)",(-0.012554375325436646-0.057084150060376426j)
"(-0.9915254237288136, -1.3983050847457628)","(-0.9915254237288136, -1.3983050847457628)",(0.08427049652899712-0.1901425889769235j)
"(-0.9406779661016949, -1.3983050847457628)","(-0.9406779661016949, -1.3983050847457628)",(-0.0720325109473977-0.2126931966204198j)
"(-0.8898305084745762, -1.3983050847457628)","(-0.8898305084745762, -1.3983050847457628)",(-0.04790637283857674-0.10861975675547479j)
"(-0.8389830508474576, -1.3983050847457628)","(-0.8389830508474576, -1.3983050847457628)",(-0.11369602264863041-0.06869712389831213j)
"(-0.7881355932203389, -1.3983050847457628)","(-0.7881355932203389, -1.3983050847457628)",(-0.0672408214336873-0.0077513790688696245j)
"(-0.7372881355932203, -1.3983050847457628)","(-0.7372881355932203, -1.3983050847457628)",(-0.10849475027018993+0.05490052986394521j)
"(-0.6864406779661016, -1.3983050847457628)","(-0.6864406779661016, -1.3983050847457628)",(-0.10498302804772791-0.1764667526647685j)
