index,x,value
"(-1.9899665551839467, -2.0)","(-1.9899665551839467, -2.0)",(-0.04064987780616795+0.3686767077210442j)
"(-1.956521739130435, -2.0)","(-1.956521739130435, -2.0)",(-0.10784819442283705+0.8213593540086453j)
"(-1.9230769230769234, -2.0)","(-1.9230769230769234, -2.0)",(0.4767953655388578+1.0282908127147814j)
"(-1.8896321070234117, -2.0)","(-1.8896321070234117, -2.0)",(0.36083965567759463+0.3382656002419304j)
"(-1.8561872909699, -2.0)","(-1.8561872909699, -2.0)",(0.2514468922844316+1.0901798579715418j)
"(-1.8227424749163883, -2.0)","(-1.8227424749163883, -2.0)",(1.0703752272252791+0.23953192692986194j)
"(-1.7892976588628766, -2.0)","(-1.7892976588628766, -2.0)",(0.7468369231935712+0.3548188712678268j)
"(-1.7558528428093645, -2.0)","(-1.7558528428093645, -2.0)",(0.23477672128148083+0.5204536322549088j)
"(-1.7224080267558528, -2.0)","(-1.7224080267558528, -2.0)",(1.5564162194732925+0.6694500436504789j)
"(-1.6889632107023411, -2.0)","(-1.6889632107023411, -2.0)",(1.177717785543198+0.40911641742929217j)
"(-1.6555183946488294, -2.0)","(-1.6555183946488294, -2.0)",(1.3772663773404135-0.549990709075958j)
"(-1.6220735785953178, -2.0)","(-1.6220735785953178, -2.0)",(1.166100197765561-0.8245976967193367j)
"(-1.588628762541806, -2.0)","(-1.588628762541806, -2.0)",(0.8296422098062051-0.5161279125688478j)
"(-1.5551839464882944, -2.0)","(-1.5551839464882944, -2.0)",(1.4658510973732595-0.6263570380826661j)
"(-1.5217391304347827, -2.0)","(-1.5217391304347827, -2.0)",(0.5608472722962141-0.9308027497424014j)
"(-1.488294314381271, -2.0)","(-1.488294314381271, -2.0)",(-0.03819482972256259-0.6261320490354639j)
"(-1.4548494983277593, -2.0)","(-1.4548494983277593, -2.0)",(0.1987003352739924-1.0507240526969037j)
"(-1.4214046822742477, -2.0)","(-1.4214046822742477, -2.0)",(0.8674750203285921-1.2545221629924455j)
"(-1.387959866220736, -2.0)","(-1.387959866220736, -2.0)",(0.2659400252344932-0.850631393059434j)
"(-1.3545150501672243, -2.0)","(-1.3545150501672243, -2.0)",(-0.31515599344666034-0.6531313582530258j)
"(-1.3210702341137126, -2.0)","(-1.3210702341137126, -2.0)",(0.08666630727628574-0.8650552963566056j)
"(-1.287625418060201, -2.0)","(-1.287625418060201, -2.0)",(-0.3099727304795346-1.2616002889383393j)
"(-1.2541806020066892, -2.0)","(-1.2541806020066892, -2.0)",(-0.4523837631144645-1.0707138668647582j)
"(-1.2207357859531776, -2.0)","(-1.2207357859531776, -2.0)",(-0.0654321581233749-0.6654640251156757j)
"(-1.1872909698996659, -2.0)","(-1.1872909698996659, -2.0)",(-0.41358997512959406-1.208069293946405j)
"(-1.1538461538461542, -2.0)","(-1.1538461538461542, -2.0)",(0.027070936505162332-1.104823599076262j)
"(-1.1204013377926425, -2.0)","(-1.1204013377926425, -2.0)",(-0.6882567180686547-1.3359267441110638j)
"(-1.0869565217391308, -2.0)","(-1.0869565217391308, -2.0)",(-0.9655569487881808-0.5455675924782837j)
"(-1.0535117056856187, -2.0)","(-1.0535117056856187, -2.0)",(-1.1680329832907195-0.6868529311867937j)
"(-1.020066889632107, -2.0)","(-1.020066889632107, -2.0)",(-1.1129589416248853-0.5079096554844255j)
"(-0.9866220735785953, -2.0)","(-0.9866220735785953, -2.0)",(-0.5094390402324172-0.2735333424539335j)
"(-0.9531772575250841, -2.0)","(-0.9531772575250841, -2.0)",(-0.6731339686691645-1.3446869137137247j)
"(-0.919732441471572, -2.0)","(-0.919732441471572, -2.0)",(-0.6517779415999069-0.6607198553609275j)
"(-0.8862876254180607, -2.0)","(-0.8862876254180607, -2.0)",(-0.9246890814106353-0.18528275941411693j)
"(-0.8528428093645486, -2.0)","(-0.8528428093645486, -2.0)",(-0.6936356009411311-0.8601444117247675j)
"(-0.8193979933110374, -2.0)","(-0.8193979933110374, -2.0)",(-0.9559955514617167-1.3363846830310355j)
"(-0.7859531772575252, -2.0)","(-0.7859531772575252, -2.0)",(-0.5650357955329766-0.3177045603443675j)
"(-0.752508361204014, -2.0)","(-0.752508361204014, -2.0)",(-0.06215105442302608-0.1570319281650029j)
"(-0.7190635451505019, -2.0)","(-0.7190635451505019, -2.0)",(0.11572536251041161+0.20507704040627373j)
"(-0.6856187290969897, -2.0)","(-0.6856187290969897, -2.0)",(-0.348670702215192-0.5623343908060612j)
"(-0.6521739130434785, -2.0)","(-0.6521739130434785, -2.0)",(-0.07292538939785201+0.4698771810967115j)
"(-0.6187290969899664, -2.0)","(-0.6187290969899664, -2.0)",(0.04579842144825845-0.29750525940394174j)
"(-0.5852842809364551, -2.0)","(-0.5852842809364551, -2.0)",(-0.4037361797896183-0.5278591017349186j)
"(-0.551839464882943, -2.0)","(-0.551839464882943, -2.0)",(0.04676470750662522-0.8315392044481827j)
"(-0.5183946488294318, -2.0)","(-0.5183946488294318, -2.0)",(0.36042104910636485-0.43491793919292804j)
"(-0.48494983277591963, -2.0)","(-0.48494983277591963, -2.0)",(0.4307139793693658+0.30385978331509805j)
"(-0.4515050167224084, -2.0)","(-0.4515050167224084, -2.0)",(0.10554309740819424-0.35094699294797255j)
"(-0.41806020066889626, -2.0)","(-0.41806020066889626, -2.0)",(-0.24280308042285048-1.162189696592726j)
"(-0.384615384615385, -2.0)","(-0.384615384615385, -2.0)",(-0.2508099779929994-0.4706738603868805j)
"(-0.3511705685618729, -2.0)","(-0.3511705685618729, -2.0)",(0.1445758156745446-1.0652094755022685j)
"(-0.31772575250836166, -2.0)","(-0.31772575250836166, -2.0)",(0.8233979762051815-0.48347040578749756j)
"(-0.28428093645484953, -2.0)","(-0.28428093645484953, -2.0)",(0.2788573420538058-1.130896682653414j)
"(-0.2508361204013383, -2.0)","(-0.2508361204013383, -2.0)",(0.3558034963046025-0.5133104341891872j)
"(-0.21739130434782616, -2.0)","(-0.21739130434782616, -2.0)",(0.2741111208660217-0.8411632482388705j)
"(-0.18394648829431492, -2.0)","(-0.18394648829431492, -2.0)",(0.16532023823004333-0.6483191422929183j)
"(-0.1505016722408028, -2.0)","(-0.1505016722408028, -2.0)",(0.8651740335965171-0.19899272687395456j)
"(-0.11705685618729156, -2.0)","(-0.11705685618729156, -2.0)",(0.3057368178848969-0.14028708292045863j)
"(-0.08361204013377943, -2.0)","(-0.08361204013377943, -2.0)",(0.9468645880807568+0.44541895269868503j)
"(-0.05016722408026819, -2.0)","(-0.05016722408026819, -2.0)",(0.6633219748164783-0.6682976428724894j)
"(-0.016722408026756064, -2.0)","(-0.016722408026756064, -2.0)",(0.5521618560091244-0.4514066104422995j)
"(0.016722408026756064, -2.0)","(0.016722408026756064, -2.0)",(-0.017223657307912713-0.3169281001931549j)
"(0.0501672240802673, -2.0)","(0.0501672240802673, -2.0)",(1.0744220316536874-0.2095730176854002j)
"(0.08361204013377943, -2.0)","(0.08361204013377943, -2.0)",(1.1412001771331313+0.24245073619814234j)
