index,x,value,0,1,2
"(1.2424242424242427, -7.0)","(1.2424242424242427, -7.0)",(-1.5964329918873301+1.105078012881651j),(0.3633050474157183-0.42138553107108384j),(-1.956666593717495+1.0601044358488454j),(-0.003071445585553355+0.4663591081038897j)
"(1.284848484848485, -7.0)","(1.284848484848485, -7.0)",(-2.272355718193982+0.5311596356141486j),(0.42290010948806755-0.38672921364408364j),(-2.145046837223229+0.5259224082669709j),(-0.5502089904588205+0.3919664409912614j)
"(1.3272727272727274, -7.0)","(1.3272727272727274, -7.0)",(-2.553792105910699-0.6153871773124289j),(0.48177653757370725-0.34089481009866596j),(-2.1832564716299747-0.05007564753296989j),(-0.8523121718544316-0.22441671968079308j)
"(1.3696969696969699, -7.0)","(1.3696969696969699, -7.0)",(-1.9893644094314946-1.8621406994086958j),(0.5377192471194079-0.28300592518028755j),(-2.0588149461009353-0.6221546791769846j),(-0.4682687104499673-0.9569800950514236j)
"(1.4121212121212123, -7.0)","(1.4121212121212123, -7.0)",(-0.7076526501356213-2.4676518927844375j),(0.5881176837566413-0.21258816534870528j),(-1.7744486845627208-1.1399353644958454j),(0.4786783506704582-1.1151283629398872j)
"(1.4545454545454546, -7.0)","(1.4545454545454546, -7.0)",(0.5396035266086028-2.0608952170108985j),(0.6300234854325393-0.12970286876313283j),(-1.3500718031202164-1.553854349557525j),(1.2596518442962799-0.37733799869024076j)
"(1.496969696969697, -7.0)","(1.496969696969697, -7.0)",(0.9584690328902135-1.0797584232511834j),(0.6602484053902542-0.03507935481826535j),(-0.8226765004212746-1.8215477295471578j),(1.1208971279212339+0.7768686611142396j)
"(1.5393939393939395, -7.0)","(1.5393939393939395, -7.0)",(0.4797813572278246-0.4841573239344106j),(0.6755062546765839+0.06976548576483063j),(-0.24367562175272434-1.9143143119582267j),(0.04795072430396507+1.3603915022589854j)
"(1.581818181818182, -7.0)","(1.581818181818182, -7.0)",(-0.06366725250067862-0.8604226033605399j),(0.6725997932121421+0.1824337208360344j),(0.3264052246488448-1.8225782555603964j),(-1.0626722703616656+0.7797219313638221j)
"(1.6242424242424245, -7.0)","(1.6242424242424245, -7.0)",(0.3142566594346101-1.7430637161926077j),(0.6486496645757173+0.2995941617911889j),(0.8255068381809367-1.559187838692609j),(-1.1598998433220438-0.4834700392911876j)
"(1.6666666666666667, -7.0)","(1.6666666666666667, -7.0)",(1.6934016415821604-1.948063945721214j),(0.6013577099625624+0.41698721870941446j),(1.198967422843386-1.1595281774457324j),(-0.10692349122378791-1.2055229869848962j)
"(1.7090909090909092, -7.0)","(1.7090909090909092, -7.0)",(2.9864165514556476-0.7593970705284843j),(0.529291527021914+0.5295019192419217j),(1.4083947635738001-0.6778297983084565j),(1.0487302608599338-0.6110691914619495j)
"(1.7515151515151517, -7.0)","(1.7515151515151517, -7.0)",(2.9225381076600865+1.1890147746031483j),(0.43217133566831156+0.6313376804161346j),(1.4387599791329648-0.17970801106944928j),(1.0516067928588102+0.737385105256463j)
"(1.7939393939393942, -7.0)","(1.7939393939393942, -7.0)",(1.3977880836386691+2.37740814352975j),(0.3111346221838485+0.7162588378468596j),(1.3019982828343935+0.2682136334736072j),(-0.2153448213795727+1.392935672209283j)
"(1.8363636363636366, -7.0)","(1.8363636363636366, -7.0)",(-0.26228020475707003+1.909057652981776j),(0.1689493622675913+0.7779431280709164j),(1.0358142023648351+0.6099147835531478j),(-1.4670437693894964+0.521199741357712j)
"(1.8787878787878791, -7.0)","(1.8787878787878791, -7.0)",(-0.5805507651661488+0.5227448420369063j),(0.01014370484536209+0.8104163703325128j),(0.6972211517658857+0.8105166876826905j),(-1.2879156217773966-1.098188215978297j)
"(1.9212121212121216, -7.0)","(1.9212121212121216, -7.0)",(0.49130635267591555-0.09391554629454157j),(-0.15898027985230434+0.8085548841418879j),(0.3514993625462401+0.8632364627425002j),(0.2987872699819798-1.7657068931789297j)
