index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(0.5789473684210527, -6.714285714285714)",(0.0016713017764194622-0.00694555869196694j),(-0.0028166842257817412-0.006724357019491559j),(-0.010231148585497778-0.0003855213438763949j),(-0.0009577448162596934+0.009461010866606053j),(0.00875206978865562+0.0016655771085183355j),(0.003754697598680126-0.004435400812244077j),(0.005019191924912682-0.002634988917129428j),(0.00693310103300363+0.005378095116900651j),(-0.005585181089857456+0.007456804004195902j),(-0.007766949920160568-0.0062104714042193546j)
"(0.8421052631578947, -6.714285714285714)",(0.0069418948502392485-0.0005463700141241209j),(0.0038143892389896996-0.005915989929730566j),(-0.006318226934254534-0.007556803875947969j),(-0.006723202104620501+0.006360065803741058j),(0.0060328430441057+0.0063122566882788085j),(0.00554928849039922-0.0016695252048094119j),(0.00538330138992996+0.0014709516010824686j),(0.0006723766933397967+0.008503179780348187j),(-0.008960490947572952-0.0002439873090375087j),(0.002090373573243594-0.009167548262869462j)
"(1.1052631578947367, -6.714285714285714)",(-2.6584894487114005e-05+0.0067000735850675595j),(0.006240023274891408+0.00242988199585074j),(0.004411593656069202-0.008149814025072484j),(-0.00857895984686285-0.0022763282494221294j),(-0.0010431832867357864+0.008404388916635626j),(0.0049798749156244855+0.0028986208207443217j),(0.0016762268778559824+0.0052052867799500906j),(-0.006970134857978745+0.004309474767054835j),(-0.0024038281262977715-0.008130628516899243j),(0.008588859527462692+0.0010643648449286617j)
"(1.3684210526315788, -6.714285714285714)",(-0.005657154149377815-0.0028864734061601776j),(-0.0033173773408279915+0.005311887196611343j),(0.00757424564150168+0.003803911411671618j),(4.528165810917274e-05-0.008362314399409595j),(-0.007757239086757255+0.002382160039290508j),(-9.450418506547335e-05+0.005711490031080581j),(-0.004243563535226881+0.0032268875452179514j),(-0.005397411705703856-0.005580840398007945j),(0.007485863474414067-0.002375090710231697j),(-0.002723330111394044+0.0071984696625046135j)
"(1.6315789473684208, -6.714285714285714)",(0.005718085645077143-0.0015178848245780586j),(-0.002507069592369994-0.005169772485254762j),(-0.0052129428256239094+0.005359015475395612j),(0.007700931963570844+0.0003466122933010273j),(-0.003405049752903124-0.00686578269866564j),(-0.005460781236375414+0.0014311088054120616j),(-0.0035313348964931177-0.003772588421784396j),(0.0053974454292598445-0.004816158882027163j),(0.0002801300863195293+0.007083792307402556j),(-0.00393214687078192-0.005234882550366953j)
"(1.8947368421052628, -6.714285714285714)",(-0.004353012427241572+0.0031985781645943387j),(0.004606799099684528+0.002327177502790288j),(-0.001061720428312736-0.006202694387871646j),(-0.0025033809433523293+0.0064480951101661245j),(0.006634975957031424-0.002564711924996222j),(-0.0016174339187634188-0.005319619282361717j),(0.004044635048379627-0.0029008211771391593j),(0.002807700870208768+0.00597943851970562j),(-0.0054184374264722324-0.00300785262970987j),(0.0051154137606457565+0.001203252317505953j)
"(2.1578947368421053, -6.714285714285714)",(0.0037925749245142355-0.002978652527910841j),(-0.004476196248524387-0.0007130614697677863j),(0.003586963194971633+0.0034549851847898547j),(-0.0033815993863864345-0.004958193682800329j),(0.00018861315012763484+0.006463406734016497j),(0.005426359538459867-0.0005685081319871518j),(0.0012423820309934671+0.004596192775906108j),(-0.0058619056065004746-0.000548992832625952j),(0.005041819499704015-0.0012861184882031174j),(-0.0038384704856333765+0.0006830213090818115j)
"(2.4210526315789473, -6.714285714285714)",(-0.003916758363859482+0.0015187336478895124j),(0.0038287467386610647+0.0006711860940180979j),(-0.003316007180765813-0.0014599319636704189j),(0.004811840257655589+0.0013261121389123044j),(-0.004880213731286533-0.0030047667530338665j),(-0.0016324228418740066+0.005076276725091408j),(-0.00429475348419593-0.0014097980410095244j),(0.003864078189806183-0.0033195165580869193j),(-0.003031093480160752+0.002831397247242722j),(0.0024435541344028553-0.0008402854046033814j)
"(2.6842105263157894, -6.714285714285714)",(0.0034642481921537973+0.0008525515417615984j),(-0.002854923155687073-0.001558834555851793j),(0.002225350136961646+0.0006967403695211042j),(-0.0038641643869438526+0.0007134482405345968j),(0.004822538593931521-0.0009988395019806186j),(-0.003034810690136584-0.004207900776263075j),(0.0038238743119591904-0.0018703580606135382j),(-0.0011923231357741097+0.004077924968321663j),(0.0016257989389859416-0.0026216592699410176j),(-0.0013664365992835377+0.0004572827678023291j)
"(2.9473684210526314, -6.714285714285714)",(-0.0011872647058338078-0.0027098932407001747j),(0.0011431682715453404+0.002396552415697653j),(-0.001180999048315601-0.0003910712389282429j),(0.00264416476762374-0.0011225855982121954j),(-0.0030186906423258874+0.0027333431308608335j),(0.004898290329528792+0.0011130039735971029j),(-0.00209542602716342+0.003376575844751521j),(-0.0002580120615323105-0.003371706153295509j),(-0.0009935635275918958+0.0018257958776124114j),(0.0006058059856808732-0.0003117346111236039j)
