index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(2.1578947368421053, -7.0)",(0.004653133778537001+0.0008030916725656317j),(-0.0007134995486171255+0.003496384354606547j),(0.004273495548245485-0.005648704800388643j),(-0.007301896605228922+0.001043059077866243j),(0.004781367012171897+0.005632341624141003j),(0.005805404202757508-0.001397991534841142j),(0.002684706212076049+0.0006056086647805905j),(-0.0035622218246469926+0.0033484012894754527j),(0.002879739566870823-0.0027337969048257965j),(-0.002376813355937959+0.0007694028586382048j)
"(2.4210526315789473, -7.0)",(-0.002256876153919207-0.00305613909638279j),(0.0002231930465046365-0.0011332742581219733j),(0.0014080645785679942+0.005790027536152168j),(0.0016025784891757862-0.006408225332536941j),(-0.005839094995785006+0.0035690018588351285j),(0.0015426620454684168+0.005590986681325895j),(-0.002365865457937238+0.001409864027627769j),(0.001079615931836065-0.0039388489855094275j),(-0.0015922434004376177+0.0025109544479982385j),(0.0013702611923245228-0.0004053739925311017j)
"(2.6842105263157894, -7.0)",(-0.001448159319580124+0.002878717525948384j),(-0.0008761404793372015-0.0016011987053654j),(-0.003504740883877354-0.003174855256104295j),(0.003580242356476417+0.004470778709618261j),(-0.0009621752388265341-0.006136647206541586j),(-0.00585812123982614+0.0004114399534556299j),(0.0010104436969025979-0.0022759817767739137j),(0.00024073866964347123+0.0032537977354012296j),(0.0010066406882690566-0.0017615889564022928j),(-0.0006322186564054421+0.0002498287450602605j)
"(2.9473684210526314, -7.0)",(0.0028316788276511557+0.0007518132948593288j),(7.5705488396692285e-06+0.004338095591955234j),(0.003182668796147958+0.0013766293862253818j),(-0.004645292415481085-0.0010806250688709246j),(0.004907798951015769+0.0024871297649857868j),(0.00223095667581278-0.005678152562198199j),(3.9116614850536156e-05+0.0019393888056078476j),(-0.0005394562665168974-0.0023969185743264038j),(-0.0006896179795263316+0.0009841141305452414j),(0.0004232153555499788-0.00040355648108698336j)
"(3.2105263157894735, -7.0)",(0.0007316097750923127-0.002671097634754944j),(0.003841107736042586-0.0049115875875442895j),(-0.002159368615554717-0.0006948973479818794j),(0.0036961790992022635-0.0007410500201087078j),(-0.004580052121645187+0.001184211493981527j),(0.0031036117166612616+0.005577465889692489j),(-0.000257210806292547-0.001120827624412679j),(0.000334058720432119+0.001669307605406516j),(0.00034342871206467036-0.0004807829056687617j),(-0.0007466096594994459+0.0002346275488131761j)
"(3.473684210526316, -7.0)",(-0.0023658567521448594-0.0012304805547145832j),(-0.007313953376559177-8.004802296045731e-05j),(0.0011703656446016202+0.0004255981061303736j),(-0.0025574252528378187+0.0010853991994901353j),(0.0028429671200308083-0.0026991692157227777j),(-0.006075933160242045-0.002675897039138816j),(-0.00013841036123213743+0.00026525528812531716j),(-5.577885901266471e-05-0.0010378161593845693j),(-9.766035767348622e-05+0.00043438232610605137j),(0.0006266947326613822+0.000516410675183187j)
"(3.7368421052631575, -7.0)",(-0.0020310268087833537+0.0016575642361760185j),(0.0028889258979428144+0.007043065564998627j),(-0.0005915129894162899-9.961765276783746e-05j),(0.0016963803070787265-0.0007426695620800393j),(-0.001512915679718292+0.0027048082775132493j),(0.006819293115405012-8.174641429909912e-05j),(0.000693673110793159+0.0006466947031293527j),(-1.7277691745730284e-05+0.0005292828633400747j),(0.00031153017310865997-0.0005455520842695488j),(0.0002606803533606807-0.0005774934467251775j)
"(4.0, -7.0)",(0.0002817706277753239+0.0026242899154644435j),(0.0062599901521111475-0.0037996852426589512j),(0.0006226105463715812-6.947549963450076e-05j),(-0.0010071767196541247+0.00032197933146632424j),(0.0008938231268106677-0.002119952099335866j),(-0.0067195504245257534+0.0015708128122411359j),(-0.0008855493381222233-0.0017684159334652966j),(-0.00011608840334085405-0.00033362926105788055j),(-0.0007191685985244322+0.00013095661420585444j),(-0.000271766153373287-0.0001389802972757975j)
"(-1.0, -6.714285714285714)",(0.00044391159534937826-0.009814386935008917j),(-0.006601488658563759-0.002183856399759547j),(-0.004061948327823553+0.006408403330106656j),(0.007713563989897143-0.0010290093879188821j),(-0.004456342392950637-0.006296991512829128j),(-0.0016685625326389253+0.00421829328510758j),(0.007212935210630312-0.005145333084487794j),(0.008646804790666124+0.0020880107248365224j),(-0.0014844398417316756+0.009372819628882168j),(-0.010153609601935981-0.0010568999947080963j)
"(-0.736842105263158, -6.714285714285714)",(-0.005595703154205588-0.01023542399571483j),(0.002327092758491763+0.00776648098609645j),(0.008202192380634701+0.0024708385022546436j),(-0.0011964386613572669-0.008335792475900324j),(-0.0074223537591512016+0.0033789309392438906j),(0.004406350062987921+0.0038970024655633592j),(0.004339865382938191-0.008301410275389252j),(0.00891199851230055-0.0012637104595662326j),(0.0026388750657649262+0.009272220531949078j),(-0.009583546648781518+0.004132596406269808j)
