index,x,value,0,1,2
"(2.6842105263157894, -7.0)","(2.6842105263157894, -7.0)",(1.555013377607204+1.1080145337566758j),(3.3652089227950204+5.382326297705072j),(0.04640840834549029-0.7139723771643841j),(1.2534228016811009-1.3443103192706602j)
"(2.9473684210526314, -7.0)","(2.9473684210526314, -7.0)",(-0.5801866646075504+0.9873781507086209j),(-4.337189502022603+1.2374439508521966j),(0.8724345196193248-0.06572539027918997j),(1.7241949885806267+1.7904158915528563j)
"(3.2105263157894735, -7.0)","(3.2105263157894735, -7.0)",(-0.9490499465864273+0.9688760971897304j),(0.09899772926197892-3.192243335258771j),(-0.7733606846522809+0.4013983280646031j),(-2.17278688436898+5.697473298763359j)
"(3.473684210526316, -7.0)","(3.473684210526316, -7.0)",(-1.9493800051181753+0.8778977603829846j),(2.4656098591888265+1.016430066969365j),(0.06314438966311725-0.6451249929397572j),(-8.37689426420647+2.262388207119346j)
"(3.7368421052631575, -7.0)","(3.7368421052631575, -7.0)",(-3.604517288334972-0.615015071671617j),(-2.1614961122713714+1.479911006870044j),(0.0587218656180311+1.1375894416494998j),(-8.710777618351576-4.462545663534395j)
"(4.0, -7.0)","(4.0, -7.0)",(-0.5039450586068104-3.261615796051738j),(0.4944277982731713-2.493763286126746j),(0.5050569402130058-0.8584174466362472j),(-2.5113199143066085-6.432666655392222j)
"(-1.0, -6.714285714285714)","(-1.0, -6.714285714285714)",(-1.2585732597915738-0.2434036999173832j),(-0.5620714594940953+1.022563735081817j),(-2.30912572549234-0.9936520297196856j),(-0.9045225943882869-0.7591228051142811j)
"(-0.736842105263158, -6.714285714285714)","(-0.736842105263158, -6.714285714285714)",(-1.8265734648687382-1.375071181052132j),(1.9189432361611196-4.127095724862951j),(-0.5537920998940037+1.921005251663866j),(-6.844871530873331-1.9191230699573119j)
"(-0.4736842105263158, -6.714285714285714)","(-0.4736842105263158, -6.714285714285714)",(-1.4625619804857461-1.2670921147670573j),(-1.111945792335502-9.402348270857491j),(1.9427578589587844+0.6470227175168852j),(-5.218498008080521+4.954049209039434j)
"(-0.21052631578947367, -6.714285714285714)","(-0.21052631578947367, -6.714285714285714)",(-1.9959351986606866-4.266966151790067j),(-5.375678514055908-11.711568911620681j),(1.9319428960852458-1.3859745152470535j),(-2.5440699780113976+0.2966449714975341j)
"(0.05263157894736836, -6.714285714285714)","(0.05263157894736836, -6.714285714285714)",(-2.2648903353925594-5.653648368891951j),(-7.383270865721052-12.156392105631797j),(1.2116993679850885-1.9746041938891359j),(-0.6230995084417156-2.8299488071549237j)
"(0.3157894736842104, -6.714285714285714)","(0.3157894736842104, -6.714285714285714)",(-1.9871126521435696-5.1747528007321195j),(-6.206679597655419-11.810536950839232j),(0.9175821415819632-1.3101726597267003j),(-0.6722405003572539-2.403548791630427j)
"(0.5789473684210527, -6.714285714285714)","(0.5789473684210527, -6.714285714285714)",(-1.5537114902537938-4.900275632516831j),(-2.941896258860311-10.18783433365565j),(0.19722358843565657-0.05916861682772756j),(-1.9164618003367277-4.453823947067115j)
"(0.8421052631578947, -6.714285714285714)","(0.8421052631578947, -6.714285714285714)",(0.022925056636082054-3.5162681177243167j),(-0.3548260837524464-6.954774345244848j),(-1.5197840946950292-0.5039889844135084j),(1.9433853483557217-3.090041023514594j)
"(1.1052631578947367, -6.714285714285714)","(1.1052631578947367, -6.714285714285714)",(2.294922947026068-1.5635682567634182j),(-0.482511341045337-4.629417701791787j),(-0.07569811900252743-3.1319078887731j),(7.442978301126068+3.0706208202746317j)
"(1.3684210526315788, -6.714285714285714)","(1.3684210526315788, -6.714285714285714)",(1.1068938576834575-0.5135140040546068j),(0.04619997217742133-6.086967369197745j),(3.6119793261306605-0.40370310903132256j),(-0.33749772525770894+4.950128466065247j)
"(1.6315789473684208, -6.714285714285714)","(1.6315789473684208, -6.714285714285714)",(1.8841521221849835-0.813276480890905j),(6.088672413344948-5.797871688088421j),(0.25809544561485864+2.991004756978392j),(-0.6943114924048563+0.3670374884373133j)
"(1.8947368421052628, -6.714285714285714)","(1.8947368421052628, -6.714285714285714)",(2.6421385369507058+0.9875813271942395j),(8.761879829708395+3.8822444925690283j),(-2.3303958093260055+0.298687221713935j),(1.4949315904697282-1.2181877327002448j)
"(2.1578947368421053, -6.714285714285714)","(2.1578947368421053, -6.714285714285714)",(0.44181876996316805+2.6313285125245267j),(-2.494214587541313+8.94607562446729j),(0.3382354430115709-2.167046257932543j),(3.481435454419246+1.1149561710388336j)
"(2.4210526315789473, -6.714285714285714)","(2.4210526315789473, -6.714285714285714)",(-2.643712511515276+1.3121113352719505j),(-7.43984983816025-2.490180847037049j),(0.9202047401567884+1.0052079298209828j),(-1.411492436542367+5.421306923031918j)
"(2.6842105263157894, -6.714285714285714)","(2.6842105263157894, -6.714285714285714)",(-1.6580365979936538-1.5825636817200044j),(2.9500313964501883-5.093337300734952j),(-0.418504103747637+0.5223462583130877j),(-7.505637086683512-0.1767000027381498j)
"(2.9473684210526314, -6.714285714285714)","(2.9473684210526314, -6.714285714285714)",(-0.973711876929392-1.805524259860844j),(2.82299865920283+2.960327085399448j),(-0.19782197656681322-0.9931075146343513j),(-5.546312313424193-7.383792350347629j)
