index,"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(6, 0)","(7, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(6, 1)","(7, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(0, 6)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(0, 7)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)"
"(2, 1)",0.00031800888888888876,0.00397511111111111,0.010732799999999999,0.004134115555555555,0.00015900444444444446,0.0,0.0,0.0,0.0009614222222222219,0.012017777777777777,0.03244799999999999,0.01249848888888889,0.0004807111111111112,0.0,0.0,0.0,0.0006008888888888884,0.007511111111111107,0.020279999999999992,0.007811555555555553,0.0003004444444444444,0.0,0.0,0.0,2.4035555555555545e-05,0.0003004444444444443,0.0008111999999999999,0.0003124622222222222,1.2017777777777778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1)",0.0,0.00015900444444444446,0.004134115555555555,0.010732799999999999,0.0041341155555555545,0.0001590044444444444,0.0,0.0,0.0,0.0004807111111111112,0.01249848888888889,0.032448,0.01249848888888889,0.00048071111111111097,0.0,0.0,0.0,0.0003004444444444443,0.007811555555555553,0.020279999999999992,0.007811555555555554,0.0003004444444444442,0.0,0.0,0.0,1.2017777777777774e-05,0.0003124622222222222,0.0008111999999999999,0.0003124622222222222,1.2017777777777772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.00015900444444444446,0.0041341155555555545,0.010732799999999997,0.004134115555555555,0.00015900444444444435,0.0,0.0,0.0,0.0004807111111111112,0.01249848888888889,0.03244799999999999,0.012498488888888886,0.0004807111111111109,0.0,0.0,0.0,0.0003004444444444443,0.007811555555555554,0.020279999999999992,0.007811555555555553,0.00030044444444444416,0.0,0.0,0.0,1.2017777777777776e-05,0.0003124622222222222,0.0008111999999999999,0.00031246222222222224,1.2017777777777769e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(5, 1)",0.0,0.0,0.0,0.0001590044444444444,0.004134115555555555,0.010732799999999999,0.0039751111111111116,0.00031800888888888903,0.0,0.0,0.0,0.00048071111111111097,0.012498488888888886,0.032448000000000005,0.012017777777777778,0.0009614222222222227,0.0,0.0,0.0,0.0003004444444444442,0.0078115555555555525,0.020279999999999996,0.007511111111111109,0.0006008888888888891,0.0,0.0,0.0,1.2017777777777772e-05,0.00031246222222222224,0.0008112,0.0003004444444444444,2.4035555555555565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 1)",0.0,0.0,0.0,0.0,0.00015900444444444435,0.0039751111111111116,0.006360177777777778,0.0021037511111111117,0.0,0.0,0.0,0.0,0.0004807111111111109,0.012017777777777778,0.019228444444444444,0.00636017777777778,0.0,0.0,0.0,0.0,0.00030044444444444416,0.007511111111111109,0.012017777777777775,0.0039751111111111116,0.0,0.0,0.0,0.0,1.201777777777777e-05,0.0003004444444444444,0.000480711111111111,0.0001590044444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7, 1)",0.0,0.0,0.0,0.0,0.0,0.00031800888888888903,0.0021037511111111117,0.0021649066666666688,0.0,0.0,0.0,0.0,0.0,0.0009614222222222227,0.00636017777777778,0.0065450666666666745,0.0,0.0,0.0,0.0,0.0,0.0006008888888888891,0.0039751111111111116,0.00409066666666667,0.0,0.0,0.0,0.0,0.0,2.4035555555555565e-05,0.00015900444444444446,0.0001636266666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.00032725333333333316,0.0003180088888888888,4.8071111111111076e-05,0.0,0.0,0.0,0.0,0.0,0.004090666666666665,0.003975111111111109,0.0006008888888888884,0.0,0.0,0.0,0.0,0.0,0.011044799999999999,0.010732799999999999,0.001622399999999999,0.0,0.0,0.0,0.0,0.0,0.004254293333333333,0.004134115555555555,0.0006249244444444443,0.0,0.0,0.0,0.0,0.0,0.00016362666666666666,0.00015900444444444443,2.4035555555555548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",0.0003180088888888888,0.0009614222222222218,0.0006008888888888883,2.4035555555555548e-05,0.0,0.0,0.0,0.0,0.00397511111111111,0.012017777777777775,0.007511111111111107,0.0003004444444444443,0.0,0.0,0.0,0.0,0.010732799999999999,0.03244799999999999,0.020279999999999992,0.0008111999999999999,0.0,0.0,0.0,0.0,0.004134115555555555,0.012498488888888888,0.007811555555555553,0.0003124622222222222,0.0,0.0,0.0,0.0,0.00015900444444444443,0.0004807111111111111,0.0003004444444444443,1.2017777777777776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2)",4.807111111111106e-05,0.0006008888888888884,0.001622399999999999,0.0006249244444444441,2.4035555555555548e-05,0.0,0.0,0.0,0.0006008888888888884,0.007511111111111108,0.020279999999999992,0.007811555555555553,0.0003004444444444443,0.0,0.0,0.0,0.001622399999999999,0.020279999999999992,0.05475599999999998,0.021091199999999997,0.0008112,0.0,0.0,0.0,0.0006249244444444441,0.007811555555555553,0.021091199999999997,0.008124017777777777,0.0003124622222222222,0.0,0.0,0.0,2.4035555555555548e-05,0.0003004444444444443,0.0008111999999999999,0.0003124622222222222,1.2017777777777776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2)",0.0,2.4035555555555548e-05,0.0006249244444444443,0.001622399999999999,0.0006249244444444441,2.4035555555555538e-05,0.0,0.0,0.0,0.0003004444444444443,0.007811555555555553,0.020279999999999992,0.007811555555555554,0.0003004444444444442,0.0,0.0,0.0,0.0008111999999999999,0.021091199999999997,0.054755999999999985,0.021091199999999994,0.0008111999999999996,0.0,0.0,0.0,0.0003124622222222222,0.008124017777777777,0.021091199999999994,0.008124017777777777,0.0003124622222222221,0.0,0.0,0.0,1.2017777777777776e-05,0.0003124622222222222,0.0008111999999999999,0.00031246222222222224,1.2017777777777774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
