index,x,value
"(0.3305084745762712, -1.4491525423728813)","(0.3305084745762712, -1.4491525423728813)",(0.013983764644438734+3.981565552838604j)
"(0.3813559322033899, -1.4491525423728813)","(0.3813559322033899, -1.4491525423728813)",(2.914071591160018+3.8047413083084303j)
"(0.43220338983050866, -1.4491525423728813)","(0.43220338983050866, -1.4491525423728813)",(2.7884068243307683+8.222193409387028j)
"(0.48305084745762716, -1.4491525423728813)","(0.48305084745762716, -1.4491525423728813)",(-1.5745177069426584+4.923857794206264j)
"(0.5338983050847457, -1.4491525423728813)","(0.5338983050847457, -1.4491525423728813)",(-4.258098162361115+3.3589640940639756j)
"(0.5847457627118646, -1.4491525423728813)","(0.5847457627118646, -1.4491525423728813)",(-6.305966678328666+4.506685258017633j)
"(0.6355932203389831, -1.4491525423728813)","(0.6355932203389831, -1.4491525423728813)",(-8.280181946169648+1.1302574446431266j)
"(0.6864406779661016, -1.4491525423728813)","(0.6864406779661016, -1.4491525423728813)",(-9.157092520290655-4.389000583091588j)
"(0.7372881355932206, -1.4491525423728813)","(0.7372881355932206, -1.4491525423728813)",(-8.94922921791292-9.504252264536719j)
"(0.7881355932203391, -1.4491525423728813)","(0.7881355932203391, -1.4491525423728813)",(-4.9153102332225584-9.795731431143611j)
"(0.8389830508474576, -1.4491525423728813)","(0.8389830508474576, -1.4491525423728813)",(2.2279124198048974-11.566907407888243j)
"(0.8898305084745766, -1.4491525423728813)","(0.8898305084745766, -1.4491525423728813)",(8.45647697325025-6.96068604875793j)
"(0.9406779661016951, -1.4491525423728813)","(0.9406779661016951, -1.4491525423728813)",(11.051007626168019-1.127179668068779j)
"(0.9915254237288136, -1.4491525423728813)","(0.9915254237288136, -1.4491525423728813)",(10.294973100077224+3.499455991620387j)
"(1.0423728813559325, -1.4491525423728813)","(1.0423728813559325, -1.4491525423728813)",(3.0606915345662924+8.287019880028781j)
"(1.093220338983051, -1.4491525423728813)","(1.093220338983051, -1.4491525423728813)",(-2.5388950026781636+6.438154661831315j)
"(1.1440677966101696, -1.4491525423728813)","(1.1440677966101696, -1.4491525423728813)",(-1.6527300566224845+7.413564005468219j)
"(1.1949152542372885, -1.4491525423728813)","(1.1949152542372885, -1.4491525423728813)",(-7.094012448025752+4.479572584148736j)
