index,x,value
"(-0.07627118644067776, -1.4491525423728813)","(-0.07627118644067776, -1.4491525423728813)",(-0.009129264925701316-0.014344732432476538j)
"(-0.025423728813559254, -1.4491525423728813)","(-0.025423728813559254, -1.4491525423728813)",(-0.0023739873055793346-0.017814893347050907j)
"(0.025423728813559476, -1.4491525423728813)","(0.025423728813559476, -1.4491525423728813)",(0.006177855399109266-0.01840233443364898j)
"(0.07627118644067798, -1.4491525423728813)","(0.07627118644067798, -1.4491525423728813)",(0.014961584297906571-0.014828399059869202j)
"(0.12711864406779672, -1.4491525423728813)","(0.12711864406779672, -1.4491525423728813)",(0.021578780283252174-0.006727653465160074j)
"(0.17796610169491545, -1.4491525423728813)","(0.17796610169491545, -1.4491525423728813)",(0.023369476412907986+0.004732410175819739j)
"(0.22881355932203395, -1.4491525423728813)","(0.22881355932203395, -1.4491525423728813)",(0.01843937891259208+0.016642535811266797j)
"(0.2796610169491527, -1.4491525423728813)","(0.2796610169491527, -1.4491525423728813)",(0.006836217009436067+0.0248970419734241j)
"(0.3305084745762712, -1.4491525423728813)","(0.3305084745762712, -1.4491525423728813)",(-0.008698037839003737+0.0255849802222701j)
"(0.3813559322033899, -1.4491525423728813)","(0.3813559322033899, -1.4491525423728813)",(-0.023021081422945504+0.016861947940396433j)
"(0.43220338983050866, -1.4491525423728813)","(0.43220338983050866, -1.4491525423728813)",(-0.030224585777804333+0.0004729994719404446j)
"(0.48305084745762716, -1.4491525423728813)","(0.48305084745762716, -1.4491525423728813)",(-0.026226587247155587-0.018060109825790666j)
"(0.5338983050847457, -1.4491525423728813)","(0.5338983050847457, -1.4491525423728813)",(-0.011207991174737537-0.031168132774834118j)
"(0.5847457627118646, -1.4491525423728813)","(0.5847457627118646, -1.4491525423728813)",(0.009534493479542324-0.032517891517641014j)
"(0.6355932203389831, -1.4491525423728813)","(0.6355932203389831, -1.4491525423728813)",(0.02726101026395945-0.020429142563408807j)
"(0.6864406779661016, -1.4491525423728813)","(0.6864406779661016, -1.4491525423728813)",(0.033676653898274456+0.0004993545702936013j)
"(0.7372881355932206, -1.4491525423728813)","(0.7372881355932206, -1.4491525423728813)",(0.02529250206383165+0.020900120970184975j)
"(0.7881355932203391, -1.4491525423728813)","(0.7881355932203391, -1.4491525423728813)",(0.005813730090998594+0.03102861788541774j)
"(0.8389830508474576, -1.4491525423728813)","(0.8389830508474576, -1.4491525423728813)",(-0.015190986124329325+0.02595391773226798j)
"(0.8898305084745766, -1.4491525423728813)","(0.8898305084745766, -1.4491525423728813)",(-0.027103652926575093+0.008585840223599256j)
"(0.9406779661016951, -1.4491525423728813)","(0.9406779661016951, -1.4491525423728813)",(-0.024107892067245007-0.011552010590544502j)
"(0.9915254237288136, -1.4491525423728813)","(0.9915254237288136, -1.4491525423728813)",(-0.008636393904262081-0.023509673198334156j)
"(1.0423728813559325, -1.4491525423728813)","(1.0423728813559325, -1.4491525423728813)",(0.009910544015627003-0.021217267880221255j)
"(1.093220338983051, -1.4491525423728813)","(1.093220338983051, -1.4491525423728813)",(0.02070603179851501-0.007066670884442365j)
