index,x,value
"(-1.0677966101694913, -2.8983050847457625)","(-1.0677966101694913, -2.8983050847457625)",(0.012447978640000797+0.014676918688262113j)
"(-0.9661016949152543, -2.8983050847457625)","(-0.9661016949152543, -2.8983050847457625)",(0.013675078110870221+0.012705255298053416j)
"(-0.8644067796610169, -2.8983050847457625)","(-0.8644067796610169, -2.8983050847457625)",(0.014224320637083062+0.011166917364361378j)
"(-0.7627118644067794, -2.8983050847457625)","(-0.7627118644067794, -2.8983050847457625)",(0.014278623759199117+0.010180119682464411j)
"(-0.6610169491525424, -2.8983050847457625)","(-0.6610169491525424, -2.8983050847457625)",(0.013983799285548885+0.009782499297786736j)
"(-0.5593220338983049, -2.8983050847457625)","(-0.5593220338983049, -2.8983050847457625)",(0.013430358325478217+0.009952779127888715j)
"(-0.45762711864406747, -2.8983050847457625)","(-0.45762711864406747, -2.8983050847457625)",(0.012648359631225896+0.010627939746626293j)
"(-0.35593220338983045, -2.8983050847457625)","(-0.35593220338983045, -2.8983050847457625)",(0.011612476813540941+0.01171288686313139j)
"(-0.254237288135593, -2.8983050847457625)","(-0.254237288135593, -2.8983050847457625)",(0.010255138750551906+0.013082333348206862j)
"(-0.15254237288135553, -2.8983050847457625)","(-0.15254237288135553, -2.8983050847457625)",(0.008486648655401724+0.014576944008008701j)
"(-0.05084745762711851, -2.8983050847457625)","(-0.05084745762711851, -2.8983050847457625)",(0.0062218814772890055+0.01599774503908147j)
"(0.05084745762711895, -2.8983050847457625)","(0.05084745762711895, -2.8983050847457625)",(0.0034128975454160667+0.017104349081250053j)
"(0.15254237288135597, -2.8983050847457625)","(0.15254237288135597, -2.8983050847457625)",(8.522498555754167e-05+0.01762341722613306j)
"(0.25423728813559343, -2.8983050847457625)","(0.25423728813559343, -2.8983050847457625)",(-0.003627332833540495+0.017273383583677526j)
"(0.3559322033898309, -2.8983050847457625)","(0.3559322033898309, -2.8983050847457625)",(-0.0074581322997380696+0.015809026196092157j)
"(0.4576271186440679, -2.8983050847457625)","(0.4576271186440679, -2.8983050847457625)",(-0.011005190257560688+0.013084362325073496j)
"(0.5593220338983054, -2.8983050847457625)","(0.5593220338983054, -2.8983050847457625)",(-0.01376312803067503+0.009124670577335446j)
"(0.6610169491525424, -2.8983050847457625)","(0.6610169491525424, -2.8983050847457625)",(-0.015197884371671199+0.004189579078710799j)
"(0.7627118644067798, -2.8983050847457625)","(0.7627118644067798, -2.8983050847457625)",(-0.014862514576979007-0.001197938556681342j)
"(0.8644067796610173, -2.8983050847457625)","(0.8644067796610173, -2.8983050847457625)",(-0.012537038284507446-0.006283019783266298j)
"(0.9661016949152543, -2.8983050847457625)","(0.9661016949152543, -2.8983050847457625)",(-0.008358148035202845-0.010188513491109392j)
"(1.0677966101694913, -2.8983050847457625)","(1.0677966101694913, -2.8983050847457625)",(-0.002892164970452342-0.012100181440454286j)
"(1.1694915254237293, -2.8983050847457625)","(1.1694915254237293, -2.8983050847457625)",(0.002895138976792918-0.01149595874763672j)
"(1.2711864406779663, -2.8983050847457625)","(1.2711864406779663, -2.8983050847457625)",(0.007799210365835656-0.0083583442356436j)
"(1.3728813559322033, -2.8983050847457625)","(1.3728813559322033, -2.8983050847457625)",(0.010657098363014145-0.0032918756094940525j)
"(1.4745762711864412, -2.8983050847457625)","(1.4745762711864412, -2.8983050847457625)",(0.010687997081876344+0.0025244759492294975j)
"(1.5762711864406782, -2.8983050847457625)","(1.5762711864406782, -2.8983050847457625)",(0.007792019683103787+0.007580755371790229j)
"(1.6779661016949152, -2.8983050847457625)","(1.6779661016949152, -2.8983050847457625)",(0.0026902131951899366+0.010440665399189638j)
"(1.7796610169491531, -2.8983050847457625)","(1.7796610169491531, -2.8983050847457625)",(-0.003182908212687748+0.010200931347135707j)
"(1.8813559322033901, -2.8983050847457625)","(1.8813559322033901, -2.8983050847457625)",(-0.008049877496199181+0.006850077982765309j)
"(1.9830508474576272, -2.8983050847457625)","(1.9830508474576272, -2.8983050847457625)",(-0.010340022548528548+0.0013736992896149801j)
"(2.084745762711865, -2.8983050847457625)","(2.084745762711865, -2.8983050847457625)",(-0.009245392419341272-0.004479944361505351j)
"(2.186440677966102, -2.8983050847457625)","(2.186440677966102, -2.8983050847457625)",(-0.0050725549388156085-0.008741907163959294j)
"(2.288135593220339, -2.8983050847457625)","(2.288135593220339, -2.8983050847457625)",(0.0007765345068348928-0.009910171023116868j)
"(2.389830508474577, -2.8983050847457625)","(2.389830508474577, -2.8983050847457625)",(0.006238625429753675-0.007534376192062296j)
"(2.491525423728814, -2.8983050847457625)","(2.491525423728814, -2.8983050847457625)",(0.009318595529376894-0.002453064955833875j)
"(2.593220338983051, -2.8983050847457625)","(2.593220338983051, -2.8983050847457625)",(0.008855210815419928+0.003451540288953619j)
"(2.694915254237289, -2.8983050847457625)","(2.694915254237289, -2.8983050847457625)",(0.005015663722498894+0.007931548510569538j)
"(2.796610169491526, -2.8983050847457625)","(2.796610169491526, -2.8983050847457625)",(-0.0007101291273039162+0.009245730589774171j)
"(2.898305084745763, -2.8983050847457625)","(2.898305084745763, -2.8983050847457625)",(-0.0060555255839544846+0.0068792655971419755j)
"(3.0, -2.8983050847457625)","(3.0, -2.8983050847457625)",(-0.008874722170161137+0.0017959427382104503j)
"(-3.0, -2.7966101694915255)","(-3.0, -2.7966101694915255)",(0.0123677696692312+0.01508511900011025j)
"(-2.8983050847457625, -2.7966101694915255)","(-2.8983050847457625, -2.7966101694915255)",(0.01850640936564251+0.0070784881111345494j)
"(-2.7966101694915255, -2.7966101694915255)","(-2.7966101694915255, -2.7966101694915255)",(0.0199160800168178-0.002850228218963721j)
"(-2.694915254237288, -2.7966101694915255)","(-2.694915254237288, -2.7966101694915255)",(0.016406274230093325-0.01215615994531685j)
"(-2.593220338983051, -2.7966101694915255)","(-2.593220338983051, -2.7966101694915255)",(0.009012380082780947-0.018646660678504946j)
"(-2.4915254237288136, -2.7966101694915255)","(-2.4915254237288136, -2.7966101694915255)",(-0.0004047499250712819-0.020984721434509003j)
"(-2.389830508474576, -2.7966101694915255)","(-2.389830508474576, -2.7966101694915255)",(-0.009709936359271518-0.018900235321123376j)
"(-2.288135593220339, -2.7966101694915255)","(-2.288135593220339, -2.7966101694915255)",(-0.017025173805639653-0.013104209126725101j)
"(-2.1864406779661016, -2.7966101694915255)","(-2.1864406779661016, -2.7966101694915255)",(-0.021109297880411736-0.004982133142609865j)
"(-2.084745762711864, -2.7966101694915255)","(-2.084745762711864, -2.7966101694915255)",(-0.02152053282276528+0.0038143756361120463j)
"(-1.9830508474576272, -2.7966101694915255)","(-1.9830508474576272, -2.7966101694915255)",(-0.018566708871007993+0.011757571683469489j)
"(-1.8813559322033897, -2.7966101694915255)","(-1.8813559322033897, -2.7966101694915255)",(-0.013100694142527172+0.017726599057658943j)
"(-1.7796610169491525, -2.7966101694915255)","(-1.7796610169491525, -2.7966101694915255)",(-0.0062435834825166885+0.021142220142566746j)
"(-1.6779661016949152, -2.7966101694915255)","(-1.6779661016949152, -2.7966101694915255)",(0.0008844166231352518+0.021958189769498385j)
"(-1.5762711864406778, -2.7966101694915255)","(-1.5762711864406778, -2.7966101694915255)",(0.007367755795485268+0.020547211730261875j)
"(-1.4745762711864405, -2.7966101694915255)","(-1.4745762711864405, -2.7966101694915255)",(0.012607019233479356+0.01753400389426176j)
"(-1.3728813559322033, -2.7966101694915255)","(-1.3728813559322033, -2.7966101694915255)",(0.016339888784568355+0.013625534736080573j)
"(-1.271186440677966, -2.7966101694915255)","(-1.271186440677966, -2.7966101694915255)",(0.018593218844799576+0.009474592861377654j)
"(-1.1694915254237288, -2.7966101694915255)","(-1.1694915254237288, -2.7966101694915255)",(0.01959647581812532+0.005594521075039118j)
"(-1.0677966101694913, -2.7966101694915255)","(-1.0677966101694913, -2.7966101694915255)",(0.01968551110002556+0.0023261905220908646j)
"(-0.9661016949152543, -2.7966101694915255)","(-0.9661016949152543, -2.7966101694915255)",(0.019218004137914073-0.00015325185128268353j)
"(-0.8644067796610169, -2.7966101694915255)","(-0.8644067796610169, -2.7966101694915255)",(0.018511956609062047-0.001795615738662478j)
"(-0.7627118644067794, -2.7966101694915255)","(-0.7627118644067794, -2.7966101694915255)",(0.01780959830428359-0.0026366238910085463j)
"(-0.6610169491525424, -2.7966101694915255)","(-0.6610169491525424, -2.7966101694915255)",(0.017262856445045424-0.0027530222470606293j)
"(-0.5593220338983049, -2.7966101694915255)","(-0.5593220338983049, -2.7966101694915255)",(0.016933647375386166-0.002229742607564049j)
"(-0.45762711864406747, -2.7966101694915255)","(-0.45762711864406747, -2.7966101694915255)",(0.016802200643852207-0.0011408239798419504j)
"(-0.35593220338983045, -2.7966101694915255)","(-0.35593220338983045, -2.7966101694915255)",(0.01677848111950253+0.0004552911375531769j)
"(-0.254237288135593, -2.7966101694915255)","(-0.254237288135593, -2.7966101694915255)",(0.016714538532446904+0.0025074250711883362j)
"(-0.15254237288135553, -2.7966101694915255)","(-0.15254237288135553, -2.7966101694915255)",(0.01641843920889016+0.004952915491581598j)
"(-0.05084745762711851, -2.7966101694915255)","(-0.05084745762711851, -2.7966101694915255)",(0.01567263920873333+0.007692289673628534j)
"(0.05084745762711895, -2.7966101694915255)","(0.05084745762711895, -2.7966101694915255)",(0.014260636459178059+0.010562843458290214j)
"(0.15254237288135597, -2.7966101694915255)","(0.15254237288135597, -2.7966101694915255)",(0.01200490875614018+0.013318693849814612j)
"(0.25423728813559343, -2.7966101694915255)","(0.25423728813559343, -2.7966101694915255)",(0.008816039813099828+0.015626808200018733j)
"(0.3559322033898309, -2.7966101694915255)","(0.3559322033898309, -2.7966101694915255)",(0.004747513096961811+0.01708902449917669j)
"(0.4576271186440679, -2.7966101694915255)","(0.4576271186440679, -2.7966101694915255)",(4.373513227838425e-05+0.017297494173044832j)
"(0.5593220338983054, -2.7966101694915255)","(0.5593220338983054, -2.7966101694915255)",(-0.0048375071627472805+0.015923877772451356j)
"(0.6610169491525424, -2.7966101694915255)","(0.6610169491525424, -2.7966101694915255)",(-0.009249505030131071+0.012830825867490007j)
"(0.7627118644067798, -2.7966101694915255)","(0.7627118644067798, -2.7966101694915255)",(-0.012444475279777744+0.008179872627786107j)
"(0.8644067796610173, -2.7966101694915255)","(0.8644067796610173, -2.7966101694915255)",(-0.013726579527875158+0.0024976854406030193j)
"(0.9661016949152543, -2.7966101694915255)","(0.9661016949152543, -2.7966101694915255)",(-0.012648335229277443-0.0033405523557464337j)
"(1.0677966101694913, -2.7966101694915255)","(1.0677966101694913, -2.7966101694915255)",(-0.009202021726853499-0.008239603132831497j)
"(1.1694915254237293, -2.7966101694915255)","(1.1694915254237293, -2.7966101694915255)",(-0.003938497237342752-0.011123395457941457j)
"(1.2711864406779663, -2.7966101694915255)","(1.2711864406779663, -2.7966101694915255)",(0.0020536796636002183-0.011241029959464187j)
"(1.3728813559322033, -2.7966101694915255)","(1.3728813559322033, -2.7966101694915255)",(0.007347208655301102-0.008453445148334288j)
"(1.4745762711864412, -2.7966101694915255)","(1.4745762711864412, -2.7966101694915255)",(0.010535679960144782-0.003392438547620497j)
