index,x,value
"(4.494949494949495, -2.0)","(4.494949494949495, -2.0)",(122.40103025226091-52.389157449649176j)
"(4.595959595959595, -2.0)","(4.595959595959595, -2.0)",(141.45777591851964+73.72639250786051j)
"(4.696969696969697, -2.0)","(4.696969696969697, -2.0)",(9.990985123295594+107.62298804403265j)
"(4.797979797979798, -2.0)","(4.797979797979798, -2.0)",(-80.0043748410849+120.50720437422295j)
"(4.8989898989899, -2.0)","(4.8989898989899, -2.0)",(-130.96417315140783-13.920797164527688j)
"(5.0, -2.0)","(5.0, -2.0)",(-85.00077969876264-96.36989744523596j)
"(-5.0, -1.7894736842105263)","(-5.0, -1.7894736842105263)",(-123.39841969180071-136.9884921819612j)
"(-4.898989898989899, -1.7894736842105263)","(-4.898989898989899, -1.7894736842105263)",(-177.23338093655647+43.99170464761127j)
"(-4.797979797979798, -1.7894736842105263)","(-4.797979797979798, -1.7894736842105263)",(-92.87093335807042+156.99319163327698j)
"(-4.696969696969697, -1.7894736842105263)","(-4.696969696969697, -1.7894736842105263)",(107.39649043545718+166.38187379162437j)
"(-4.595959595959596, -1.7894736842105263)","(-4.595959595959596, -1.7894736842105263)",(205.47438391659406+39.30277301497791j)
"(-4.494949494949495, -1.7894736842105263)","(-4.494949494949495, -1.7894736842105263)",(153.63066090276726-121.58215511605104j)
"(-4.393939393939394, -1.7894736842105263)","(-4.393939393939394, -1.7894736842105263)",(-17.945301025123502-222.4106233717477j)
"(-4.292929292929293, -1.7894736842105263)","(-4.292929292929293, -1.7894736842105263)",(-204.0647187436237-96.4236859259243j)
"(-4.191919191919192, -1.7894736842105263)","(-4.191919191919192, -1.7894736842105263)",(-202.0177441815499+106.62300143131903j)
"(-4.090909090909091, -1.7894736842105263)","(-4.090909090909091, -1.7894736842105263)",(-21.46776385846546+208.10309953406008j)
"(-3.9898989898989896, -1.7894736842105263)","(-3.9898989898989896, -1.7894736842105263)",(120.80388974287604+153.87673280621337j)
"(-3.888888888888889, -1.7894736842105263)","(-3.888888888888889, -1.7894736842105263)",(222.84572268378895-0.4292001250714561j)
"(-3.787878787878788, -1.7894736842105263)","(-3.787878787878788, -1.7894736842105263)",(108.76864160182167-153.81321197871665j)
"(-3.686868686868687, -1.7894736842105263)","(-3.686868686868687, -1.7894736842105263)",(-63.610424043943844-219.42516938103245j)
"(-3.5858585858585856, -1.7894736842105263)","(-3.5858585858585856, -1.7894736842105263)",(-205.38501342635914-65.86820197236108j)
"(-3.484848484848485, -1.7894736842105263)","(-3.484848484848485, -1.7894736842105263)",(-195.0010620261382+115.83313099305288j)
"(-3.383838383838384, -1.7894736842105263)","(-3.383838383838384, -1.7894736842105263)",(-22.6033569459307+198.7197863114178j)
"(-3.282828282828283, -1.7894736842105263)","(-3.282828282828283, -1.7894736842105263)",(117.8220522245253+81.56964324502755j)
"(-3.1818181818181817, -1.7894736842105263)","(-3.1818181818181817, -1.7894736842105263)",(149.58429537903547-21.207961235441772j)
"(-3.080808080808081, -1.7894736842105263)","(-3.080808080808081, -1.7894736842105263)",(50.073486711006026-75.48728242623228j)
"(-2.9797979797979797, -1.7894736842105263)","(-2.9797979797979797, -1.7894736842105263)",(-10.141912535195184-70.4325188791061j)
"(-2.878787878787879, -1.7894736842105263)","(-2.878787878787879, -1.7894736842105263)",(-79.51941207014457-34.607605266748564j)
"(-2.7777777777777777, -1.7894736842105263)","(-2.7777777777777777, -1.7894736842105263)",(-54.093034302165606+38.951592521720194j)
"(-2.676767676767677, -1.7894736842105263)","(-2.676767676767677, -1.7894736842105263)",(21.18427374533359+50.48166686266856j)
"(-2.5757575757575757, -1.7894736842105263)","(-2.5757575757575757, -1.7894736842105263)",(85.78192497973347-72.54735820293112j)
"(-2.474747474747475, -1.7894736842105263)","(-2.474747474747475, -1.7894736842105263)",(-54.68125598720652-75.35830637610967j)
"(-2.3737373737373737, -1.7894736842105263)","(-2.3737373737373737, -1.7894736842105263)",(-110.83580635158486-5.993786623061698j)
"(-2.272727272727273, -1.7894736842105263)","(-2.272727272727273, -1.7894736842105263)",(-124.48111559401143+92.73139495399757j)
