index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(-1.4615384615384615, -3.0)",(-0.00023653547025263757-0.009838035191995827j),(0.009240102395950207+0.0018462578716773937j),(0.0024023131013909877+0.010268582365932031j),(-0.0018782370368151389+0.010836881487639526j),(0.002041129161069132+0.010386217707465674j),(0.009149321114972476+0.0024978712739015287j),(0.000437174696847725-0.008138940534248509j),(-0.005410800843078862+0.004613497876256106j),(0.006669306133770279-0.0016110418409645297j),(-0.007753721560062998-0.0017244290870965441j),(0.004617367135154233+0.009742646616650275j),(0.013943943683522114-0.002270969610890574j),(0.013970598204710841-0.0027209683781827193j),(0.005511784013607869+0.009461576616853087j),(-0.007996011345672373-0.0008029569391800314j),(0.006422539859874809-0.002459803574613532j),(-0.004799112106138125+0.00520178710679208j)
"(-1.3076923076923075, -3.0)",(-0.006602701269118773-0.007243608320609101j),(0.008408517666428868-0.004107903972788103j),(0.00759073031376683+0.0072973335460510365j),(0.003469393693314162+0.010515916099002643j),(0.006035932509951319+0.008905184854495932j),(0.009707386893737954-0.00047076861172777975j),(-0.0015294624057940725-0.008243551702593995j),(-0.004620945513359247+0.005623224470962945j),(0.0063967397013854526-0.0025928729745166527j),(-0.007788957026705353-0.00037692380888128886j),(0.006742431723360919+0.008015049505004021j),(0.011908493269718075-0.007385894728198022j),(0.010836537895239234-0.009855041611412351j),(0.010705173389726638+0.004149561615433155j),(-0.0066386816682454325+0.0050627012360374216j),(0.002909579922245019-0.00636266571523741j),(9.919464691307721e-05+0.00707999365257706j)
"(-1.1538461538461537, -3.0)",(-0.00965061481736685-0.0014196022785128125j),(0.004410867833102594-0.008164643550987765j),(0.010235224343285068+0.0023193214091771146j),(0.0077811868551749515+0.00795759426868402j),(0.008941881869037195+0.006263440599304754j),(0.009434664321976939-0.003155151008286685j),(-0.0031671989262928653-0.008018752090849447j),(-0.003960051672970153+0.006317868856575084j),(0.006177081125324661-0.0032018996866209045j),(-0.007651041323991781+0.00045724787724969995j),(0.007872997906838467+0.006401408832905282j),(0.008788960609158488-0.010658321715127365j),(0.005115393991085114-0.014111775489377835j),(0.011656873249819694-0.003026324646133903j),(-0.0017875159345349292+0.008510896511579435j),(-0.0022065989808885433-0.00678084664195043j),(0.004795298555845551+0.005216552364319279j)
"(-1.0, -3.0)",(-0.008476728269552949+0.004717189985001993j),(-0.0008545816683981556-0.009147653198476328j),(0.010016897109657712-0.0029439444410486243j),(0.01037956553510693+0.004114361176306091j),(0.01061150155068891+0.0031181324930859467j),(0.008642288661857794-0.005360418354916614j),(-0.004430039970023229-0.007673377278909995j),(-0.0035400661121198084+0.00677423334738064j),(0.006112946102650599-0.0034660512405077573j),(-0.007505012667647194+0.0007861630665133905j),(0.00828922884824432+0.005245907970086317j),(0.005704997964879998-0.012272685759677392j),(-0.001093192312004161-0.015261472831078402j),(0.008589323481995084-0.009257349860299793j),(0.004043817142384242+0.008132622772796774j),(-0.006214363267875589-0.003799210104260112j),(0.007033480989667668+0.0009239178035135937j)
"(-0.8461538461538458, -3.0)",(-0.004134534554491007+0.008709724377379654j),(-0.005474352188913428-0.007245581341592695j),(0.007523647965877215-0.007131269683134306j),(0.011178361240459891-4.5117906772524656e-05j),(0.011183840609911193+7.336515720694239e-06j),(0.007631562349488388-0.007036189680608461j),(-0.005323018583969026-0.007378241993668363j),(-0.0034322145974097916+0.00704631228466328j),(0.006248032121608244-0.0033943362711578292j),(-0.0074174794623731045+0.0006345919499741203j),(0.008230276533170306+0.004686578396981847j),(0.0033337003023727906-0.012748026596447463j),(-0.006320172600960502-0.014150580061806603j),(0.0031384912959816014-0.012846479012729636j),(0.0083920932864822+0.0044710683143651415j),(-0.007405295130162877+0.0008850637639308629j),(0.006128865763361922-0.003598050479241007j)
"(-0.6923076923076921, -3.0)",(0.0013368295795131548+0.009482882502079902j),(-0.008231131299562072-0.0035432560867821213j),(0.003781481407288487-0.009550244100599306j),(0.010505015005279193-0.003790054329959153j),(0.010953652304323954-0.002718539564275051j),(0.0066500399385025135-0.008224572379449326j),(-0.0058665093101632464-0.007256834238257032j),(-0.0036773503203955+0.007146578871470083j),(0.006568471983165255-0.0029646687721686586j),(-0.0073616777341958045+2.1210804196287425e-05j),(0.00782238954095658+0.004727231072463403j),(0.0019583344954686326-0.012603055954267273j),(-0.009960151827322874-0.011985904510745103j),(-0.0027836670852584423-0.013530886642555043j),(0.009946955397646211-0.0007639793501874018j),(-0.005639647075896156+0.005179126465747063j),(0.002885858197312711-0.006516476501178665j)
"(-0.5384615384615383, -3.0)",(0.006010285382566828+0.007367896855015073j),(-0.008806124087851707+0.0006358628258947148j),(-0.0001911339140003455-0.01015483881001881j),(0.008876269914230548-0.006718594498672437j),(0.010257622527017033-0.004891661717315251j),(0.005878258141802181-0.009007947369628748j),(-0.006068722278638876-0.007384272164430389j),(-0.004287642338273739+0.007035764933504881j),(0.006997147430511706-0.0021286016749264337j),(-0.0072244628357742-0.0010340971772596524j),(0.007067454238201257+0.005282807403274187j),(0.001616081327599551-0.012174954975757225j),(-0.012057015249387048-0.009815015048341029j),(-0.007810404026606178-0.01206984045721338j),(0.008746126560884781-0.005779651462970417j),(-0.0019662366538135004+0.0076346394478304875j),(-0.0011719025481492906-0.007059366619931235j)
"(-0.3846153846153846, -3.0)",(0.008751011375048145+0.0035351388038483466j),(-0.0075804307964659695+0.004239481001149469j),(-0.0036587630857334106-0.009330029831862242j),(0.006814241041452734-0.008725797226042315j),(0.009399394220572262-0.006480674378076072j),(0.0054347752652057334-0.00946702255014367j),(-0.0059087315893714435-0.007786467827984345j),(-0.005236104238548868+0.006621204135503814j),(0.0073832343006504176-0.0008348131555911712j),(-0.006817635824924366-0.002476485536869783j),(0.005871543555425704+0.00618576849703465j),(0.0022223730958350527-0.011565018254652604j),(-0.012940029938312335-0.008314800521244708j),(-0.01137695369677451-0.009599161468695251j),(0.005702879441952761-0.009435729893057413j),(0.002182231481464852+0.007843404842686957j),(-0.0046413115891686405-0.005500100123263909j)
"(-0.23076923076923084, -3.0)",(0.009341624351965368-0.0006972439631072022j),(-0.00526974400483057+0.006710068921690383j),(-0.006252082727377764-0.0076347680510683216j),(0.004738486260785354-0.009910166169516059j),(0.008613759330977007-0.007532467937368026j),(0.005387381789970969-0.009652050251976926j),(-0.0053313724359542805-0.008434356468766311j),(-0.00643412366847848+0.0057675422044223025j),(0.007496845955050533+0.0009265007361968003j),(-0.005906780818108014-0.004163825070349555j),(0.004106863325529731+0.007165796475330997j),(0.0036188082188697854-0.01065947153291157j),(-0.012920863097465263-0.007797338745375222j),(-0.013547514333985869-0.0071409280515852035j),(0.0019558024993918265-0.011427348773238517j),(0.005672040329701662+0.006238860676175258j),(-0.006729388783271955-0.002702583241554175j)
"(-0.07692307692307665, -3.0)",(0.008221465516598955-0.004345103679832823j),(-0.0025954782680287516+0.007958298595217893j),(-0.007914145053225574-0.0056031868886601095j),(0.002930059510026496-0.010470896641999296j),(0.008059021895961978-0.008120177862179305j),(0.005761312800553603-0.00956629007647338j),(-0.004256175324862271-0.0092319880564314j),(-0.00770248215715677+0.004326841266119655j),(0.007045983570338566+0.0030609154075793904j),(-0.004275385163046747-0.00581372741140868j),(0.001708697539154042+0.007833452308882969j),(0.005545815262082135-0.009197053524386241j),(-0.012129624786776157-0.008287834205971853j),(-0.014676974993678846-0.0053955595349989656j),(-0.0015905533772131214-0.012070663418508458j),(0.007967009606937015+0.003632995032861709j),(-0.007313106500521109+0.0003968410004069755j)
