index,x,value
"(1.6153846153846159, -2.8461538461538463)","(1.6153846153846159, -2.8461538461538463)",(0.15733121034608252-0.27353205399512664j)
"(1.7692307692307692, -2.8461538461538463)","(1.7692307692307692, -2.8461538461538463)",(0.2959172779848323-0.075980638084563j)
"(1.9230769230769234, -2.8461538461538463)","(1.9230769230769234, -2.8461538461538463)",(0.2458640698619774+0.16214616071743257j)
"(2.0769230769230775, -2.8461538461538463)","(2.0769230769230775, -2.8461538461538463)",(0.03369646805620444+0.2816686680272517j)
"(2.230769230769231, -2.8461538461538463)","(2.230769230769231, -2.8461538461538463)",(-0.19266510697507616+0.19461902989162763j)
"(2.384615384615385, -2.8461538461538463)","(2.384615384615385, -2.8461538461538463)",(-0.2631148331564393-0.035817702273442005j)
"(2.5384615384615383, -2.8461538461538463)","(2.5384615384615383, -2.8461538461538463)",(-0.12136456275519415-0.22865094392737897j)
"(2.6923076923076925, -2.8461538461538463)","(2.6923076923076925, -2.8461538461538463)",(0.11651857885712137-0.22532798340251264j)
"(2.8461538461538467, -2.8461538461538463)","(2.8461538461538467, -2.8461538461538463)",(0.24804113222669621-0.028389028262292275j)
"(3.0, -2.8461538461538463)","(3.0, -2.8461538461538463)",(0.15749862423622607+0.18960654928323j)
"(-3.0, -2.6923076923076925)","(-3.0, -2.6923076923076925)",(0.23394921621733675-0.07971130368125424j)
"(-2.8461538461538463, -2.6923076923076925)","(-2.8461538461538463, -2.6923076923076925)",(0.10483700346615513-0.22949609623527623j)
"(-2.6923076923076925, -2.6923076923076925)","(-2.6923076923076925, -2.6923076923076925)",(-0.09033078767976983-0.24152150165186612j)
"(-2.5384615384615383, -2.6923076923076925)","(-2.5384615384615383, -2.6923076923076925)",(-0.23686707338557686-0.11632907327114211j)
"(-2.3846153846153846, -2.6923076923076925)","(-2.3846153846153846, -2.6923076923076925)",(-0.26088841568135046+0.07140835464643701j)
"(-2.230769230769231, -2.6923076923076925)","(-2.230769230769231, -2.6923076923076925)",(-0.16034218967071817+0.2267743871818529j)
"(-2.0769230769230766, -2.6923076923076925)","(-2.0769230769230766, -2.6923076923076925)",(0.009805815239987786+0.28555817927365584j)
"(-1.923076923076923, -2.6923076923076925)","(-1.923076923076923, -2.6923076923076925)",(0.176523967864798+0.2357623799038723j)
"(-1.7692307692307692, -2.6923076923076925)","(-1.7692307692307692, -2.6923076923076925)",(0.28418798845378423+0.10833859785048763j)
"(-1.6153846153846154, -2.6923076923076925)","(-1.6153846153846154, -2.6923076923076925)",(0.3108616383702161-0.04763105505982705j)
"(-1.4615384615384615, -2.6923076923076925)","(-1.4615384615384615, -2.6923076923076925)",(0.2653059846364219-0.18835516648636608j)
"(-1.3076923076923075, -2.6923076923076925)","(-1.3076923076923075, -2.6923076923076925)",(0.17366518497282452-0.2881028734623215j)
"(-1.1538461538461537, -2.6923076923076925)","(-1.1538461538461537, -2.6923076923076925)",(0.06540005978959831-0.3407819064515456j)
"(-1.0, -2.6923076923076925)","(-1.0, -2.6923076923076925)",(-0.03599125641578088-0.3546023974198294j)
"(-0.8461538461538458, -2.6923076923076925)","(-0.8461538461538458, -2.6923076923076925)",(-0.11632292473862188-0.34469043989979137j)
"(-0.6923076923076921, -2.6923076923076925)","(-0.6923076923076921, -2.6923076923076925)",(-0.1696181418072656-0.32682631440848053j)
"(-0.5384615384615383, -2.6923076923076925)","(-0.5384615384615383, -2.6923076923076925)",(-0.19480031892230215-0.31342819586605203j)
"(-0.3846153846153846, -2.6923076923076925)","(-0.3846153846153846, -2.6923076923076925)",(-0.19215497900122325-0.311455602465538j)
"(-0.23076923076923084, -2.6923076923076925)","(-0.23076923076923084, -2.6923076923076925)",(-0.160997394260936-0.32130941753942877j)
"(-0.07692307692307665, -2.6923076923076925)","(-0.07692307692307665, -2.6923076923076925)",(-0.0995555679439456-0.3360195107823587j)
"(0.0769230769230771, -2.6923076923076925)","(0.0769230769230771, -2.6923076923076925)",(-0.00770346509841708-0.34092605181804303j)
"(0.23076923076923084, -2.6923076923076925)","(0.23076923076923084, -2.6923076923076925)",(0.10761771868522224-0.3153631125776814j)
"(0.384615384615385, -2.6923076923076925)","(0.384615384615385, -2.6923076923076925)",(0.22623955821493924-0.23870142753686938j)
"(0.5384615384615388, -2.6923076923076925)","(0.5384615384615388, -2.6923076923076925)",(0.3124446422253418-0.10203553370894676j)
"(0.6923076923076925, -2.6923076923076925)","(0.6923076923076925, -2.6923076923076925)",(0.32266311396301944+0.0774339338283763j)
"(0.8461538461538463, -2.6923076923076925)","(0.8461538461538463, -2.6923076923076925)",(0.22648892601696363+0.24862184604226678j)
"(1.0, -2.6923076923076925)","(1.0, -2.6923076923076925)",(0.0347189808824772+0.3380227781654893j)
"(1.1538461538461542, -2.6923076923076925)","(1.1538461538461542, -2.6923076923076925)",(-0.18440979206533684+0.28606092889160895j)
"(1.3076923076923084, -2.6923076923076925)","(1.3076923076923084, -2.6923076923076925)",(-0.32343867523381553+0.0945496990916064j)
"(1.4615384615384617, -2.6923076923076925)","(1.4615384615384617, -2.6923076923076925)",(-0.29410395044798976-0.1490651010065996j)
"(1.6153846153846159, -2.6923076923076925)","(1.6153846153846159, -2.6923076923076925)",(-0.09686044353951576-0.30443765400357564j)
"(1.7692307692307692, -2.6923076923076925)","(1.7692307692307692, -2.6923076923076925)",(0.15417871844336936-0.2661513838562107j)
"(1.9230769230769234, -2.6923076923076925)","(1.9230769230769234, -2.6923076923076925)",(0.29094541696105464-0.05156987078687533j)
"(2.0769230769230775, -2.6923076923076925)","(2.0769230769230775, -2.6923076923076925)",(0.21218952785546047+0.18927914847314975j)
"(2.230769230769231, -2.6923076923076925)","(2.230769230769231, -2.6923076923076925)",(-0.02472311948784609+0.2737843421686926j)
"(2.384615384615385, -2.6923076923076925)","(2.384615384615385, -2.6923076923076925)",(-0.2313874567275487+0.13399620160536016j)
"(2.5384615384615383, -2.6923076923076925)","(2.5384615384615383, -2.6923076923076925)",(-0.23567224212348165-0.11367669304627412j)
"(2.6923076923076925, -2.6923076923076925)","(2.6923076923076925, -2.6923076923076925)",(-0.03397496164399222-0.25508431116982927j)
"(2.8461538461538467, -2.6923076923076925)","(2.8461538461538467, -2.6923076923076925)",(0.19387575949997649-0.16409255601525957j)
"(3.0, -2.6923076923076925)","(3.0, -2.6923076923076925)",(0.23938867108299505+0.07629159840361147j)
"(-3.0, -2.5384615384615383)","(-3.0, -2.5384615384615383)",(0.10879267684649475-0.22522507659167598j)
"(-2.8461538461538463, -2.5384615384615383)","(-2.8461538461538463, -2.5384615384615383)",(-0.09726651927992737-0.23612128607778538j)
"(-2.6923076923076925, -2.5384615384615383)","(-2.6923076923076925, -2.5384615384615383)",(-0.24370240211018537-0.09342860452325667j)
"(-2.5384615384615383, -2.5384615384615383)","(-2.5384615384615383, -2.5384615384615383)",(-0.2440449607358816+0.10851104252725335j)
"(-2.3846153846153846, -2.5384615384615383)","(-2.3846153846153846, -2.5384615384615383)",(-0.1066689509867459+0.2520748942595632j)
"(-2.230769230769231, -2.5384615384615383)","(-2.230769230769231, -2.5384615384615383)",(0.08741656309114183+0.26706383181602655j)
"(-2.0769230769230766, -2.5384615384615383)","(-2.0769230769230766, -2.5384615384615383)",(0.24235212995777486+0.15756950818893087j)
"(-1.923076923076923, -2.5384615384615383)","(-1.923076923076923, -2.5384615384615383)",(0.2974930712996776-0.01770895381749842j)
"(-1.7692307692307692, -2.5384615384615383)","(-1.7692307692307692, -2.5384615384615383)",(0.24513953765304192-0.18633863471704065j)
"(-1.6153846153846154, -2.5384615384615383)","(-1.6153846153846154, -2.5384615384615383)",(0.11803403815233773-0.2961125647348107j)
"(-1.4615384615384615, -2.5384615384615383)","(-1.4615384615384615, -2.5384615384615383)",(-0.03615646728119912-0.3284446077413815j)
"(-1.3076923076923075, -2.5384615384615383)","(-1.3076923076923075, -2.5384615384615383)",(-0.1767807834870247-0.29342504944314984j)
"(-1.1538461538461537, -2.5384615384615383)","(-1.1538461538461537, -2.5384615384615383)",(-0.28092144370127703-0.21638715728924754j)
"(-1.0, -2.5384615384615383)","(-1.0, -2.5384615384615383)",(-0.34366465933486384-0.12502004729003552j)
"(-0.8461538461538458, -2.5384615384615383)","(-0.8461538461538458, -2.5384615384615383)",(-0.37250720476978844-0.041516393470963184j)
"(-0.6923076923076921, -2.5384615384615383)","(-0.6923076923076921, -2.5384615384615383)",(-0.38030076098058946+0.019861062862346963j)
"(-0.5384615384615383, -2.5384615384615383)","(-0.5384615384615383, -2.5384615384615383)",(-0.37926557293759733+0.05154852350608006j)
"(-0.3846153846153846, -2.5384615384615383)","(-0.3846153846153846, -2.5384615384615383)",(-0.3768185422429029+0.050084573776950386j)
"(-0.23076923076923084, -2.5384615384615383)","(-0.23076923076923084, -2.5384615384615383)",(-0.3730102676399267+0.014232166092743075j)
"(-0.07692307692307665, -2.5384615384615383)","(-0.07692307692307665, -2.5384615384615383)",(-0.359412929421476-0.0546073951363031j)
"(0.0769230769230771, -2.5384615384615383)","(0.0769230769230771, -2.5384615384615383)",(-0.32019115591877517-0.1490232659334723j)
"(0.23076923076923084, -2.5384615384615383)","(0.23076923076923084, -2.5384615384615383)",(-0.23715505855389166-0.25037441440409464j)
"(0.384615384615385, -2.5384615384615383)","(0.384615384615385, -2.5384615384615383)",(-0.10037290113330913-0.3256091635951552j)
"(0.5384615384615388, -2.5384615384615383)","(0.5384615384615388, -2.5384615384615383)",(0.07736135416594349-0.3324493412761466j)
"(0.6923076923076925, -2.5384615384615383)","(0.6923076923076925, -2.5384615384615383)",(0.2502938203224803-0.23789912359552012j)
"(0.8461538461538463, -2.5384615384615383)","(0.8461538461538463, -2.5384615384615383)",(0.3469314640997684-0.04644049353877872j)
"(1.0, -2.5384615384615383)","(1.0, -2.5384615384615383)",(0.3035247084744793+0.17956567387660036j)
"(1.1538461538461542, -2.5384615384615383)","(1.1538461538461542, -2.5384615384615383)",(0.11369312927550668+0.33236769476198325j)
"(1.3076923076923084, -2.5384615384615383)","(1.3076923076923084, -2.5384615384615383)",(-0.14018019728093004+0.3154805053138722j)
"(1.4615384615384617, -2.5384615384615383)","(1.4615384615384617, -2.5384615384615383)",(-0.3132695522829944+0.11901293529085014j)
"(1.6153846153846159, -2.5384615384615383)","(1.6153846153846159, -2.5384615384615383)",(-0.2876808543798662-0.14558239651122604j)
"(1.7692307692307692, -2.5384615384615383)","(1.7692307692307692, -2.5384615384615383)",(-0.070566652960966-0.30075623093907616j)
"(1.9230769230769234, -2.5384615384615383)","(1.9230769230769234, -2.5384615384615383)",(0.1858228213209532-0.23069659986609645j)
"(2.0769230769230775, -2.5384615384615383)","(2.0769230769230775, -2.5384615384615383)",(0.2850841016572321+0.01346449997938151j)
"(2.230769230769231, -2.5384615384615383)","(2.230769230769231, -2.5384615384615383)",(0.1466997258486567+0.23480661448392665j)
"(2.384615384615385, -2.5384615384615383)","(2.384615384615385, -2.5384615384615383)",(-0.11181925392067525+0.24629664899599643j)
"(2.5384615384615383, -2.5384615384615383)","(2.5384615384615383, -2.5384615384615383)",(-0.263021730007344+0.038466527634278075j)
"(2.6923076923076925, -2.5384615384615383)","(2.6923076923076925, -2.5384615384615383)",(-0.16998257110220638-0.19976545891317166j)
"(2.8461538461538467, -2.5384615384615383)","(2.8461538461538467, -2.5384615384615383)",(0.08053176268245825-0.24662345661136825j)
"(3.0, -2.5384615384615383)","(3.0, -2.5384615384615383)",(0.2503591121381023-0.057558321444221364j)
"(-3.0, -2.3846153846153846)","(-3.0, -2.3846153846153846)",(-0.07796649425918009-0.24102928935943554j)
"(-2.8461538461538463, -2.3846153846153846)","(-2.8461538461538463, -2.3846153846153846)",(-0.23934449774416217-0.0982272595672004j)
"(-2.6923076923076925, -2.3846153846153846)","(-2.6923076923076925, -2.3846153846153846)",(-0.23776529447439906+0.11580909906235957j)
"(-2.5384615384615383, -2.3846153846153846)","(-2.5384615384615383, -2.3846153846153846)",(-0.08088982712387015+0.25828333732266373j)
"(-2.3846153846153846, -2.3846153846153846)","(-2.3846153846153846, -2.3846153846153846)",(0.1277763308857253+0.24617601617270754j)
"(-2.230769230769231, -2.3846153846153846)","(-2.230769230769231, -2.3846153846153846)",(0.2679441471226553+0.09625402895808499j)
"(-2.0769230769230766, -2.3846153846153846)","(-2.0769230769230766, -2.3846153846153846)",(0.2736888614842631-0.1041386770831192j)
"(-1.923076923076923, -2.3846153846153846)","(-1.923076923076923, -2.3846153846153846)",(0.15551802599563336-0.2587387724443789j)
"(-1.7692307692307692, -2.3846153846153846)","(-1.7692307692307692, -2.3846153846153846)",(-0.02446140071614959-0.31102903258608067j)
"(-1.6153846153846154, -2.3846153846153846)","(-1.6153846153846154, -2.3846153846153846)",(-0.1950730785321501-0.2577417952269876j)
"(-1.4615384615384615, -2.3846153846153846)","(-1.4615384615384615, -2.3846153846153846)",(-0.30806215179807517-0.1331183134362914j)
"(-1.3076923076923075, -2.3846153846153846)","(-1.3076923076923075, -2.3846153846153846)",(-0.3483918637221281+0.016957306281046164j)
