index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(-1.1538461538461537, -3.0)",(-0.009467475437501401-0.0014208288819151649j),(0.0035798464564243634-0.008165914194468557j),(0.00982251882103545+0.0012544135175297647j),(0.007532810820449952+0.007293430533702939j),(0.007761291992501991+0.006999430914541331j),(0.009810931578423925+0.00022235066139028966j),(0.002141545850382345-0.008539755946833916j),(-0.0077491588626813+0.0006882559442908566j),(0.005358317604511704+0.004687821793737493j),(-0.001956785906549858-0.006942286111303867j),(-0.0031271195122676686+0.007909945092189577j),(0.011196782744270117-0.000663829683717002j),(0.005553143413560387-0.012824673005568539j),(0.006257728328483059-0.01227893288000337j),(0.010817782341672669+0.0012324434014817024j),(-0.004824238138299381+0.006757918692177017j),(-4.252614960823395e-05-0.007155250091799923j),(0.004013367858469436+0.0059294130181356776j)
"(-1.0, -3.0)",(-0.008346678231084691+0.004616949496798544j),(-0.0015828199671670646-0.00870327994856468j),(0.009112874555788167-0.003762150920317472j),(0.009925760493292458+0.003449721156325596j),(0.009775135384161885+0.003992199536147413j),(0.009718663143287076-0.0023233651427123j),(0.0006475694790643384-0.008991494769544034j),(-0.007825217914303914+0.0015104464204636462j),(0.00568167684362586+0.0044806363265591795j),(-0.0021868322319751553-0.006860514147144758j),(-0.002524480845223257+0.007920502122897887j),(0.010625198186692863-0.0024048490802087734j),(0.001403151458291267-0.01380684587085772j),(8.733895908526002e-05-0.014177239666024443j),(0.010087744696089834-0.005306277207383227j),(0.0005139640702544883+0.008605264176382466j),(-0.004772371113664603-0.005506178208699554j),(0.006893195291071408+0.0019868163898517283j)
"(-0.8461538461538458, -3.0)",(-0.0040920403514624615+0.00857101184279669j),(-0.005899199244367826-0.00648092173331395j),(0.006285361647057361-0.007516728353762029j),(0.010490942394094706-0.000660375749469974j),(0.010613662373237036+0.0008630667765506842j),(0.00914779142135996-0.004418907049455777j),(-0.0005257106818626925-0.009205490732562343j),(-0.007919648508103332+0.0019748345451589774j),(0.005770602390722489+0.004569697692268752j),(-0.002010919221284596-0.006915224751372102j),(-0.002465034643038718+0.007748458055870938j),(0.010038076340192213-0.003237865191999924j),(-0.001792706986728519-0.013573398418188252j),(-0.005524590351678311-0.013421238134248663j),(0.006200041029074984-0.010192500468543442j),(0.0057286709930612885+0.006903816151759196j),(-0.007304149528164711-0.0013860198279499966j),(0.00668010666158679-0.00266224766675105j)
"(-0.6923076923076921, -3.0)",(0.0013014159435908927+0.009361944447228071j),(-0.00825526811888249-0.0026478985961063306j),(0.002414366003190852-0.009415545222162236j),(0.009576764591218798-0.004292172006468902j),(0.01053623747915399-0.0019690676715827574j),(0.008377017518079045-0.006011695581353365j),(-0.0013191305389676153-0.00932588057240668j),(-0.008096481998102244+0.0020620600822163827j),(0.005609593978859719+0.004967643992517966j),(-0.0014213133499548368-0.007074505074484397j),(-0.0029157086976237725+0.0074103555493188235j),(0.00964999616575657-0.0032645354373986714j),(-0.003783229302868195-0.012873765033686308j),(-0.009668612948683868-0.01116545171554209j),(0.0008667165593610246-0.012442513431583042j),(0.008947166847443962+0.002735369151259257j),(-0.006881950663947166+0.0032290695841166502j),(0.0038924729918277993-0.0060729627379153385j)
"(-0.5384615384615383, -3.0)",(0.0059310231688500595+0.007295576683357795j),(-0.008436391584153506+0.001473500504276744j),(-0.0014878488019436085-0.009508793947350285j),(0.007724656240813491-0.007046965722182737j),(0.009879551091198549-0.004280750889105779j),(0.007633373172229889-0.007129996721227348j),(-0.0017020869607320644-0.009454841136631115j),(-0.008365528562890549+0.0017452234499989764j),(0.005136100924496848+0.005643181854018805j),(-0.00039913440058487223-0.007231532497357738j),(-0.003802830176628644+0.006824343896677906j),(0.009481834485425245-0.002570944209870608j),(-0.004601136356637161-0.012230347296271376j),(-0.012219282620655948-0.008573278168738714j),(-0.004325477702696419-0.012270661679650949j),(0.009521747591172818-0.002210896634732195j),(-0.004091174725384846+0.006630636561305136j),(-7.324126851192767e-05-0.007242128477875792j)
"(-0.3846153846153846, -3.0)",(0.008664119532422352+0.003514860445429941j),(-0.006898114774508635+0.004877671185421829j),(-0.004731098310855162-0.00825159340570263j),(0.005474438701921986-0.008837491145407205j),(0.008966304126466368-0.006007224588775027j),(0.0070801827287935645-0.00783524242270613j),(-0.0016517133027761392-0.00964181178552992j),(-0.008675592349233192+0.0009885911041019805j),(0.004251256993333624+0.006505497007436275j),(0.0010536612625307359-0.007203876617429j),(-0.004989663478267093+0.005837994813328657j),(0.00939017659943764-0.0012119656152435434j),(-0.004361920344265984-0.011876425339931839j),(-0.013493271522265059-0.006484390070863837j),(-0.008439027498723453-0.010569180570206256j),(0.00787849966408127-0.006519213945382804j),(-0.0001987835802574861+0.008002525228709983j),(-0.003777243837154734-0.0062241369037379585j)
"(-0.23076923076923084, -3.0)",(0.009271667830687013-0.0006796079209175853j),(-0.004389906350480347+0.007072027128143664j),(-0.0070088890703078515-0.0062375653637279154j),(0.003251119434654037-0.009787623171249413j),(0.008056419729381583-0.007184170770524418j),(0.006820298708756799-0.00818471871829159j),(-0.0011427608040016724-0.009876727607841642j),(-0.008907568548679983-0.00023846458672107523j),(0.00284896378922391+0.007382768297652269j),(0.0028625385735226417-0.00674603952763631j),(-0.006238278476032449+0.0042812019595719385j),(0.009096748363629994+0.0007426729925611237j),(-0.0031588934382252632-0.011773614080297902j),(-0.01389521163032582-0.005360577684181411j),(-0.011222609347220677-0.008357909152102041j),(0.004972563929404385-0.009478310490208862j),(0.00356827739968223+0.007432968259824579j),(-0.0062939936654646264-0.003756750705390843j)
"(-0.07692307692307665, -3.0)",(0.008178107870720746-0.004308982249608627j),(-0.0016312204279828582+0.008027682093787292j),(-0.008325907478847469-0.004002972465534382j),(0.0013292085887131426-0.010122922228165313j),(0.007332266500791147-0.007890994988852842j),(0.006903770703061004-0.008207184637106827j),(-0.00015088073020066856-0.0100846092978406j),(-0.008872635684352634-0.0019309273341761844j),(0.000868402213870582+0.00800730121375085j),(0.00481973023089435-0.005593830641911202j),(-0.007182834170102216+0.0020538280402009165j),(0.008235728909355635+0.0031208067960819897j),(-0.0010670989264002805-0.011650816401362193j),(-0.013681882238129255-0.005366827525726312j),(-0.012863613957767835-0.006451745475477324j),(0.0017639992457477017-0.011059024306767704j),(0.006451623205313502+0.005553422087711834j),(-0.007353845066730803-0.0007557026047424216j)
"(0.0769230769230771, -3.0)",(0.006085543731681543-0.006891391757292607j),(0.0008684022138705817+0.008007301213750845j),(-0.00887263568435264-0.0019309273341761482j),(-0.00015088073020068477-0.010084609297840592j),(0.006903770703061013-0.008207184637106823j),(0.007332266500791137-0.007890994988852847j),(0.001329208588713153-0.010122922228165314j),(-0.008325907478847459-0.004002972465534405j),(-0.001631220427982868+0.008027682093787295j),(0.006540858273108531-0.0035563761832565323j),(-0.007353845066730786-0.0007557026047424649j),(0.006451623205313473+0.005553422087711879j),(0.0017639992457477564-0.011059024306767664j),(-0.01286361395776781-0.0064517454754773615j),(-0.013681882238129283-0.00536682752572628j),(-0.0010670989264003334-0.011650816401362216j),(0.008235728909355648+0.0031208067960819316j),(-0.007182834170102218+0.0020538280402009595j)
"(0.23076923076923084, -3.0)",(0.003667493880597549-0.00838087706127551j),(0.0028489637892239075+0.007382768297652263j),(-0.008907568548679988-0.00023846458672105846j),(-0.0011427608040016815-0.009876727607841636j),(0.006820298708756807-0.008184718718291586j),(0.008056419729381575-0.007184170770524424j),(0.003251119434654048-0.009787623171249411j),(-0.007008889070307833-0.006237565363727936j),(-0.004389906350480346+0.007072027128143667j),(0.007481763933206597-0.0006529974573039275j),(-0.006293993665464617-0.0037567507053908704j),(0.0035682773996822056+0.0074329682598245905j),(0.004972563929404444-0.009478310490208811j),(-0.01122260934722065-0.00835790915210206j),(-0.01389521163032583-0.005360577684181379j),(-0.0031588934382253066-0.011773614080297907j),(0.009096748363629987+0.0007426729925610718j),(-0.006238278476032429+0.004281201959571973j)
"(0.384615384615385, -3.0)",(0.0014094124862029157-0.00899939588422728j),(0.0042512569933336195+0.006505497007436271j),(-0.008675592349233189+0.0009885911041019944j),(-0.0016517133027761485-0.009641811785529916j),(0.007080182728793573-0.007835242422706126j),(0.008966304126466366-0.006007224588775026j),(0.005474438701921999-0.008837491145407198j),(-0.00473109831085514-0.008251593405702643j),(-0.006898114774508645+0.0048776711854218256j),(0.007061984710736424+0.0027453577690713478j),(-0.003777243837154677-0.006224136903737977j),(-0.00019878358025754333+0.008002525228709981j),(0.00787849966408129-0.006519213945382746j),(-0.008439027498723403-0.010569180570206277j),(-0.013493271522265064-0.006484390070863818j),(-0.004361920344266024-0.011876425339931837j),(0.009390176599437633-0.0012119656152435956j),(-0.004989663478267052+0.0058379948133286935j)
"(0.5384615384615388, -3.0)",(-0.0004191935083195171-0.009068472157868001j),(0.005136100924496851+0.005643181854018803j),(-0.008365528562890542+0.0017452234499989996j),(-0.0017020869607320718-0.009454841136631108j),(0.0076333731722298915-0.00712999672122735j),(0.00987955109119854-0.0042807508891057975j),(0.007724656240813503-0.007046965722182731j),(-0.001487848801943574-0.009508793947350297j),(-0.008436391584153527+0.0014735005042767239j),(0.0049114311600604995+0.005856289956091805j),(-7.324126851188989e-05-0.00724212847787578j),(-0.004091174725384874+0.006630636561305128j),(0.009521747591172821-0.0022108966347321314j),(-0.004325477702696361-0.01227066167965095j),(-0.012219282620655957-0.008573278168738699j),(-0.004601136356637205-0.012230347296271376j),(0.009481834485425233-0.0025709442098706473j),(-0.0038028301766286016+0.006824343896677933j)
"(0.6923076923076925, -3.0)",(-0.0017156811488042625-0.008892849828698972j),(0.005609593978859713+0.0049676439925179635j),(-0.008096481998102237+0.0020620600822164143j),(-0.0013191305389676214-0.00932588057240667j),(0.008377017518079054-0.006011695581353359j),(0.010536237479153988-0.001969067671582757j),(0.009576764591218803-0.004292172006468895j),(0.0024143660031908866-0.009415545222162236j),(-0.00825526811888249-0.002647898596106346j),(0.0011822196423858875+0.007616314256124886j),(0.003892472991827841-0.006072962737915294j),(-0.0068819506639472006+0.0032290695841165964j),(0.008947166847443917+0.002735369151259325j),(0.0008667165593610693-0.012442513431583025j),(-0.009668612948683866-0.011165451715542082j),(-0.0037832293028682296-0.01287376503368631j),(0.009649996165756552-0.003264535437398711j),(-0.002915708697623737+0.007410355549318843j)
"(0.8461538461538463, -3.0)",(-0.002470971107695767-0.008702188711164665j),(0.005770602390722481+0.004569697692268748j),(-0.007919648508103328+0.0019748345451590012j),(-0.0005257106818627014-0.009205490732562336j),(0.009147791421359972-0.0044189070494557595j),(0.010613662373237034+0.0008630667765506841j),(0.010490942394094706-0.0006603757494699675j),(0.0062853616470573935-0.007516728353761998j),(-0.005899199244367825-0.006480921733313956j),(-0.0032316102005745797+0.007064339936471579j),(0.006680106661586807-0.0026622476667510124j),(-0.007304149528164702-0.0013860198279500536j),(0.005728670993061217+0.006903816151759224j),(0.006200041029075019-0.0101925004685434j),(-0.005524590351678307-0.013421238134248652j),(-0.0017927069867285487-0.013573398418188262j),(0.010038076340192196-0.0032378651919999658j),(-0.0024650346430386758+0.00774845805587095j)
"(1.0, -3.0)",(-0.0027053803186007103-0.008632850906309641j),(0.005681676843625854+0.004480636326559176j),(-0.007825217914303911+0.0015104464204636673j),(0.0006475694790643298-0.008991494769544028j),(0.009718663143287077-0.0023233651427123j),(0.009775135384161892+0.003992199536147395j),(0.009925760493292454+0.003449721156325615j),(0.009112874555788174-0.003762150920317459j),(-0.001582819967167067-0.008703279948564692j),(-0.006782165884307137+0.0039022953399771385j),(0.006893195291071396+0.0019868163898517795j),(-0.0047723711136645735-0.005506178208699595j),(0.0005139640702544312+0.00860526417638245j),(0.010087744696089838-0.0053062772073831895j),(8.733895908527478e-05-0.014177239666024435j),(0.001403151458291255-0.013806845870857735j),(0.010625198186692858-0.002404849080208814j),(-0.0025244808452232186+0.007920502122897901j)
"(1.1538461538461542, -3.0)",(-0.002428174605959306-0.008727301265722765j),(0.005358317604511698+0.0046878217937375j),(-0.007749158862681296+0.0006882559442908779j),(0.0021415458503823356-0.008539755946833915j),(0.009810931578423925+0.00022235066139029963j),(0.0077612919925019895+0.006999430914541329j),(0.007532810820449943+0.007293430533702947j),(0.009822518821035454+0.0012544135175298024j),(0.0035798464564243764-0.008165914194468559j),(-0.007807260010813634-0.0010341023605318247j),(0.004013367858469407+0.005929413018135718j),(-4.252614960818418e-05-0.007155250091799943j),(-0.00482423813829942+0.0067579186921769485j),(0.010817782341672636+0.0012324434014817538j),(0.006257728328483081-0.012278932880003349j),(0.005553143413560377-0.012824673005568546j),(0.011196782744270115-0.0006638296837170234j),(-0.003127119512267641+0.007909945092189589j)
"(1.3076923076923084, -3.0)",(-0.001624763131473416-0.008935109902854342j),(0.004771629254718312+0.00513925620585101j),(-0.007579827650024665-0.0004657071095877709j),(0.0038416229973608587-0.007684391843505904j),(0.009133175299477991+0.0030358081767824134j),(0.004516902788595839+0.009287833793939099j),(0.003393217441569255+0.00987734540954759j),(0.007723734845799052+0.00623938334120349j),(0.007733217076300104-0.004552932770009348j),(-0.005418886930646352-0.005776081285890573j),(-0.0009448773443468262+0.007085426078214652j),(0.004734029231347778-0.005208709126668054j),(-0.0078069969120305996+0.001820992505073033j),(0.007518442964617225+0.0071938050809151844j),(0.011228238878667906-0.0072139495058695545j),(0.009902562330984029-0.009876569041807962j),(0.01132779798680435+0.0020132781810467716j),(-0.00425769010402185+0.0075920715613293985j)
"(1.4615384615384617, -3.0)",(-0.00027217827538252633-0.009110310841871114j),(0.0038625102068250185+0.005737732015891001j),(-0.007168544272528279-0.0018946119244155422j),(0.00555301485387335-0.0062733071357083834j),(0.007454484930191048+0.005772396590875981j),(0.0003207373283335313+0.010185984568715724j),(-0.0017986133143620226+0.010229317371497517j),(0.003000729741288003+0.009476258981681338j),(0.008950494775564288+0.0011149710478351347j),(-0.00030501880257288944-0.00795229273489238j),(-0.005546040029988615+0.004492438958412774j),(0.0069225533163357195-0.0003972385867938001j),(-0.006692458910895111-0.003924001213095301j),(0.0010979534731130512+0.009894893496132262j),(0.012886951157121542+0.00019589068628619305j),(0.0131213791890295-0.004638310225357032j),(0.010425615107578846+0.0054255811438304715j),(-0.0058112670351497375+0.006746989635140959j)
