index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(-1.4615384615384615, -3.0)",(-0.00027369780503017907-0.010028839921204841j),(0.009495915698599589+0.0026928349896695298j),(0.0017463735778802635+0.01110610842347036j),(-0.0016516289680347618+0.011536210892084078j),(0.0044475499800894595+0.00994753665858162j),(0.009093265822749982-0.002169912683306292j),(-0.005376325432985748-0.005548099734590009j),(0.0018681577406367436+0.006475324029825763j),(-0.0002794733611628255-0.007044823739972511j),(-0.004050244052713682+0.00849847250489773j),(0.013348839004006194+0.0027462173109374854j),(0.014854264325967668-0.004601095489768072j),(0.009860719205556631+0.007330792299492182j),(-0.00786359011315076+0.0030303982568198468j),(0.005118240967845699-0.00443365223769731j),(-0.003813827489311015+0.005795042676929927j)
"(-1.3076923076923075, -3.0)",(-0.006737692430509018-0.007350976382564109j),(0.009119979195576638-0.0035400948267701317j),(0.007404971991176569+0.00843225792735117j),(0.0038269985652240194+0.011115246255651684j),(0.007978354563576867+0.007742287040022474j),(0.00833147921462349-0.004818723756772487j),(-0.006628175516970401-0.004424113199740581j),(0.002927665038210304+0.006215970500837529j),(-0.0013284059258634059-0.006866873691970025j),(-0.0020941968999575087+0.008872037089153547j),(0.013195565066217373-0.0018257525022126635j),(0.011041814474590562-0.011347627396933627j),(0.012902941082123543-5.6892740631552523e-05j),(-0.003932753191185171+0.00788758287201041j),(0.0005581892162048854-0.006888294996956445j),(0.0012351485784891116+0.006821536108671658j)
"(-1.1538461538461537, -3.0)",(-0.009800659675085378-0.0014189022519068267j),(0.005342376577108476-0.008071504034896211j),(0.010618553274215452+0.003498412561282172j),(0.008240304289671279+0.008496730485252756j),(0.010300156044361027+0.004708029587044772j),(0.007088335072821266-0.0069103685224932865j),(-0.007500427610876504-0.0033666208448912675j),(0.0036574437014322506+0.005989215771644257j),(-0.0019474252326715249-0.006677536676065054j),(-0.0007504975046981274+0.008788090926507449j),(0.011876011068019386-0.00515428578275013j),(0.005286873972327843-0.015130414405417018j),(0.011209783994365619-0.0075944049611505315j),(0.0021668004011217443+0.008986424632569085j),(-0.004345972231157001-0.0055769941468720155j),(0.0054735872179222985+0.004250940531845494j)
"(-1.0, -3.0)",(-0.008578116345140396+0.004794155288984621j),(1.4496383636521983e-05-0.00955952598548165j),(0.010937038396728596-0.001981067793869586j),(0.010958991784158998+0.00462080856265051j),(0.011424118593188332+0.0014548989424643054j),(0.005680402388806363-0.008435330237604923j),(-0.00809666498963755-0.002522315246050407j),(0.0040796996223102025+0.005906918452225298j),(-0.0021626729187509347-0.006590547421266257j),(-5.579941238640723e-05+0.008533900267124861j),(0.010258582206607237-0.007164374822521159j),(-0.0005071844755974443-0.01610673321055896j),(0.0060704987590400146-0.012819338456277389j),(0.007552550376894252+0.006120582197168906j),(-0.007104909133566891-0.0014611816431748465j),(0.006927923618825095-0.00026667657021065493j)
"(-0.8461538461538458, -3.0)",(-0.00416645805848291+0.008809196856620467j),(-0.004901377726705787-0.008048849065968658j),(0.008841029628516649-0.006589124713825566j),(0.011917097517294157+0.00042411734459886887j),(0.011582169767300313-0.0015685952630924282j),(0.0043579481603492325-0.009478172672851413j),(-0.008514551921029378-0.0019888276919055796j),(0.004203092162104039+0.006033401284716271j),(-0.0019894662524125198-0.006645233448050181j),(2.689140129204283e-05+0.008264298186062684j),(0.008925107882263363-0.008071098462531219j),(-0.005159565453277841-0.015229767720704586j),(-0.0004075065988631132-0.014809627536644525j),(0.010215170955586534+0.0008075417143257269j),(-0.006680378603838622+0.003330094898184319j),(0.005301736402611904-0.004482144370285068j)
"(-0.6923076923076921, -3.0)",(0.0013583183572317171+0.009561877719290953j),(-0.008083605883001187-0.004543072969962339j),(0.005298041749609385-0.009541395684539856j),(0.011436137851905805-0.003391112940517196j),(0.01110231184762472-0.004103933902915674j),(0.003297270676290907-0.01016140839773135j),(-0.008820170071062195-0.001831169336378349j),(0.004006419375370496+0.006385856341767193j),(-0.0014199515779479569-0.00681017659313006j),(-0.00044825138712392725+0.008003711401714958j),(0.00815828838209121-0.008138604507822212j),(-0.008255406361542022-0.013606360041112063j),(-0.006405585525369703-0.01401441753687116j),(0.009661550398427334-0.004872211946802295j),(-0.0036134358191651996+0.0068070905624774605j),(0.0016829041470687973-0.006754660601306235j)
"(-0.5384615384615383, -3.0)",(0.006053510086439791+0.007409220316782102j),(-0.009100732714535617-0.00035452078126751085j),(0.0013215179654002974-0.010695639482665682j),(0.01001327408659385-0.006435424616197921j),(0.01031389329865487-0.006053951236578389j),(0.0026125586171498747-0.010601734129881059j),(-0.009031102525908141-0.0020941853392140272j),(0.0034350497486317863+0.006928302672362491j),(-0.0004326470195672545-0.006982065756650389j),(-0.0014220423089559774+0.0076629852265907815j),(0.008006426040228028-0.0075435141082359335j),(-0.009874308040296523-0.012102219365511164j),(-0.010938080440165289-0.011589887493703453j),(0.006638676215335158-0.00931363757785818j),(0.0006617821802851067+0.007957013938803532j),(-0.0023237055581372544-0.006594418419574487j)
"(-0.3846153846153846, -3.0)",(0.00878847252427026+0.003544551813863629j),(-0.008247708221209613+0.0034232915081720584j),(-0.00231643859006628-0.010361199620335042j),(0.008150720524510893-0.008598413035055045j),(0.009492839128277409-0.0074285054576405845j),(0.002374060280913951-0.01088027212609623j),(-0.009105505959127132-0.00280500898338212j),(0.0024124817916270367+0.0075582825252199755j),(0.0009764032405085851-0.006983708339981118j),(-0.0028043718557636977+0.007063098605210397j),(0.008345108065148472-0.006338674082839415j),(-0.0102667226472398-0.011212391079972612j),(-0.013829287622309443-0.008754067897881612j),(0.002419353512762862-0.011844547472180224j),(0.004687140822815657+0.006851214272535837j),(-0.005408425678522588-0.004503018738414335j)
"(-0.23076923076923084, -3.0)",(0.00935959765616328-0.0007027446864520132j),(-0.0061954597864611214+0.006167024674940918j),(-0.005187642250871144-0.00905399787637413j),(0.0062563251095247895-0.009960259522147689j),(0.008840674820981987-0.008288004080935295j),(0.0026225886106482983-0.011024218167991826j),(-0.008937104646996536-0.003961891038926741j),(0.0008711031125817712+0.008091507117490983j),(0.00274267776912675-0.0065739311057589934j),(-0.00442341839855078+0.005974883204720307j),(0.008906296562440146-0.0044927490804518985j),(-0.009629540345561415-0.011084188433258j),(-0.01538521061950575-0.006425392862453429j),(-0.001840418118249286-0.012627951707312866j),(0.0075468738510740185+0.004245300788766938j),(-0.00695244950746701-0.0014483001203149282j)
"(-0.07692307692307665, -3.0)",(0.008219543465861602-0.004348598550502416j),(-0.003659526132450075+0.007721798124631837j),(-0.007172781196008903-0.007297461926230069j),(0.004610003254354199-0.010695667231919692j),(0.00848441903832908-0.008697758137284687j),(0.0033739479512771616-0.010996913993059092j),(-0.008360190374862495-0.00550851497489191j),(-0.001194989307928547+0.008256956830116052j),(0.004671975206257577-0.005488169533816031j),(-0.005973010527620834+0.004191990571826354j),(0.009289276048351775-0.001985667749424317j),(-0.008023128298046345-0.011575672768084012j),(-0.016026560881634615-0.005144660434738522j),(-0.005417592768518352-0.012293809383597792j),(0.008996704501091942+0.0010592169080815346j),(-0.006996001270931016+0.0016469679167834246j)
"(0.0769230769230771, -3.0)",(0.006089210405925813-0.0069205868703258915j),(-0.001194989307928533+0.00825695683011606j),(-0.008360190374862509-0.005508514974891894j),(0.0033739479512771633-0.010996913993059094j),(0.00848441903832908-0.008697758137284687j),(0.004610003254354197-0.01069566723191969j),(-0.007172781196008876-0.0072974619262300856j),(-0.0036595261324501175+0.007721798124631805j),(0.006393733205322825-0.0035267282680940203j),(-0.006996001270930994+0.0016469679167833925j),(0.008996704501091893+0.001059216908081552j),(-0.005417592768518335-0.012293809383597809j),(-0.016026560881634608-0.0051446604347385304j),(-0.008023128298046352-0.011575672768084008j),(0.009289276048351815-0.001985667749424335j),(-0.005973010527620825+0.0041919905718264j)
"(0.23076923076923084, -3.0)",(0.0036489643228538-0.008386380027291095j),(0.0008711031125817987+0.008091507117490985j),(-0.008937104646996548-0.003961891038926723j),(0.0026225886106482996-0.011024218167991828j),(0.008840674820981987-0.008288004080935295j),(0.006256325109524789-0.009960259522147687j),(-0.0051876422508711235-0.00905399787637414j),(-0.006195459786461141+0.006167024674940886j),(0.007371334405912658-0.000690437049752632j),(-0.006952449507466985-0.0014483001203149733j),(0.007546873851073977+0.004245300788766917j),(-0.0018404181182492842-0.012627951707312856j),(-0.01538521061950575-0.006425392862453429j),(-0.00962954034556142-0.011084188433257994j),(0.008906296562440174-0.004492749080451915j),(-0.004423418398550763+0.005974883204720332j)
"(0.384615384615385, -3.0)",(0.0013824618039762256-0.008978965552552075j),(0.0024124817916270753+0.007558282525219978j),(-0.009105505959127146-0.00280500898338209j),(0.002374060280913952-0.010880272126096232j),(0.009492839128277409-0.007428505457640584j),(0.008150720524510895-0.008598413035055041j),(-0.0023164385900662555-0.010361199620335037j),(-0.008247708221209609+0.003423291508172018j),(0.007017732321712751+0.002673544316646028j),(-0.005408425678522532-0.004503018738414362j),(0.00468714082281562+0.0068512142725358225j),(0.002419353512762902-0.011844547472180222j),(-0.013829287622309436-0.008754067897881612j),(-0.010266722647239811-0.011212391079972607j),(0.008345108065148493-0.006338674082839453j),(-0.0028043718557636725+0.007063098605210442j)
"(0.5384615384615388, -3.0)",(-0.000446508303494692-0.009026106595513762j),(0.0034350497486318136+0.006928302672362491j),(-0.009031102525908156-0.0020941853392139986j),(0.0026125586171498764-0.010601734129881059j),(0.01031389329865487-0.006053951236578389j),(0.01001327408659385-0.00643542461619792j),(0.001321517965400338-0.01069563948266567j),(-0.009100732714535608-0.0003545207812675397j),(0.004937907629474358+0.005800544796235291j),(-0.0023237055581371946-0.006594418419574492j),(0.0006617821802850813+0.007957013938803496j),(0.006638676215335182-0.009313637577858159j),(-0.01093808044016526-0.01158988749370348j),(-0.00987430804029651-0.012102219365511176j),(0.008006426040228042-0.007543514108235961j),(-0.0014220423089559503+0.007662985226590804j)
"(0.6923076923076925, -3.0)",(-0.0017413829941070875-0.008834853459773263j),(0.004006419375370521+0.006385856341767188j),(-0.008820170071062209-0.0018311693363783203j),(0.003297270676290909-0.01016140839773135j),(0.01110231184762472-0.004103933902915673j),(0.011436137851905807-0.003391112940517179j),(0.005298041749609409-0.009541395684539829j),(-0.008083605883001155-0.004543072969962376j),(0.0012464900561205117+0.007623765109114408j),(0.0016829041470688441-0.006754660601306212j),(-0.003613435819165192+0.006807090562477434j),(0.009661550398427355-0.004872211946802259j),(-0.006405585525369665-0.014014417536871172j),(-0.008255406361542018-0.013606360041112065j),(0.00815828838209122-0.008138604507822252j),(-0.00044825138712387965+0.008003711401714991j)
"(0.8461538461538463, -3.0)",(-0.002497718259567548-0.008635221933480857j),(0.00420309216210407+0.006033401284716258j),(-0.008514551921029392-0.0019888276919055505j),(0.004357948160349235-0.009478172672851415j),(0.01158216976730032-0.0015685952630924151j),(0.011917097517294155+0.00042411734459886854j),(0.008841029628516666-0.006589124713825537j),(-0.004901377726705756-0.00804884906596866j),(-0.00319370966267634+0.007148559389584756j),(0.005301736402611927-0.0044821443702850305j),(-0.0066803786038386005+0.0033300948981842926j),(0.010215170955586538+0.0008075417143257657j),(-0.0004075065988630641-0.014809627536644523j),(-0.00515956545327782-0.015229767720704595j),(0.00892510788226337-0.008071098462531252j),(2.689140129208138e-05+0.008264298186062714j)
"(1.0, -3.0)",(-0.002738414019227722-0.008563792550363939j),(0.004079699622310241+0.005906918452225293j),(-0.008096664989637563-0.0025223152460503886j),(0.005680402388806365-0.008435330237604925j),(0.011424118593188332+0.0014548989424643056j),(0.010958991784158996+0.00462080856265051j),(0.010937038396728594-0.0019810677938695855j),(1.4496383636538029e-05-0.009559525985481637j),(-0.0068341719539436185+0.0040214290301431j),(0.006927923618825079-0.0002666765702106415j),(-0.007104909133566864-0.0014611816431748437j),(0.007552550376894249+0.006120582197168915j),(0.006070498759040021-0.01281933845627738j),(-0.0005071844755974478-0.016106733210558964j),(0.010258582206607263-0.007164374822521183j),(-5.5799412386356826e-05+0.008533900267124875j)
"(1.1538461538461542, -3.0)",(-0.0024730528911039505-0.008664159985986438j),(0.003657443701432276+0.005989215771644253j),(-0.007500427610876511-0.003366620844891249j),(0.007088335072821268-0.006910368522493273j),(0.010300156044361027+0.004708029587044773j),(0.008240304289671277+0.008496730485252754j),(0.010618553274215445+0.0034984125612821915j),(0.005342376577108499-0.008071504034896192j),(-0.007964930952365598-0.0009685770788715742j),(0.0054735872179222725+0.004250940531845526j),(-0.004345972231156953-0.005576994146872005j),(0.002166800401121708+0.0089864246325691j),(0.011209783994365634-0.007594404961150497j),(0.00528687397232788-0.015130414405417009j),(0.011876011068019412-0.005154285782750137j),(-0.0007504975046981146+0.00878809092650747j)
