index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(-1.4615384615384615, -3.0)",(-0.0003005661168264521-0.010181449548908554j),(0.009702822832088578+0.0036705496298979037j),(0.001065178448594702+0.012002253626086938j),(-0.0009268883260517199+0.012292885158085284j),(0.0073676296379770285+0.008225635780551811j),(0.005747695905289445-0.006842684781112184j),(-0.006934655049405671+0.0014718711138397313j),(0.006408686173149137-0.0004006261736330143j),(-0.007863345861636934-0.0002919896392248264j),(0.008517613684298524+0.008794878230559328j),(0.01588562342451812-0.004308853852587181j),(0.013530099269382884+0.003805307319089733j),(-0.0058032253707366735+0.006902096543785644j),(0.002942844490553845-0.005925009104324958j),(-0.002589179064324032+0.006171143170811575j)
"(-1.3076923076923075, -3.0)",(-0.006835611315638309-0.007434194570722186j),(0.009861510128558135-0.0028253871125722813j),(0.007192877217150924+0.009640384484060951j),(0.0046247703544059484+0.01158123042876571j),(0.010022097269166573+0.005272723997563734j),(0.003899488459738178-0.008388930934894843j),(-0.006751359202770885+0.002831419157778185j),(0.006334910750832894-0.0013498184869857087j),(-0.007577707108962523+0.0010560075863804653j),(0.010270383703181984+0.0058158608371558515j),(0.01249929034804467-0.010761107248466732j),(0.013927034277356837-0.0048050201958299114j),(0.00024113199914658855+0.009502057943937086j),(-0.0020981170856558583-0.00645214910601965j),(0.002392373318138016+0.006235781011751047j)
"(-1.1538461538461537, -3.0)",(-0.009902180654471508-0.0014238911469804405j),(0.006381260770419046-0.007859277890445372j),(0.010985955406684065+0.004780166054111646j),(0.009024237670001786+0.008778642188116881j),(0.011432992599946684+0.0019332427424864392j),(0.002038731237040916-0.009350505333452063j),(-0.006501455990961416+0.003873984553193733j),(0.006254942792391358-0.0019556739198724007j),(-0.007218561405218421+0.0018472778528422723j),(0.01083018891166835+0.0033204362124539285j),(0.007566032361684782-0.014561277342151745j),(0.009781049877485671-0.011902516824598997j),(0.006519367773858654+0.0076445630388434745j),(-0.006074332830531929-0.0034389048040092806j),(0.00594473989859692+0.003024958899278374j)
"(-1.0, -3.0)",(-0.008641353604093346+0.0048338592882148194j),(0.0010451509419381858-0.00991523495917906j),(0.01187367586610769-0.0008822069628896922j),(0.011731343739584552+0.0048184693820594055j),(0.011781105814531064-0.0012872281131858557j),(0.0003787221456868751-0.009883482548659873j),(-0.006329551809317852+0.004607050251335832j),(0.006267123981772865-0.0022255385322589717j),(-0.006953023979898179+0.0021362518224841915j),(0.010708193008641858+0.0016285342456396853j),(0.0027089263431647275-0.01597130105382226j),(0.0031585759742866625-0.015737428001580983j),(0.010358681733582282+0.0024532759147516047j),(-0.007079398043689186+0.0013482900973441321j),(0.006491598073692407-0.0015233776207725642j)
"(-0.8461538461538458, -3.0)",(-0.004188119916304878+0.0088519954231579j),(-0.004148129480654619-0.00887686797734521j),(0.01023021568979448-0.005888092773565138j),(0.0127316109557594+0.0005940476294862121j),(0.011381664336946115-0.004072150817675437j),(-0.0009498270916414436-0.01016462231221735j),(-0.006339145275420754+0.0050429809852420605j),(0.006414660268352113-0.0021569226972676446j),(-0.006843188590780113+0.001973675745162915j),(0.010296333353774214+0.0008010107629181154j),(-0.0011026206310317632-0.01582290674673078j),(-0.0037234363817239676-0.016218622824556394j),(0.01063056678945198-0.0038298895121961145j),(-0.004931950733507746+0.005608829374977038j),(0.004169241103738221-0.005212883656320568j)
"(-0.6923076923076921, -3.0)",(0.0013559284041415065+0.009584093954954185j),(-0.007774025129906217-0.005647594420349508j),(0.006957256325777141-0.009372158776068252j),(0.012358912832568788-0.0032399588870956333j),(0.01057820130101187-0.0062805969071857825j),(-0.0018743421615796077-0.010352334327163088j),(-0.006591742604196075+0.005175131174476867j),(0.006684187427607875-0.0017259418667283225j),(-0.006860255237708361+0.0013833571829906138j),(0.009799514101363968+0.0007744372465426223j),(-0.003513787685431689-0.014996038791690895j),(-0.009371615725656104-0.014352923659160178j),(0.007786535422252328-0.009137580085853837j),(-0.0008252609867588979+0.007727716922935668j),(0.0003186399305123384-0.0066869398703066985j)
"(-0.5384615384615383, -3.0)",(0.006044325806805993+0.00741163682254291j),(-0.009280921737498763-0.0015136091889946894j),(0.003052070763937657-0.011100182084835201j),(0.011097196003494908-0.006325878515864622j),(0.009674939848120534-0.007898099940687396j),(-0.002352106127748847-0.010563017985230178j),(-0.007103365748618325+0.004963692081861485j),(0.006999640464991302-0.0008919239438139272j),(-0.00689348908964784+0.0003698868592806823j),(0.009239930471228919+0.001442664605758785j),(-0.004543093444779789-0.014125041399182681j),(-0.013230529206442418-0.011487529920310569j),(0.0031655546754952415-0.012354004968568885j),(0.0035857018048889356+0.007285266350960308j),(-0.003444631735484459-0.005781272328897683j)
"(-0.3846153846153846, -3.0)",(0.008758129448116325+0.00354371024646732j),(-0.008865476077213889+0.00239833811493005j),(-0.0006868819905004808-0.01130332801740383j),(0.009426540152596832-0.008563065936387065j),(0.008906028296703599-0.008978290448406666j),(-0.0023472838497826166-0.010857026348341403j),(-0.007834092147023885+0.00433324902411897j),(0.007213657532749293+0.00037981124869686066j),(-0.006756373332212475-0.001047302844033087j),(0.008492481816350483+0.002673497292419079j),(-0.004343250292600764-0.013509304099974266j),(-0.015433321725095678-0.008771488210857334j),(-0.001815666743650413-0.013404888538973226j),(0.007002677309333618+0.004848459379441246j),(-0.00597294288416901-0.0032171302834174543j)
"(-0.23076923076923084, -3.0)",(0.00930909300410531-0.0006877923963139396j),(-0.0071414248305740275+0.005399965389586966j),(-0.003778987052151934-0.010447359517715958j),(0.007735921867380289-0.010022550332367949j),(0.008430144556373914-0.009591693519699752j),(-0.0018190038192973047-0.011228548489847993j),(-0.008670541808038116+0.003185796051865644j),(0.007105958703896234+0.0020753941882039532j),(-0.006203928045107762-0.0027791677405570015j),(0.007337880762475745+0.004274732677653739j),(-0.0030662291182231207-0.013134170236666977j),(-0.01640007054344692-0.006947036949224569j),(-0.006171468727910725-0.012905377632738755j),(0.008854005929613985+0.001415332619559127j),(-0.006862039342977186-2.670639813669858e-05j)
"(-0.07692307692307665, -3.0)",(0.00816013459489808-0.0043056188832707445j),(-0.00480875097214735+0.0072664510938847005j),(-0.0060441631313751885-0.009036081183901763j),(0.006294916896867134-0.010857711573493396j),(0.008336894984751078-0.009788755916126313j),(-0.0007243448582496382-0.011596474364360112j),(-0.009407128492056015+0.001434338357425584j),(0.0064049396395629045+0.004073651235129474j),(-0.004981694833078025-0.004604824837140802j),(0.005542627661294342+0.005938461531392596j),(-0.0008510920728575396-0.012728802784846439j),(-0.01650274879120844-0.006370007006471845j),(-0.009462935746216643-0.011712597060473553j),(0.009232332562529961-0.0020952851757080845j),(-0.006323024832382519+0.0029256151130852897j)
